ᐈ	e
ᐉ	i
ᐶ	h e
ᐷ	h i
ᑋ	h
ᑓ	t e
ᑔ	t i
ᓑ	ŋ
ᗄ	x u
ᗅ	x o
ᗆ	x ə
ᗇ	x e
ᗈ	x i
ᗉ	x a
ᗊ	ɣ u
ᗋ	ɣ o
ᗌ	ɣ ə
ᗍ	ɣ e
ᗎ	ɣ i
ᗏ	ɣ a
ᗐ	w u
ᗑ	w o
ᗒ	w ə
ᗓ	w e
ᗔ	w i
ᗕ	w a
ᗖ	xʷ u
ᗗ	xʷ o
ᗘ	xʷ ə
ᗙ	xʷ e
ᗚ	xʷ i
ᗛ	xʷ a
ᗜ	tʰ u
ᗝ	tʰ o
ᗞ	tʰ ə
ᗟ	tʰ e
ᗠ	tʰ i
ᗡ	tʰ a
ᗢ	tʼ u
ᗣ	tʼ o
ᗤ	tʼ ə
ᗥ	tʼ e
ᗦ	tʼ i
ᗧ	tʼ a
ᗨ	p u
ᗩ	p o
ᗪ	p ə
ᗫ	p e
ᗬ	p i
ᗭ	p a
ᗮ	p
ᗯ	k u
ᗰ	k o
ᗱ	k ə
ᗲ	k e
ᗳ	k i
ᗴ	k a
ᗵ	kʰ u
ᗶ	kʰ o
ᗷ	kʰ ə
ᗸ	kʰ e
ᗹ	kʰ i
ᗺ	kʰ a
ᗻ	kʼ u
ᗼ	kʼ o
ᗽ	kʼ ə
ᗾ	kʼ e
ᗿ	kʼ i
ᘀ	kʼ a
ᘁ	kʼ
ᘂ	n u
ᘃ	n o
ᘄ	n ə
ᘅ	n e
ᘆ	n i
ᘇ	n a
ᘈ	m u
ᘉ	m o
ᘊ	m ə
ᘋ	m e
ᘌ	m i
ᘍ	m a
ᘎ	j u
ᘏ	j o
ᘐ	j ə
ᘑ	j e
ᘒ	j i
ᘓ	j a
ᘔ	t͡ʃ u
ᘖ	t͡ʃ o
ᘗ	t͡ʃ ə
ᘘ	t͡ʃ e
ᘙ	t͡ʃ i
ᘛ	t͡ʃ a
ᘜ	t͡ʃʼ u
ᘝ	t͡ʃʼ o
ᘞ	t͡ʃʼ ə
ᘟ	t͡ʃʼ e
ᘠ	t͡ʃʼ i
ᘡ	t͡ʃʼ a
ᘢ	l u
ᘣ	l o
ᘤ	l ə
ᘥ	l e
ᘦ	l i
ᘧ	l a
ᘨ	t͡ɬ u
ᘩ	t͡ɬ o
ᘪ	t͡ɬ ə
ᘫ	t͡ɬ e
ᘬ	t͡ɬ i
ᘭ	t͡ɬ a
ᘮ	ɬ u
ᘯ	ɬ o
ᘰ	ɬ ə
ᘱ	ɬ e
ᘲ	ɬ i
ᘳ	ɬ a
ᘴ	t͡ɬʰ u
ᘵ	t͡ɬʰ o
ᘶ	t͡ɬʰ ə
ᘷ	t͡ɬʰ e
ᘸ	t͡ɬʰ i
ᘹ	t͡ɬʰ a
ᘺ	t͡ɬʼ u
ᘻ	t͡ɬʼ o
ᘼ	t͡ɬʼ ə
ᘽ	t͡ɬʼ e
ᘾ	t͡ɬʼ i
ᘿ	t͡ɬʼ a
ᙀ	z u
ᙁ	z o
ᙂ	z ə
ᙃ	z e
ᙄ	z i
ᙅ	z a
ᙆ	z
ᙇ	z̺
ᙈ	t͡s u
ᙉ	t͡s o
ᙊ	t͡s ə
ᙋ	t͡s e
ᙌ	t͡s i
ᙍ	t͡s a
ᙎ	s u
ᙏ	s o
ᙐ	s ə
ᙑ	s e
ᙒ	s i
ᙓ	s a
ᙔ	ʃ u
ᙕ	ʃ o
ᙖ	ʃ ə
ᙗ	ʃ e
ᙘ	ʃ i
ᙙ	ʃ a
ᙚ	ʃ
ᙛ	t͡ʃʰ u
ᙜ	t͡ʃʰ o
ᙝ	t͡ʃʰ ə
ᙞ	t͡ʃʰ e
ᙟ	t͡ʃʰ i
ᙠ	t͡ʃʰ a
ᙡ	t͡sʰ u
ᙢ	t͡sʰ o
ᙣ	t͡sʰ ə
ᙤ	t͡sʰ e
ᙥ	t͡sʰ i
ᙦ	t͡sʰ a
ᙧ	t͡sʼ u
ᙨ	t͡sʼ o
ᙩ	t͡sʼ ə
ᙪ	t͡sʼ e
ᙫ	t͡sʼ i
ᙬ	t͡sʼ a
