ʼ	ʰ
ёарксэй	j ɒ r k s ɛ j
ёарркмушш	j ɒ rː k m u ʃː
ёарркэ	j ɒ rː k ɛ
ёарркэй	j ɒ rː k ɛ j
ёаҏҏьш	j ɒ r̥ʲː ʃ
ёгк	j o ɡ k
ёррэ	j o rː ɛ
ёӈхаһтӭ	j o ŋ x a h tʲ ɛ
ёӈӈ	j o ŋː
ёӈӈлаһтӭ	j o ŋː l a h tʲ ɛ
ёӈӈлуввэ	j o ŋː l u vː ɛ
ёӈӈшэ	j o ŋː ʃ ɛ
ј	j̊
а̄бперь	aː b̥͡pʲ e rʲ
а̄бпь	aː b̥͡pʲ
а̄бпяр	aː b̥͡pʲ a r
а̄в	aː v
а̄ввьл	aː vʲː lʲ
а̄ввьн	aː vʲː nʲ
а̄дзь	aː d͡zʲ
а̄ййк	aː jː k
а̄кэнч	aː k ɛ n t͡ʃʲ
а̄льп	aː lʲ pʲ
а̄лэ	aː l ɛ
а̄ннэй	aː nː ɛ j
а̄ррк	aː rː k
а̄ррь	aː rʲː
а̄ррьп	aː rʲː p
а̄ррьтэпе̄лль	aː rʲː tʲ ɛ p i̯ e lʲː
а̄свас	aː s v a s
а̄ххьтэ	aː xʲː tʲ ɛ
а̄шшьтэ	aː ʃʲː tʲ ɛ
а̄ҋҋт	aː j̥ː t
а̄һклэӈӈк	aː h k l ɛ ŋː k
а̄һкь	aː hʲ kʲ
аббрай	a bː r a j
аббрэ	a bː r ɛ
аббьр	a bʲː rʲ
аббьръесь	a bʲː rʲ j e sʲ
абра	a b r a
абрэнч	a b r ɛ n t͡ʃʲ
адзе	a d͡zʲ e
адтҍ	a d̥͡tʲ
аййв	a jː v
алльк	a lʲː k
аллькэ	a lʲː k ɛ
алльм	a lʲː m
алля	a lː j a
алфавиһт	a l f a v i h t
амель	a mʲ e lʲ
ассь	a sʲː
ахтар	a x t a r
аххц	a xː t͡s
беда	bʲ e d a
ва̄ввьл	v aː vʲː lʲ
ва̄лесь	v aː lʲ e sʲ
ва̄лль	v aː lʲː
ва̄ннҍцмушш	v aː nʲː t͡s m u ʃː
ва̄рр	v aː rː
ва̄ррь	v aː rʲː
ва̄ӈӈк	v aː ŋː k
вагкь	v a ɡʲ kʲ
валльв	v a lʲː vʲ
вилльй	v i ʎː
воа̄йхэ	v ɒː j x ɛ
воа̄кань	v ɒː k a ɲ
воа̄ррт	v ɒː rː t
воа̄рт	v ɒː r t
воа̄ҏҏт	v ɒː r̥ː t
воа̄һп	v ɒː h p
вуадтэ	v u̯ a d̥͡t ɛ
вуаллнешш	v u̯ a lː ɲ e ʃː
вуалта̄ххьт	v u̯ a l t aː xʲː tʲ
вуаррьяс	v u̯ a rʲː a s
вуоһп	v u̯ o h p
вуэйвэшна	v u̯ ɛ j v ɛ ʃ n a
вуэйй	v u̯ ɛ jː
вуэййв	v u̯ ɛ jː v
вуэййвланнҍ	v u̯ ɛ jː v l a nʲː
вуэййвха̄бпь	v u̯ ɛ jː v x aː b̥͡pʲ
вуэккьс	v u̯ ɛ kʲː s
вуэлльк	v u̯ ɛ lʲː k
вуэмесь	v u̯ ɛ mʲ e sʲ
вуэннч	v u̯ ɛ nː t͡ʃʲ
вуэнҍтэсь	v u̯ ɛ nʲ tʲ ɛ sʲ
вуэррьель	v u̯ ɛ rʲː e lʲ
вуэррьйлэнч	v u̯ ɛ rʲː j l ɛ n t͡ʃʲ
вуэррьял	v u̯ ɛ rʲː a l
вуэссь	v u̯ ɛ sʲː
вуэҋҋтэ	v u̯ ɛ j̥ː t ɛ
выдт	v ɨ d̥͡t
выннҍ	v ɨ nʲː
выннҍа̄ййт	v ɨ nʲː aː jː t
выннҍа̄йтнэгкь	v ɨ nʲː aː j t n ɛ ɡʲ kʲ
выннҍмӯррьй	v ɨ nʲː m uː rʲː j
высскэ	v ɨ sː k ɛ
выӊӊҍц	v ɨ n̥ʲː t͡s
вэ̄дз	v ɛː d͡z
вэ̄рр	v ɛː rː
вэ̄ррваһтҍ	v ɛː rː v a hʲ tʲ
вэнс	v ɛ n s
вӣвв	v iː vː
вӣгк	v iː ɡ k
вӯгкь	v uː ɡʲ kʲ
вӯйвас	v uː j v a s
вӯйвэшна	v uː j v ɛ ʃ n a
вӯйй	v uː jː
вӯййнмушш	v uː jː n m u ʃː
вӯййнэ	v uː jː n ɛ
вӯйнас	v uː j n a s
вӯйӈас	v uː j ŋ a s
вӯммь	v uː mʲː
вӯннҍт	v uː nʲː tʲ
вӯнтас	v uː n d a s
вӯняс	v uː ɲ a s
вӯӈӈк	v uː ŋː k
ге̄ррп	ɡ i̯ e rː p
гуэйкэ	ɡ u̯ ɛ j k ɛ
гӣммн	ɡ iː mː n
е̄бешь	j i̯ e bʲ e ʃʲ
е̄внэшш	j i̯ e v n ɛ ʃː
е̄вьнса̄ййм	j i̯ e v n ɛ ʃː
е̄кьнэнч	j i̯ e kʲ n ɛ n t͡ʃʲ
е̄лле	j i̯ e lː j e
е̄ммьн	j i̯ e mʲː nʲ
е̄ммьн	j i̯ e mː nʲ
е̄ммьне	j i̯ e mʲː nʲ e
е̄ннэ	j i̯ e nː ɛ
е̄ннҍ	j i̯ e nʲː
е̄ннҍпе̄ййв	j i̯ e nʲː pʲ i̯ e jː v
е̄ррк	j i̯ e rː k
е̄һк	j i̯ e h k
е̄һкшэ	j i̯ e h k ʃ ɛ
ента	j e n t a
еххта	j e xː t a
жыва	ʒ ɨ v a
инженерр	i n ʒ ɛ nʲ e rː
ка̄герь	k aː ɡʲ e rʲ
ка̄дӭрь	k aː dʲ ɛ rʲ
ка̄жнэнч	k aː ʒ n ɛ n t͡ʃʲ
ка̄зэх	k aː z ɛ x
ка̄й	k aː j
ка̄ййв	k aː jː v
ка̄ййм	k aː jː m
ка̄ккш	k aː kː ʃ
ка̄ннҍт	k aː nʲː tʲ
ка̄ннҍц	k aː nʲː t͡s
ка̄ннҍцвудт	k aː nʲː t͡s v u d̥͡t
ка̄рев	k aː rʲ e v
ка̄репь	k aː rʲ e pʲ
ка̄ррьт	k aː rʲː t
ка̄рта	k aː r t a
ка̄ршар	k aː r ʃ a r
ка̄ршэл	k aː r ʃ ɛ l
ка̄ршэлкӯмпар	k aː r ʃ ɛ l k uː m p a r
ка̄рьнэсь	k aː rʲ n ɛ sʲ
ка̄рьт	k aː rʲ t
ка̄ссв	k aː sː v
ка̄фтэль	k aː f t ɛ lʲ
ка̄ххц	k aː xː t͡s
ка̄ццькэ	k aː t͡sʲː k ɛ
ка̄һк	k aː h k
ка̄һп	k aː h p
каййӈэль	k a jː ŋ ɛ lʲ
капшех	k a p ʃʲ e x
картин	k a r t i n
кас	k a s
касьт	k a sʲ tʲ
ке̄	k i̯ eː
ке̄ввьр	k i̯ e vʲː rʲ
ке̄ввьръе	k i̯ e vʲː rʲ j e
ке̄ддҍк	k i̯ e dʲː kʲ
ке̄ссе	k i̯ e sʲː e
ко̄ллм	k oː lː m
ко̄ссэ	k oː sː ɛ
ко̄ххт	k o xː t
коа̄б	k ɒː b
коа̄ввнэ	k ɒː vː n ɛ
коа̄ллв	k ɒː lː v
коа̄лле	k ɒː lː j e
коа̄лльтэ	k ɒː lʲː tʲ ɛ
коа̄м	k ɒː m
коа̄ммэ	k ɒː mː ɛ
коа̄нҍцэгуэйм	k ɒː nʲ t͡s ɛ ɡ u̯ ɛ j m
коа̄ррк	k ɒː rː k
коа̄сс	k ɒː sː
коа̄ҏҏкэ	k ɒː r̥ː k ɛ
коа̄ҏҏт	k ɒː r̥ː t
коа̄һплэгк	k ɒː h p l ɛ ɡ k
коавас	k ɒ v a s
коажь	k ɒ ʒʲ
коаййр	k ɒ jː r
коайрпа̄ррьн	k ɒ j r p aː rʲː n
коаммыййма̄нн	k ɒ mː ɨ jː m aː nː
коаммьрэмушш	k ɒ mʲː rʲ ɛ m u ʃː
коаннҍт	k ɒ nʲː tʲ
коаннҍт	k o̯ a nʲː tʲ
коассь	k ɒ sʲː
коннч	k o nː t͡ʃʲ
корэл	k o r ɛ l
корэла̄һкь	k o r ɛ l aː hʲ kʲ
куаййв	k u̯ a jː v
куалмант	k u̯ a l m a n t
куввьтэ	k u vʲː tʲ ɛ
кудт	k u d̥͡t
куййм	k u jː m
кула	k u l a
кулак	k u l a k
куллъе	k u lː j e
куллэ	k u lː ɛ
кунн	k u nː
курас	k u r a s
куэввлэ	k u̯ ɛ vː l ɛ
куэввт	k u̯ ɛ vː t
куэввта	k u̯ ɛ vː t a
куэдтҍ	k u̯ ɛ d̥͡tʲ
куэллтэ	k u̯ ɛ lː t ɛ
куэлльс	k u̯ ɛ lʲː sʲ
куэссь	k u̯ ɛ sʲː
куэццькэмь	k u̯ ɛ t͡sʲː k ɛ mʲ
куэһкь	k u̯ ɛ hʲ kʲ
куэһпель	k u̯ ɛ h pʲ e lʲ
куэһцев	k u̯ ɛ h t͡sʲ e v
куҏҏьт	k u r̥ʲː tʲ
куһт	k u h t
кыгкэ	k ɨ ɡ k ɛ
кыджемь	k ɨ d ʒ j e mʲ
кыдт	k ɨ d̥͡t
кыдтма̄нн	k ɨ d̥͡t m aː nː
кыррьй	k ɨ rʲː j
кыррьтэ	k ɨ rʲː t ɛ
кырьйхэ	k ɨ rʲ j x ɛ
кысьтесь	k ɨ sʲ tʲ e sʲ
кыҋҋтэ	k ɨ j̥ː t ɛ
кэ̄дже	k ɛː d ʒ j e
кэ̄нял	k ɛː ɲ a l
кэ̄рр	k ɛː rː
кэ̄сск	k ɛː sː k
кэнтар	k ɛ n d a r
кэҏҏьч	k ɛ r̥ʲː t͡ʃʲ
кя̄ййн	kʲ e̯ a jː n
кӣввт	k iː vː t
кӣгк	k iː ɡ k
кӣдт	k iː d̥͡t
кӣлл	k iː lː
кӣрре	k iː rʲː e
кӣһче	k iː h t͡ʃʲ e
кӯббл	k uː bː l
кӯввьлье	k uː vʲː lʲ j ɛ
кӯдц	k uː d̥͡t͡ s
кӯзэӈӈьк	k uː z ɛ ŋʲː kʲ
кӯйй	k uː jː
кӯлль	k uː lː
кӯллэ	k uː lː ɛ
кӯль	k uː lʲ
кӯмпар	k uː m p a r
кӯнн	k uː nː
кӯррк	k uː rː k
кӯсс	k uː sː
кӯттҍк	k uː tʲː k
кӯшшь	k uː ʃʲː
кӯһт	k uː h t
ла̄ввл	l aː vː l
ла̄ввлэ	l aː vː l ɛ
Ла̄дтҍ	l aː d̥͡tʲ
ла̄дтҍ	l aː d̥͡tʲ
ла̄ммч	l aː m̥ː t͡ʃ
ла̄ммьп	l aː mʲː pʲ
ла̄ннҍт	l aː nʲː tʲ
Ла̄ннҍт	l aː nʲː tʲ
ла̄ҋҋтэ	l aː j̥ː t ɛ
лаввьн	l a vʲː nʲ
ланнҍ	l a nʲː
лаппьс	l a pʲː sʲ
лаһп	l a h p
ле̄ййп	l i̯ e jː p
ле̄ккш	l i̯ e kː ʃ
ле̄ӎӎьк	l i̯ e m̥ʲː k
лоа̄сст	l ɒː sː t
лоа̄ффк	l ɒː fː k
лоа̄һт	l ɒː h t
лоагкь	l ɒ ɡʲ kʲ
лоаннҍт	l ɒ nʲː tʲ
луннҍ	l u nʲː
луэмман	l u̯ ɛ mː a n
луэнн	l u̯ ɛ nː
луэсст	l u̯ ɛ sː t
лыгк	l ɨ ɡ k
лысст	l ɨ sː t
лыһкеш	l ɨ h kʲ e ʃ
лэ̄сст	l ɛː sː t
ля̄	lʲ e̯ a
ля̄к	lʲ e̯ a k
ля̄м	lʲ e̯ a m
ля̄ммт	lʲ e̯ a mː t
ля̄һт	lʲ e̯ a h t
лӣ	l iː
лӣйе	l iː j e
лӣхемь	l iː xʲ e mʲ
лӣшш	l iː ʃː
лӯмпал	l uː m p a l
лӯмь	l uː mʲ
лӯсс	l uː sː
лӯххт	l uː xː t
ма̄дт	m aː d̥͡t
ма̄нн	m aː nː
ма̄нэх	m aː n ɛ x
ма̄цэх	m aː t͡s ɛ x
ма̄ҋҋк	m aː j̥ː k
манн	m a nː
маннь	m a ɲː
маннҍ	m a nʲː
манӭ	m a nʲ ɛ
манӭмьчалльм	m a nʲ ɛ mʲ tʲ ʃ a lʲː m
маххт	m a xː t
маӈӈа	m a ŋː a
ме̄рр	m i̯ e rː
мо̄джесь	m oː d͡ʒʲ e sʲ
моа̄йнас	m ɒː j n a s
моайнсэ	m ɒ j n s ɛ
моррш	m o rː ʃ
мулльшта̄ххьт	m u lʲː ʃʲ t a xʲː tʲ
мунн	m u nː
муннэ	m u nː ɛ
муннэнҍ	m u nː e nʲ
мыннӭ	m ɨ nʲː e
мырр	m ɨ rː
мэ̄йт	m ɛː j t
мэ̄ннэ	m ɛː nː ɛ
мӣ	m iː
мӣһкь	m iː hʲ kʲ
мӯдтҍ	m uː d̥͡tʲ
мӯн	m uː n
мӯнха	m uː n x a
мӯнэсьт	m uː n e sʲ t
мӯрр	m uː rː
мӯррьй	m uː rʲː j
мӯттҍк	m uː tʲː kʲ
нёа̄лл	ɲ ɒː lː
на̄ввьт	n aː vʲː tʲ
нагерь	n a ɡʲ e rʲ
не̄лльй	ɲ i͜e ʎː
не̄лльйлоагант	ɲ eː ʎː l ɒ ɡ a n t
не̄лльйлоагкь	ɲ eː ʎː l ɒ ɡʲ kʲ
ниввьл	n i vʲː lʲ
ниннч	n i nː t͡ʃʲ
ноа̄вга	n ɒː v ɡ a
