â	a
ab	a b
abad	a b a d
abadaeth	a b a d a ɨ̯ θ
abadaeth	a b a d ɛ θ
abadaeth	a b a d ɛ θ
abadaethau	a b a d e ɨ̯ θ a ɨ̯
abadaethau	a b a d e ɨ̯ θ ɛ
abadaethau	a b a d e ɨ̯ θ a
abadaethau	a b a d e ɨ̯ θ ɛ
abadaethau	a b a d e ɨ̯ θ a
abadau	a b a d a ɨ̯
abadau	a b a d ɛ
abadau	a b a d a
abadau	a b a d ɛ
abadau	a b a d a
abades	a b a d ɛ s
abadesau	a b a d ɛ s a ɨ̯
abadesau	a b a d ɛ s ɛ
abadesau	a b a d ɛ s a
abadesau	a b a d ɛ s ɛ
abadesau	a b a d ɛ s a
abatai	a b a t a ɨ̯
abatir	a b a t ɪ r
abatiroedd	a b a t ɪ r ɔ ɨ̯ ð
abaty	a b a t ɨ̞
abathocroalaidd	a b a θ ɔ k r ɔ a l a i̯ ð
aber	a b ɛ r
aberaeron	a b ɛ r e ɨ̯ r ɔ n
aberafan	a b ɛ r a v a n
aberdâr	a b ɛ r d aː r
aberdaugleddau	a b ɛ r d a ɨ̯ ɡ l ɛ ð a ɨ̯
aberdaugleddau	a b ɛ r d a ɨ̯ ɡ l ɛ ð ɛ
aberdaugleddau	a b ɛ r d a ɨ̯ ɡ l ɛ ð a
aberdaugleddau	a b ɛ r d a ɨ̯ ɡ l ɛ ð ɛ
aberdaugleddau	a b ɛ r d a ɨ̯ ɡ l ɛ ð a
abergofiant	a b ɛ r ɡ ɔ v j a n t
abergwaun	a b ɛ r ɡ w a ɨ̯ n
abermaw	a b ɛ r m a u̯
abermaw	a b ɛ r m ɔ
abermaw	b ɛ r m ɔ
abertawe	a b ɛ r t a u̯ ɛ
aberteifi	a b ɛ r t e i̯ v i
aberth	a b ɛ r θ
aberthged	a b ɛ r θ ɡ ɛ d
aberthgedau	a b ɛ r θ ɡ ɛ d a ɨ̯
aberthgedau	a b ɛ r θ ɡ ɛ d ɛ
aberthgedau	a b ɛ r θ ɡ ɛ d a
aberthgedau	a b ɛ r θ ɡ ɛ d ɛ
aberthgedau	a b ɛ r θ ɡ ɛ d a
aberthu	a b ɛ r θ ɨ̞
aberystwyth	a b ɛ r ə s d w ɨ̞ θ
aberhonddu	a b ɛ r h ɔ n ð ɨ
abl	a b l
abladol	a b l a d ɔ l
abostol	a b ɔ s d ɔ l
absen	a b s ɛ n
absennau	a b s ɛ n a ɨ̯
absennau	a b s ɛ n ɛ
absennau	a b s ɛ n a
absennau	a b s ɛ n ɛ
absennau	a b s ɛ n a
absennol	a b s ɛ n ɔ l
absennu	a b s ɛ n ɨ
absenoldeb	a b s ɛ n ɔ l d ɛ b
absenoldeb	a b s ɛ n ɔ l d a b
absenoldeb	a b s ɛ n ɔ l d a b
abwyd	a b ʊ ɨ̯ d
abwydyn	a b ʊ ɨ̯ d ɨ̞ n
