abo	a b ɔ
abonować	a b ɔ n ɔ w a t͡ʃ
abonowani	a b ɔ n ɔ w a n i
abonowanja	a b ɔ n ɔ w a n j a
abonowanjach	a b ɔ n ɔ w a n j a x
abonowanjam	a b ɔ n ɔ w a n j a m
abonowanje	a b ɔ n ɔ w a n j ɛ
abonowanjemi	a b ɔ n ɔ w a n j ɛ m i
abonowanjom	a b ɔ n ɔ w a n j ɔ m
abonowanjomaj	a b ɔ n ɔ w a n j ɔ m a j
abonowanjow	a b ɔ n ɔ w a n j ɔ w
abonowanju	a b ɔ n ɔ w a n j u
abonujemy	a b ɔ n u j ɛ m ɨ
abortować	a b ɔ ʀ t ɔ w a t͡ʃ
absurdny	a p s u ʀ d n ɨ
adresa	a d ʀ ɛ s a
adresach	a d ʀ ɛ s a x
adresam	a d ʀ ɛ s a m
adresami	a d ʀ ɛ s a m i
adresomaj	a d ʀ ɛ s ɔ m a j
adresow	a d ʀ ɛ s ɔ w
adresu	a d ʀ ɛ s u
adresy	a d ʀ ɛ s ɨ
Africe	a f ʀ i t͡s ɛ
Afričan	a f ʀʲ i j t͡ʃ a n
Afričanka	a f ʀʲ i j t͡ʃ a n k a
Afrika	a f ʀʲ i k a
Afriki	a f ʀ i k i
Afriku	a f ʀ i k u
akuzatiw	a k u z a t i w
Albanska	a l b a n s k a
ale	a l ɛ
apryl	a p ʀ ɨ l
arcybiskop	a ʀ t͡s ɨ b i s k ɔ p
archeologija	a ʀ x ɛ ɔ l ɔ ɡ i j a
archeologiski	a ʀ x ɛ ɔ l ɔ ɡ i s k i
Awstralčan	a w s t ʀ a l t͡ʃ a n
Awstralčanka	a w s t ʀ a l t͡ʃ a n k a
Awstralija	a w s t ʀ a l i j a
Awstralska	a w s t ʀ a l s k a
awto	a w t ɔ
awtomobil	a w t ɔ m ɔ b i l
awtor	a w t ɔ ʀ
Azija	a z i j a
baba	b a b a
baćon	b a t͡ʃ ɔ n
bahno	b a n ɔ
bamborak	b a m b ɔ ʀ a k
bamborka	b a m b ɔ ʀ k a
banja	b a n j a
bažina	b a ʒ i n a
bě	b ɪ
běch	b ɪ x
běchmoj	b ɪ x m ɔ j
běchmy	b ɪ x m ɨ
běłoruski	b ɪ w ɔ ʀ u s k i
běłozor	b ɪ w ɔ z ɔ ʀ
běłožar	b ɪ w ɔ ʒ a ʀ
běły	b ɪ w ɨ
běl	b ɪ l
běla	b ɪ l a
běleny	bʲ ɪ l ɛ n ɨ
běli	b ɪ l i
bělić	b ɪ l i t͡ʃ
běliće	b ɪ l i t͡ʃ ɛ
bělidło	b ɪ l i d w ɔ
běliš	bʲ ɪ l i j ʃ
bělu	b ɪ l u
běšće	b ɪ ʃ t͡ʃ ɛ
běše	b ɪ ʃ ɛ
běštaj	b ɪ ʃ t a j
běštej	bʲ ɪ j ʃ t ɛ j
biblioteka	bʲ i b l i ɔ t ɛ k a
biblioteki	bʲ i b l i ɔ t ɛ k i
bić	b i t͡ʃ
biće	b i t͡ʃ ɛ
bidmo	b i d m ɔ
birmaski	b i ʀ m a s k i
bjedro	b j ɛ d ʀ ɔ
bjesadować	bʲ ɛ s a d ɔ w a j t͡ʃ
błóto	b w ʊ t ɔ
błysk	b w ɨ s k
błyskać	b w ɨ s k a t͡ʃ
blancać	b l a n t͡s a t͡ʃ
blawkać	b l a w k a t͡ʃ
blond	b l ɔ n t
boha	b ɔ ɦ a
Bohachwał	b ɔ ɦ a x w a w
bohate	b ɔ h a t ɛ
bohaty	b ɔ ɦ a t ɨ
bohom	b ɔ ɦ ɔ m
bohu	b ɔ ɦ u
Bohuchwał	b ɔ ɦ u x w a w
bojeć	b ɔ j ɛ t͡ʃ
bor	b ɔ ʀ
boran	b ɔ ʀ a n
bordel	b ɔ ʀ d ɛ l
bozanka	b ɔ z a n k a
bóh	b ʊ
bój	b ʊ j
ból	b ʊ l
bóz	b ʊ s
Brankačkec	b ʀ a n k a j t͡ʃ k ɛ t͡s
bratr	b ʀ a t ʀ
brěza	b ʀ ɪ z a
brjóh	b ʀ j ʊ
brjuch	b ʀʲ u x
broda	b ʀ ɔ d a
brodaty	b ʀ ɔ d a t ɨ
bród	b ʀ ʊ t
bróna	b ʀ ʊ n a
bróń	b ʀ ʊ j n
brózda	b ʀ ʊ z d a
bruslica	b ʀ u s l i t͡s a
brusnica	b ʀ u s n i t͡s a
budu	b u d u
Budyšin	b u d ɨ j ʃ i n
Budyšink	b u d ɨ ʃ i n k
budź	b u t͡ʃ
budźe	b u d͡ʒ ɛ
budźeće	b u d͡ʒ ɛ t͡ʃ ɛ
budźeja	b u d͡ʒ ɛ j a
budźemoj	b u d͡ʒ ɛ m ɔ j
budźemy	b u d͡ʒ ɛ m ɨ
budźeš	b u d͡ʒ ɛ ʃ
budźetaj	b u d͡ʒ ɛ t a j
budźetej	b u d͡ʒ ɛ t ɛ j
buwoł	b u w ɔ w
by	b ɨ
być	b ɨ j t͡ʃ
byće	b ɨ j t͡ʃ ɛ
bydło	b ɨ d w ɔ
bych	b ɨ x
bychmoj	b ɨ x m ɔ j
bychmy	b ɨ x m ɨ
bychu	b ɨ x u
byšće	b ɨ ʃ t͡ʃ ɛ
byštaj	b ɨ ʃ t a j
byštej	b ɨ ʃ t ɛ j
cachor	t͡s a x ɔ ʀ
capriccio	k a p ʀʲ i t͡s i ɔ
cej	t͡s ɛ j
cybla	t͡s ɨ b l a
cyblach	t͡s ɨ b l a x
cyblam	t͡s ɨ b l a m
cyble	t͡s ɨ b l ɛ
cyblemi	t͡s ɨ b l ɛ j mʲ i
cybli	t͡s ɨ b l i
cyblomaj	t͡s ɨ b l ɔ m a j
cyblow	t͡s ɨ b l ɔ w
cyblu	t͡s ɨ b l u
cycak	t͡s ɨ t͡s a k
cyrkej	t͡s ɨ ʀ k ɛ j
č	t͡ʃ
čakać	t͡ʃ a k a t͡ʃ
čakanje	t͡ʃ a k a n j ɛ
čapla	t͡ʃ a p l a
čas	t͡ʃ a s
časć	t͡ʃ a s t͡ʃ
čej	t͡ʃ ɛ j
čeledź	t͡ʃ ɛ l ɛ t͡ʃ
čerstwy	t͡ʃ ɛ ʀ s t w ɨ
čerw	t͡ʃ ɛ ʀ w
čerwjeny	t͡ʃ ɛ ʀ ɥ ɛ n ɨ
česć	t͡ʃ ɛ s t͡ʃ
čěs	t͡ʃ ɪ s
čěski	t͡ʃ ɪ s k i
činić	t͡ʃ i j ɲ i j t͡ʃ
činjenje	t͡ʃ i j ɲ ɛ j ɲ ɛ
čisty	t͡ʃ i s t ɨ
čita	t͡ʃ i t a
čitać	t͡ʃ i t a t͡ʃ
čitanje	t͡ʃ i t a n j ɛ
čižik	t͡ʃ i ʒ i k
čłowjek	t͡ʃ w ɔ j wʲ ɛ k
čołm	t͡ʃ ɔ w m
čoło	t͡ʃ ɔ w ɔ
čorny	t͡ʃ ɔ ʀ n ɨ
črjewo	t͡ʃ ʀʲ ɛ w ɔ
črjop	t͡ʃ ʀʲ ɔ p
čujny	t͡ʃ u j n ɨ
čumpać	t͡ʃ u m p a t͡ʃ
ć	t͡ʃ
ćelata	t͡ʃ ɛ l a t a
ćelatach	t͡ʃ ɛ l a t a x
ćelatam	t͡ʃ ɛ l a t a m
ćelatami	t͡ʃ ɛ l a t a m i
ćelatow	t͡ʃ ɛ l a t ɔ w
ćeleća	t͡ʃ ɛ l ɛ t͡ʃ a
ćeleći	t͡ʃ ɛ l ɛ t͡ʃ i
ćelećom	t͡ʃ ɛ l ɛ t͡ʃ ɔ m
ćelećomaj	t͡ʃ ɛ l ɛ t͡ʃ ɔ m a j
ćelećow	t͡ʃ ɛ l ɛ t͡ʃ ɔ w
ćeleću	t͡ʃ ɛ l ɛ t͡ʃ u
ćelo	t͡ʃ ɛ l ɔ
ćepać	t͡ʃ ɛ p a t͡ʃ
ćerń	t͡ʃ ɛ ʀ j n
ćesać	t͡ʃ ɛ s a j t͡ʃ
ćežki	t͡ʃ ɛ ʃ k i
ćěło	t͡ʃ ɪ w ɔ
ćěsto	t͡ʃ ɪ s t ɔ
ćopły	t͡ʃ ɔ p w ɨ
dać	d a t͡ʃ
dakać	d a k a t͡ʃ
dakawa	d a k a w a
Dalmaciska	d a l m a t͡s i s k a
Danska	d a n s k a
daty	d a t ɨ
dawać	d a w a t͡ʃ
dedukować	d ɛ d u k ɔ w a t͡ʃ
dejić	d ɛ j i t͡ʃ
delnjoserbski	d ɛ l ɲ ɔ s ɛ ʀ p s k i
dešć	d ɛ ʃ t͡ʃ
dłóń	d w ʊ j n
dno	d n ɔ
dobry	d ɔ b ʀ ɨ
doł	d ɔ w
dołhi	d ɔ w ɦ i
dorn	d ɔ ʀ n
drasta	d ʀ a s t a
drjewo	d ʀ j ɛ w ɔ
droha	d ʀ ɔ ɦ a
dróha	d ʀ ʊ h a
drózn	d ʀ ʊ z n
druhi	d ʀ u h i
dub	d u p
duba	d u b a
dubaj	d u b a j
dubej	d u b ɛ j
dubje	d u b j ɛ
dubom	d u b ɔ m
dubow	d u b ɔ w
duby	d u b ɨ
durje	d u ʀ j ɛ
dwaceći	d w a t͡s ɛ t͡ʃ i
dwaj	d w a j
dwanaće	d w a n a t͡ʃ ɛ
dych	d ɨ x
dychać	d ɨ x a j t͡ʃ
dym	d ɨ m
dymej	d ɨ m ɛ j
dź	t͡ʃ
dźasna	d͡ʒ a s n a
dźećelc	d͡ʒ ɛ j t͡ʃ ɛ l t͡s
dźensa	d͡ʒ ɛ n s a
dźeń	d͡ʒ ɛ j n
dźeržeć	d͡ʒ ɛ ʀ ʒ ɛ t͡ʃ
dźesać	d͡ʒ ɛ s a t͡ʃ
dźesaty	d͡ʒ ɛ s a t ɨ
dźewjatnaće	d͡ʒ ɛ ɥ a t n a t͡ʃ ɛ
dźewjaty	d͡ʒ ɛ ɥ a t ɨ
dźewjeć	d͡ʒ ɛ ɥ ɛ t͡ʃ
dźěćatstwo	d͡ʒ ɪ t͡ʃ a t͡s s t w ɔ
dźěćo	d͡ʒ ɪ j t͡ʃ ɔ
dźěćowstwo	d͡ʒ ɪ t͡ʃ ɔ w s t w ɔ
dźěd	d͡ʒ ɪ t
dźěłać	d͡ʒ ɪ w a j t͡ʃ
dźěra	d͡ʒ ɪ ʀ a
dźiw	d͡ʒ i w
dźiwać	d͡ʒ i w a t͡ʃ
dźiwi	d͡ʒ i w i
dźiwy	d͡ʒ i w ɨ
dźowka	d͡ʒ ɔ w k a
eł	ɛ w
eř	ɛ j ʃ
Estiska	ɛ s t i s k a
estiski	ɛ s t i s k i
fidle	f i d l ɛ
finski	f i n s k i
firnis	f i ʀ ɲ i s
firnisować	f i ʀ ɲ i s ɔ w a j t͡ʃ
firnisowy	f i ʀ ɲ i s ɔ w ɨ
fonem	f ɔ n ɛ m
francoski	f ʀ a n t͡s ɔ s k i
Färöje	f ɛ ʀ ɛ j ɛ
haćik	ɦ a t͡ʃ i k
had	ɦ a t
Hadam	h a d a m
hadźik	h a j d͡ʒ i k
haj	ɦ a j
hałuza	ɦ a w u z a
hałza	ɦ a w z a
ham	ɦ a m
harfa	h a ʀ f a
hat	ɦ a t
hawron	ɦ a w ʀ ɔ n
Hawštyn	h a w ʃ t ɨ n
hdy	d ɨ
hdźe	d͡ʒ ɛ
hebrejski	ɦ ɛ b ʀ ɛ j s k i
hić	ɦ i t͡ʃ
hikać	ɦ i k a t͡ʃ
hišće	h i j ʃ t͡ʃ ɛ
hładki	ɦ w a t k i
hłowa	ɦ w ɔ w a
hłód	ɦ w ʊ t
hłós	w ʊ s
hlina	l i n a
hlista	ɦ l i s t a
hnězdo	n ɪ z d ɔ
hnida	n i d a
hojawa	ɦ ɔ j a w a
hołb	ɦ ɔ w p
holca	ɦ ɔ l t͡s a
homoła	ɦ ɔ m ɔ w a
horb	ɦ ɔ ʀ p
horbaty	ɦ ɔ ʀ b a t ɨ
hordło	ɦ ɔ ʀ d w ɔ
hordy	ɦ ɔ ʀ d ɨ
hornjoserbski	h ɔ ʀ ɲ ɔ s ɛ ʀ p s k i
hornjoserbšćina	h ɔ ʀ ɲ ɔ s ɛ ʀ p ʃ t͡ʃ i n a
howno	ɦ ɔ w n ɔ
howrić	ɦ ɔ w ʀ i t͡ʃ
howrił	h ɔ w ʀʲ i w
howrjacy	ɦ ɔ w ʀ j a t͡s ɨ
howrjenje	ɦ ɔ w ʀ j ɛ n j ɛ
howrjeny	h ɔ w ʀʲ ɛ n ɨ
hósć	h ʊ s t͡ʃ
hózdź	h ʊ s t͡ʃ
hra	ʀ a
hrać	ʀ a t͡ʃ
hranica	ʀ a n i t͡s a
hriwa	ʀʲ i w a
hroza	ʀ ɔ z a
hród	ʀ ʊ t
hrudź	ʀ u j t͡ʃ
hrymzak	ʀ ɨ m z a k
huba	ɦ u b a
hupak	ɦ u p a k
hus	ɦ u s
husle	ɦ u s l ɛ
hwězda	f ɪ z d a
chcyć	t͡s ɨ j t͡ʃ
chěža	kʰ ɪ ʒ a
chłódźak	kʰ w ʊ d͡ʒ a k
chlěb	kʰ l ɪ p
chodźić	kʰ ɔ d͡ʒ i t͡ʃ
chorhoj	kʰ ɔ ʀ ɦ ɔ j
chort	kʰ ɔ ʀ t
Chorwatska	x ɔ ʀ v a t͡s k a
chory	kʰ ɔ ʀ ɨ
chód	kʰ ʊ t
chójna	kʰ ʊ j n a
chudy	kʰ u d ɨ
chwała	kʰ w a w a
ignorować	i ɡ n ɔ ʀ ɔ w a j t͡ʃ
imje	i m j ɛ
inženjer	i n ʒ ɛ n j ɛ ʀ
Islandska	i s l a n t s k a
Italska	i t a l s k a
ja	j a
jabłonišćo	j a b w ɔ n i ʃ t͡ʃ ɔ
jabłoń	j a b w ɔ j n
jabłońca	j a b w ɔ j n t͡s a
jabłuko	j a b w u k ɔ
jabrik	j a b ʀ i k
jahoda	j a h ɔ d a
jakotać	j a k ɔ t a t͡ʃ
jandźel	j a n d͡ʒ ɛ l
japanski	j a p a n s k i
japoštoł	j a p ɔ ʃ t ɔ w
japoštoła	j a p ɔ ʃ t ɔ w a
japoštołom	j a p ɔ ʃ t ɔ w ɔ m
japoštołow	j a p ɔ ʃ t ɔ w ɔ w
jatra	j a t ʀ a
jatřob	j a t ʃ ɔ p
jazyk	j a z ɨ k
jazyka	j a z ɨ k a
jazykej	j a z ɨ k ɛ j
