ং	ŋ
অঁকোল	ɔ k o l
অঁকোল	ɔ̃ k o l
অংগুস্তানা	ɔ ŋ ɡ u s t̪ a n aˑ
অংশ	ɔ ŋ ʃ oˑ
অংশক	ɔ ŋ ʃ ɔ k
অংশমান	ɔ ŋ ʃ ɔ m a n
অংশল	ɔ ŋ ʃ ɔ l
অংশাবতার	ɔ ŋ ʃ a b o t̪ a ɹ
অংশাবতার	ɔ ŋ ʃ a b o t̪ a ɾ
অংশু	ɔ ŋ ʃ uˑ
অংশুল	ɔ ŋ ʃ u l
অংশুশিরা	ɔ ŋ ʃ u ʃ i ɹ aˑ
অংশুশিরা	ɔ ŋ ʃ u ʃ i ɾ aˑ
অংহ	ɔ ŋ h oˑ
অই	o i̯
অওসৎ	ɔ o̯ s ɔ t̪
অওসৎ	ɔ o̯ ʃ ɔ t̪
অকথা	ɔ k ɔ t̪ʰ aˑ
অকপটচিত্তে	ɔ k ɔ p ɔ tː ɕ i t̪ː eˑ
অকপটচিত্তে	ɔ k ɔ p ɔ ʈ t͡ʃ i t̪ː eˑ
অকমনীয়	ɔ k ɔ m o n i̯ oˑ
অকম্পিত	ɔ k ɔ m p i t̪ oˑ
অকরণ	ɔ k ɹ o n
অকরণ	ɔ k ɾ o n
অকরুণ	ɔ k o ɹ u n
অকরুণ	ɔ k o ɾ u n
অকর্তা	ɔ k ɔ ɹ t̪ aˑ
অকর্তা	ɔ k ɔ ɾ t̪ aˑ
অকর্মণ্য	ɔ k ɔ ɹ m ɔ nː oˑ
অকর্মণ্য	ɔ k ɔ ɾ m ɔ nː oˑ
অকর্মা	ɔ k ɔ ɹ m aˑ
অকর্মা	ɔ k ɔ ɾ m aˑ
অকর্ষিত	ɔ k ɔ ɹ ʃ i t̪ oˑ
অকর্ষিত	ɔ k ɔ ɾ ʃ i t̪ oˑ
অকল	ɔ k ɔ l
অকলঙ্ক	ɔ k ɔ l o ŋ k oˑ
অকলঙ্কিত	ɔ k ɔ l o ŋ k i t̪ oˑ
অকলঙ্কী	ɔ k ɔ l o ŋ k iˑ
অকলমন্দ	ɔ k o l m ɔ n d̪
অকলমন্দ	ɔ k o l m ɔ n d̪ oˑ
অকল্ক	ɔ k ɔ l k ɔˑ
অকল্কা	ɔ k ɔ l k aˑ
অকল্পনা	ɔ k ɔ l p ɔ n aˑ
অকল্মষ	ɔ k ɔ l m ɔ ʃ
অকল্যাণ	ɔ k ɔ l l a n
অকল্যাণকর	ɔ k ɔ lː a n k ɔ ɹ
অকল্যাণকর	ɔ k ɔ lː a n k ɔ ɾ
অকল্যাণকারিণী	ɔ k ɔ lː a n k a ɹ i n iˑ
অকল্যাণকারিণী	ɔ k ɔ lː a n k a ɾ i n iˑ
অকস্মাৎ	ɔ k ɔ ʃː a t̪
অকাজ	ɔ k a d ʑ
অকাজ	ɔ k a d͡ʒ
অকাট	ɔ k a t
অকাট	ɔ k a ʈ
অকাট্য	ɔ k a tː oˑ
অকাট্য	ɔ k a ʈː oˑ
অকাঠা	ɔ k a tʰ aˑ
অকাঠা	ɔ k a ʈʰ aˑ
অকাণ্ড	ɔ k a n d ɔˑ
অকাণ্ড	ɔ k a n ɖ ɔˑ
অকাণ্ডে	ɔ k a n d eˑ
অকাণ্ডে	ɔ k a ɳ ɖ eˑ
অকাতর	ɔ k a t̪ ɔ ɹ
অকাতর	ɔ k a t̪ ɔ ɾ
অকাতরে	ɔ k a t̪ ɔ ɹ eˑ
অকাতরে	ɔ k a t̪ ɔ ɾ eˑ
অকাম	ɔ k a m
অকাম্য	ɔ k a mː oˑ
অকার	ɔ k a ɹ
অকার	ɔ k a ɾ
অকারণ	ɔ k a ɹ o n
অকারণ	ɔ k a ɾ o n
অকারণে	ɔ k a ɹ ɔ n eˑ
অকারণে	ɔ k a ɾ ɔ n eˑ
অকারত	ɔ k a ɹ ɔ t̪
অকারত	ɔ k a ɾ ɔ t̪
অকারাদি	ɔ k a ɹ a d̪ iˑ
অকারাদি	ɔ k a ɾ a d̪ iˑ
অকারান্ত	ɔ k a ɹ a n t̪ oˑ
অকারান্ত	ɔ k a ɾ a n t̪ oˑ
অকার্য	ɔ k a ɹ d ʑ oˑ
অকার্য	ɔ k a ɾ d͡ʒ oˑ
অকাল	ɔ k a l
অকালপক্বতা	ɔ k a l p ɔ kː ɔ t̪ aˑ
অকালবোধন	ɔ k a l b o d̪ʱ ɔ n
অকালমৃত্যু	ɔ k a l m ɹ i t̪ː uˑ
অকালমৃত্যু	ɔ k a l m ɾ i t̪ː uˑ
অকালসন্ধ্যা	ɔ k a l ɔ ʃ ɔ n d̪ʱ aˑ
অকালে	ɔ k a l eˑ
অকিঞ্চনতা	ɔ k i n t ɕ ɔ n o t̪ aˑ
অকিঞ্চনতা	ɔ k i n t͡ʃ ɔ n o t̪ aˑ
অকিঞ্চনত্ব	ɔ k i n t ɕ ɔ n o t̪ː oˑ
অকিঞ্চনত্ব	ɔ k i n t͡ʃ ɔ n o t̪ː oˑ
অকিঞ্চিৎ	ɔ k i n t ɕ i t̪
অকিঞ্চিৎ	ɔ k i n t͡ʃ i t̪
অকিঞ্চিৎকরতা	ɔ k i n t ɕ i t̪ k ɔ ɹ o t̪ aˑ
অকিঞ্চিৎকরতা	ɔ k i n t͡ʃ i t̪ k ɔ ɾ o t̪ aˑ
অকীর্তিকর	ɔ k i ɹ t̪ i k ɔ ɹ
অকীর্তিকর	ɔ k i ɾ t̪ i k ɔ ɾ
অকুটিলতা	ɔ k u t i l ɔ t̪ aˑ
অকুটিলতা	ɔ k u ʈ i l ɔ t̪ aˑ
অকুণ্ঠিতচিত্ত	ɔ k u n tʰ i t̪ ɔ t ɕ i t̪ː oˑ
অকুণ্ঠিতচিত্ত	ɔ k u ɳ ʈʰ i t̪ ɔ t͡ʃ i t̪ː oˑ
অকুণ্ঠিতচিত্তে	ɔ k u n tʰ i t̪ ɔ t ɕ i t̪ː eˑ
অকুণ্ঠিতচিত্তে	ɔ k u ɳ ʈʰ i t̪ ɔ t͡ʃ i t̪ː eˑ
অকৃতকার্যতা	ɔ k ŕ t̪ ɔ k a ɹ d ʑ ɔ t̪ aˑ
অকৃতকার্যতা	ɔ k ŕ t̪ ɔ k a ɾ d͡ʒ ɔ t̪ aˑ
অকেশ	ɔ k e ʃ
অকোবিদ	ɔ k o b i d̪
অকৌশল	ɔ k o u̯ ʃ ɔ l
অক্কা	ɔ kː aˑ
অক্টোপাস	ɔ k t o p a ʃ
অক্টোপাস	ɔ k ʈ o p a ʃ
অক্টোবর	ɔ k t o b ɔ ɹ
অক্টোবর	ɔ k ʈ o b ɔ ɾ
অক্ত	ɔ k t̪ oˑ
অক্রিয়কর্মা	ɔ k ɹ i̯ ɔ k ɔ ɹ m aˑ
অক্রিয়কর্মা	ɔ k ɾ i̯ ɔ k ɔ ɾ m aˑ
অক্রিয়ানিষ্ঠ	ɔ k ɹ i̯ a n i s tʰ oˑ
অক্রিয়ানিষ্ঠ	ɔ k ɹ i̯ a n i ʃ tʰ oˑ
অক্রিয়ানিষ্ঠ	ɔ k ɾ i̯ a n i ʂ ʈʰ oˑ
অক্রিয়ান্বিত	ɔ k ɹ i̯ a nː i t̪ oˑ
অক্রিয়ান্বিত	ɔ k ɾ i̯ a nː i t̪ oˑ
অক্রিয়াসক্ত	ɔ k ɹ i̯ a ʃ ɔ k t̪ oˑ
অক্রিয়াসক্ত	ɔ k ɾ i̯ a ʃ ɔ k t̪ oˑ
অক্ষ	ɔ kʰː oˑ
অক্ষবৃত্ত	ɔ kʰː ɔ b ɹ i t̪ː oˑ
অক্ষবৃত্ত	ɔ kʰː ɔ b ɾ i t̪ː oˑ
অক্ষয়	ɔ kʰː ɔ e̯
অক্ষয়কীর্তি	ɔ kʰː ɔ e̯ k i ɹ t̪ iˑ
অক্ষয়কীর্তি	ɔ kʰː ɔ e̯ k i ɾ t̪ iˑ
অক্ষরডম্বর	ɔ kʰː ɔ ɹ o d ɔ m b ɔ ɹ
অক্ষরডম্বর	ɔ kʰː ɔ ɾ o ɖ ɔ m b ɔ ɾ
অক্ষরবৃত্ত	ɔ k kʰ ɔ ɹ b ɹ i t̪ t̪ oˑ
অক্ষরবৃত্ত	ɔ k kʰ ɔ ɾ b ɾ i t̪ t̪ oˑ
অক্ষরমালা	ɔ kʰː ɔ ɹ m a l aˑ
অক্ষরমালা	ɔ kʰː ɔ ɾ m a l aˑ
অক্ষরেখা	ɔ kʰː ɔ ɹ e kʰ aˑ
অক্ষরেখা	ɔ kʰː ɔ ɾ e kʰ aˑ
অক্ষশক্তি	ɔ kʰː ɔ ʃ ɔ k t̪ iˑ
অক্ষি	o kʰː iˑ
অক্ষি	ɔ kʰː iˑ
অক্ষিলোম	ɔ kʰː i l o m
অক্ষিশালাক্য	ɔ kʰː i ʃ a l a kː oˑ
অক্ষীয়	ɔ kʰː i̯ oˑ
অখিলেশ	ɔ kʰ i l e ʃ
অগচ্ছিত	ɔ ɡ ɔ t ɕʰː i t̪ oˑ
অগচ্ছিত	ɔ ɡ ɔ t͡ʃʰː i t̪ oˑ
অগস্ট	ɔ ɡ ɔ s t
অগস্ট	ɔ ɡ ɔ s t oˑ
অগস্ট	ɔ ɡ ɔ s ʈ
অগস্ট	ɔ ɡ ɔ s ʈ oˑ
অগস্ট	ɔ ɡ ɔ ʂ ʈ
অগস্ট	ɔ ɡ ɔ ʂ ʈ oˑ
অগাষ্ট	ɔ ɡ a s t
অগাষ্ট	ɔ ɡ a s ʈ
অগাষ্ট	ɔ ɡ a ʂ ʈ
অগোছালো	ɔ ɡ o t ɕʰ a l oˑ
অগোছালো	ɔ ɡ o t͡ʃʰ a l oˑ
অগোপনীয়	ɔ ɡ o p o n i̯ oˑ
অগ্নি	o ɡ n iˑ
অগ্নিকাণ্ড	ɔ ɡ n i k a n d oˑ
অগ্নিকাণ্ড	ɔ ɡ n i k a ɳ ɖ oˑ
অগ্নিকুণ্ড	ɔ ɡ n i k u n d oˑ
অগ্নিকুণ্ড	ɔ ɡ n i k u ɳ ɖ oˑ
অগ্নিদাহ্য	ɔ ɡ n i d̪ a d ʑʱː oˑ
অগ্নিদাহ্য	ɔ ɡ n i d̪ a d͡ʒ d͡ʒʱ oˑ
অগ্নিদাহ্য	ɔ ɡ n i d̪ a z̪̪ d͡ʒʱ oˑ
অগ্নিমূল্য	ɔ ɡ n i m u l l ɔˑ
অগ্র	ɔ ɡ ɹ oˑ
অগ্র	ɔ ɡ ɾ oˑ
অগ্রজিহ্বা	ɔ ɡ ɹ ɔ d ʑ i u̯ bʱ aˑ
অগ্রজিহ্বা	ɔ ɡ ɹ ɔ d ʑ i u̯ v aˑ
অগ্রজিহ্বা	ɔ ɡ ɾ ɔ d͡ʒ i u̯ bʱ aˑ
অগ্রজিহ্বা	ɔ ɡ ɾ ɔ d͡ʒ i u̯ v aˑ
অগ্রসূচনা	ɔ ɡ ɡ ɹ ɔ ʃ u t ɕ ɔ n aˑ
অগ্রসূচনা	ɔ ɡ ɡ ɾ ɔ ʃ u t͡ʃ ɔ n aˑ
অগ্রহায়ণ	ɔ ɡ ɹ o h a e̯ o n
অগ্রহায়ণ	ɔ ɡ ɾ o h a e̯ o n
অগ্র‍্য	ɔ ɡ ɹ ɔ e̯ oˑ
অঘ	ɔ ɡ
অঘ্রান	ɔ ɡʱ ɹ a n
অঘ্রান	ɔ ɡʱ ɾ a n
অঙ্গন	ɔ ŋ ɡ o n
অঙ্গার	ɔ ŋ ɡ a ɹ
অঙ্গার	ɔ ŋ ɡ a ɾ
অঙ্গুষ্ঠ	ɔ ŋ ɡ u s tʰ oˑ
অঙ্গুষ্ঠ	ɔ ŋ ɡ u ʂ ʈʰ oˑ
অঙ্গুষ্ঠ	ɔ ŋ ɡ u ʃ tʰ oˑ
অচেনা	ɔ t ɕ e n aˑ
অচেনা	ɔ t͡ʃ e n aˑ
অছি	ɔ s iˑ
অছি	ɔ t ɕʰ iˑ
অছি	ɔ t͡ʃʰ iˑ
অজগর	ɔ d ʑ o ɡ ɔ ɹ
অজগর	ɔ d͡ʒ o ɡ ɔ ɾ
অজুহাত	ɔ d ʑ u h a t̪
অজুহাত	ɔ d̪ z u h a t̪
অজুহাত	ɔ d͡ʒ u h a t̪
অজুহাত	ɔ z u h a t̪
অঞ্চল	ɔ n t ɕ ɔ l
অঞ্চল	ɔ n t͡ʃ ɔ l
অঞ্জলি	ɔ n d ʑ o l iˑ
অঞ্জলি	ɔ n d͡ʒ o l iˑ
অড়হর	ɔ ɹ h ɔ ɹ
অড়হর	ɔ ɹ o h ɔ ɹ
অড়হর	ɔ ɽ h ɔ ɾ
অড়হর	ɔ ɽ o h ɔ ɾ
অড়হর	ɔ ɾ h ɔ ɾ
অড়হর	ɔ ɾ o h ɔ ɾ
অণ্ড	ɔ n d oˑ
অণ্ড	ɔ ɳ ɖ oˑ
অণ্ডজ	ɔ n d o d ʑ
অণ্ডজ	ɔ ɳ ɖ o d͡ʒ
অতিথি	o t̪ i t̪ʰ iˑ
অতিরিক্ত	o t̪ i ɹ i k t̪ oˑ
অতিরিক্ত	o t̪ i ɾ i k t̪ oˑ
অতীত	o t̪ i t̪
অত্যাচার	o t̪ː a t ɕ a ɹ
অত্যাচার	o t̪ː a t͡ʃ a ɾ
অথবা	ɔ t̪ʰ o b aˑ
অদৃশ্য	ɔ d̪ː ɹ i ʃː oˑ
অদৃশ্য	ɔ d̪ː ɾ i ʃː oˑ
অধর্ম	ɔ d̪ʱ ɔ ɹ m ɔˑ
অধর্ম	ɔ d̪ʱ ɔ ɾ m ɔˑ
অধিকার	o d̪ʱ i k a ɹ
অধিকার	o d̪ʱ i k a ɾ
অধিকার	ɔ d̪ʱ i k a ɹ
অধিকার	ɔ d̪ʱ i k a ɾ
অধৈর্য	ɔ dʱ o i̯ r d͡ʒː o
অধ্যয়ন	ɔ d̪ʱː ɔ e̯ o n
অধ্যায়	ɔ d̪ʱː a e̯
অনন্যা	ɔ n o nː aˑ
অনার্য	ɔ n a ɹ d ʑ oˑ
অনার্য	ɔ n a ɾ d͡ʒ oˑ
অনুগত	o n u ɡ ɔ t̪ oˑ
অনুনাসিক	o n u n a ʃ i k
অনুবাদ	o n u b a d̪
অনুবাদক	o n u b a d̪ ɔ k
অনুভূতি	o n u bʱ u t̪ iˑ
অনুভূতি	o n u v u t̪ iˑ
অনুমতি	o n u m o t̪ iˑ
অনুরাগ	o n u ɹ a ɡ
অনুরাগ	o n u ɾ a ɡ
অনুরোধ	o n u ɹ o d̪
অনুরোধ	o n u ɾ o d̪
অনুরোধে	o n u ɹ o d̪ʱ eˑ
অনুরোধে	o n u ɾ o d̪ʱ eˑ
অনুষ্ঠান	o n u s tʰ a n
অনুষ্ঠান	o n u ʂ ʈʰ a n
অনুষ্ঠান	o n u ʃ tʰ a n
অনুস্বর	o n u ʃː ɔ ɹ
অনুস্বর	o n u ʃː ɔ ɾ
অনুস্বার	o n u ʃː a ɹ
অনুস্বার	o n u ʃː a ɾ
অনেক	ɔ n e k
অন্টারিও	ɔ n t a ɹ i̯ oˑ
অন্টারিও	ɔ ɳ ʈ a ɾ i̯ oˑ
অন্তর	ɔ n t̪ ɔ ɹ
অন্তর	ɔ n t̪ ɔ ɾ
অন্ধকার	ɔ n d̪ʱ o k a ɹ
অন্ধকার	ɔ n d̪ʱ o k a ɾ
অন্ধপ্রায়	ɔ n d̪ʱ ɔ p ɹ a e̯
অন্ধপ্রায়	ɔ n d̪ʱ ɔ p ɾ a e̯
অন্ধ্র	ɔ n d̪ʱ ɹ ɔˑ
অন্ধ্র	ɔ n d̪ʱ ɾ ɔˑ
অন্ধ্রপ্রদেশ	ɔ n d̪ʱ o ɹ p ɹ o d̪ e ʃ
অন্ধ্রপ্রদেশ	ɔ n d̪ʱ o ɾ p ɾ o d̪ e ʃ
অন্ধ্রপ্রদেশ	ɔ n d̪ʱ ɹ o p ɹ o d̪ e ʃ
অন্ধ্রপ্রদেশ	ɔ n d̪ʱ ɾ o p ɾ o d̪ e ʃ
অন্ন	ɔ nː oˑ
অন্বেষণ	ɔ nː e ʃ ɔ n
অন্য	o nː oˑ
অন্যতম	o nː o t̪ ɔ m oˑ
অপরাধ	ɔ p o ɹ a d̪
অপরাধ	ɔ p o ɾ a d̪
অপারেশন	ɔ p a ɹ e ʃ o n
অপারেশন	ɔ p a ɾ e ʃ o n
অপিনিহিতি	ɔ p i n i h i t̪ iˑ
অপেক্ষা	ɔ p e kːʰ aˑ
অপেক্ষাকৃত	ɔ p e kːʰ a k ɾ i t̪ ɔ̝ˑ
অপ্সরা	ɔ p ʃ ɔ ɹ aˑ
অপ্সরা	ɔ p ʃ ɔ ɾ aˑ
অফিস	ɔ f i s
অফিস	ɔ f i ʃ
অফিস	ɔ p h i s
অবগুন্ঠন	ɔ b o ɡ u n tʰ o n
অবগুন্ঠন	ɔ b o ɡ u ɳ ʈʰ o n
অবতার	ɔ b o t̪ a ɹ
অবতার	ɔ b o t̪ a ɾ
অবলম্বন	ɔ b o l ɔ m b o n
অবশ্য	ɔ b o ʃː oˑ
অবাক	ɔ b ä k
অবাক	ɔ b äː k
অবিচার	ɔ b i t ɕ a ɹ
অবিচার	ɔ b i t͡ʃ a ɾ
অব্জ	ɔ b d ʑ oˑ
অব্জ	ɔ b d͡ʒ oˑ
অব্দ	ɔ b d̪ oˑ
অভিজ্ঞ	o bʱ i ɡː õˑ
অভিজ্ঞ	o v i ɡː oˑ
অভিজ্ঞ	o v i ɡː õˑ
অভিজ্ঞতা	o bʱ i ɡː ɔ t̪ aˑ
অভিজ্ঞতা	o v i ɡː ɔ t̪ aˑ
অভিধান	o b i d̪ʱ a n
অভিধান	o bʱ i d̪ʱ a n
অভিধান	o v i d̪ʱ a n
অভিনেতা	ɔ bʱ i n e t̪ aˑ
অভিনেতা	ɔ v i n e t̪ aˑ
অভিনেত্রী	ɔ bʱ i n e t̪ː ɹ iˑ
অভিনেত্রী	ɔ bʱ i n e t̪ː ɾ iˑ
অভিনেত্রী	ɔ v i n e t̪ː ɹ iˑ
অভিনেত্রী	ɔ v i n e t̪ː ɾ iˑ
অভিমত	o bʱ i m ɔ t̪
অভিমত	o bʱ i m ɔ t̪ oˑ
অভিমত	o v i m ɔ t̪
অভিমত	o v i m ɔ t̪ oˑ
অভিমন্যু	ɔ bʱ i m ɔ nː uˑ
অভিমন্যু	ɔ v i m ɔ nː uˑ
অভিযোগ	o bʱ i d ʑ o ɡ
অভিযোগ	o bʱ i d͡ʒ o ɡ
অভিযোগ	o v i d ʑ o ɡ
অভিযোগ	o v i d͡ʒ o ɡ
অভিশ্রুতি	ɔ bʱ i s ɹ u t̪ iˑ
অভিশ্রুতি	ɔ bʱ i s ɾ u t̪ iˑ
অভিশ্রুতি	ɔ v i s ɹ u t̪ iˑ
অভিশ্রুতি	ɔ v i s ɾ u t̪ iˑ
অভিষিক্ত	ɔ bʱ i ʃ i k t̪ oˑ
অভিষিক্ত	ɔ v i ʃ i k t̪ oˑ
অভিষেক	o bʱ i ʃ e k
অভিষেক	o v i ʃ e k
অভিস্রবণ	ɔ bʱ i s ɹ ɔ b o n
অভিস্রবণ	ɔ bʱ i s ɾ ɔ b o n
