Aaden	aː d ə n
aal	aː l
aan	aː n
Aanter	aː n t ə r
Aap	aː p
aapje	aː p j ə
Aaste	aː s t ə
Aastfräislound	aː s t f r ɛ ɪ̯ s l oː u̯ n d
achttien	a x t t iˑ n
Adder	a d ə r
Akster	a k s t ə r
al	a l
alven	a l v ə n
an	a n
ankume	a n k u m ə
antruuije	a n t r uː i̯ j ə
ap	a p
Apel	aː p ə l
apníeme	a p n iː m ə
Appel	a p ə l
Baal	b aː l
Babe	b aː b ə
bale	b aː l ə
baue	b aː u̯ ə
bee	b eː
Been	b eː n
beeën	b eː j ə n
bere	b eː r ə
beter	b eː t ə r
Bidden	b ɪ d ə n
biete	b i t ə
biloved	b i l oː v ə d
biminje	b ɪ m ɪ n j ə
Bisamrotte	b iː s a m r ɔ t ə
bislute	b ɪ s l u t ə
bispoarje	b ɪ s p ɔː r j ə
bit	b ɪ t
bitje	b ɪ t j ə
blau	b l aː u̯
Blaumäske	b l aː u̯ m ɛ s k ə
Blede	b l eː d ə
Bloud	b l oː u̯ d
Bloume	b l oː u̯ m ə
Blääd	b l ɛː d
Boar	b ɔː r
Boare	b ɔː r ə
Boark	b ɔː r k
Boarke	b ɔː r k ə
Boart	b ɔː r t
Boas	b ɔː s
Boom	b oː m
Bouk	b oː u̯ k
Bouke	b oː u̯ k ə
Brainge	b r aː i̯ ŋ ə
breed	b r eː d
breke	b r eː k ə
Bronse	b r ɔ n s ə
Brood	b r oː d
Bround	b r oː u̯ n d
Brour	b r oː u̯ r
bruke	b r u k ə
Bräge	b r ɛː ɣ ə
Bräienge	b r ɛ ɪ̯ ə ŋ ə
Brääg	b r ɛː ɣ
Brúur	b r uː r
budje	b ʊ d j ə
Buk	b ʊ k
Buutje	b u t j ə
Bäiden	b ɛ ɪ̯ d ə n
Bäidene	b ɛ ɪ̯ d ə n ə
Bäidenstied	b ɛ ɪ̯ d ə n s t i d
Bäidenstieden	b ɛ ɪ̯ d ə n s t i d ə n
Bäie	b ɛ ɪ ə
Bäist	b ɛ ɪ̯ s t
Bäiste	b ɛ ɪ̯ s t ə
bääst	b ɛː s t
Bíerig	b iː r ɪ ɣ
Böije	b œː i̯ j ə
Dai	d aː i̯
Daks	d a k s
dan	d a n
Dau	d aː u̯
daue	d aː u̯ ə
deensk	d eː n s k
deeruum	d eː r u m
deeruur	d eː r u r
Dege	d eː ɣ ə
die	d i
dien	d i n
dienen	d i n ə n
din	d ɪ n
Ding	d ɪ ŋ
Dingere	d ɪ ŋ ə r ə
dinnen	d ɪ n ə n
do	d oː
Dokter	d ɔ k t ə r
Dole	d oː l ə
Dom	d ɔ m
doof	d oː f
Droom	d r oː m
Dröizelke	d r œː i̯ s ə l k ə
du	d u
dusse	d ʊ s ə
dussen	d ʊ s ə n
dut	d ʊ t
dwo	d v oː
däin	d ɛ ɪ̯ n
dän	d ɛ n
dät	d ɛ t
däänsk	d ɛː n s k
Díert	d iː r t
Dúve	d uː v ə
düütsk	d y t s k
Düütsk	d y t s k
Düütsklound	d y t s k l oː u̯ n d
een	eː n
Eend	eː n d
Eende	eː n d ə
eenuntwintich	eː n ʊ n t v ɪ n t ɪ x
Eere	eː r ə
Eeuwend	eː u̯ ə n t
Elefant	eː l ə f a n t
Elefante	eː l ə f a n t ə
enig	eː n ɪ ɣ
er	ə r
et	ə t
Fadder	f a d ə r
fange	f a ŋ ə
fat	f a t
Fat	f a t
Februoar	f eː b r u ɔː r
ferbonne	f ə r b ɔ n ə
Ferbonnenge	f ə r b ɔ n ə ŋ ə
ferleze	f ə r l eː s ə
ferskiene	f ə r s k i n ə
ferstounde	f ə r s t oː u̯ n d ə
fieuw	f i u̯
fille	f ɪ l ə
Finger	f ɪ ŋ ə r
Fink	f ɪ ŋ k
Fisk	f ɪ s k
fiskje	f ɪ s k j ə
Fiskotter	f ɪ s k ɔ t ə r
fjauer	f j aː u̯ ə r
fjautien	f j aː u̯ t i n
Fjúur	f j uː r
Flaask	f l aː s k
Fledermuze	f l eː d ə r m u s ə
Fledermúus	f l eː d ə r m uː s
fljoge	f l j oː ɣ ə
Floite	f l ɔ y̯ t ə
floitje	f l ɔ y̯ t j ə
Floud	f l oː u̯ d
fläägje	f l ɛː ɣ j ə
Foaks	f ɔː k s
Foaksgat	f ɔː k s ɣ a t
Foar	f ɔː r
foare	f ɔː r ə
fon	f ɔ n
Fouerke	f oː u̯ ə r k ə
Foulk	f oː u̯ l k
Fout	f oː u̯ t
Foutbaal	f oː u̯ t b aː l
freezje	f r eː z j ə
Froage	f r ɔː ɣ ə
Froast	f r ɔː s t
Frucht	f r ʊ x t
Fräige	f r ɛ ɪ̯ ɣ ə
fräigje	f r ɛ ɪ̯ ɣ j ə
Fräindai	f r ɛ ɪ̯ n d aː i̯
fräisk	f r ɛ ɪ̯ s k
Fräisk	f r ɛ ɪ̯ s k
Fräiske	f r ɛ ɪ̯ s k ə
Fräislound	f r ɛ ɪ̯ s l oː u̯ n d
Fründ	f r ʏ n d
Fugge	f ʊ ɣ ə
ful	f ʊ l
fulle	f ʊ l ə
Fädder	f ɛ d ə r
Fäild	f ɛ ɪ̯ l d
Fäildere	f ɛ ɪ̯ l d ə r ə
Fäildmuze	f ɛ ɪ̯ l d m u s ə
Fäildmúus	f ɛ ɪ̯ l d m uː s
fäile	f ɛ ɪ̯ l ə
Fäite	f ɛ ɪ̯ t ə
fäl	f ɛ l
Fäldmúus	f ɛ l d m uː s
fääst	f ɛː s t
Fúgel	f uː ɣ ə l
fúul	f uː l
Fúurke	f uː r k ə
füüftien	f yː f t i n
Gat	ɣ a t
gau	ɣ aː u̯
Geet	ɣ eː t
geskjo	ɣ ə s k j oː
Gete	ɣ eː t ə
gjuchtfäidig	ɣ j ʊ x t f ɛ ɪ̯ d ɪ ɣ
Glove	ɣ l oː v ə
Goang	ɣ ɔː ŋ
goar	ɣ ɔː r
Goate	ɣ ɔː t ə
Goatere	ɣ ɔː t ə r ə
God	ɣ ɔ d
goud	ɣ oː u̯ d
Gould	ɣ oː u̯ l d
Gous	ɣ oː u̯ s
gratlíerje	ɣ r a t l iː r j ə
greeuwe	ɣ r eː u̯ ə
Greeuwer	ɣ r eː u̯ ə r
gries	ɣ r i s
groot	ɣ r oː t
gräin	ɣ r ɛ ɪ̯ n
Grääb	ɣ r ɛː b
Grääf	ɣ r ɛː f
gunge	ɣ ʊ ŋ ə
Gäist	ɣ ɛ ɪ̯ s t
Gäize	ɣ ɛ ɪ̯ s ə
Gäärs	ɣ ɛː r s
haalje	h aː l j ə
Haat	h aː t
Hanne	h a n ə
Hart	h a r t
hatelk	h aː t ə l k
Haud	h aː u̯ d
Hauk	h aː u̯ k
Heer	h eː r
helig	h eː l ɪ ɣ
here	h eː r ə
Here	h eː r ə
hete	h eː t ə
hie	h i
hier	h i r
hiere	h i r ə
hierens	h i r ə n s
him	h ɪ m
Hingst	h ɪ ŋ s t
hoalje	h ɔː l j ə
Hoangst	h ɔː ŋ s t
Hoaze	h ɔː s ə
Hoazen	h ɔː s ə n
hol	h ɔ l
Hollound	h ɔ l oː u̯ n d
Hollounder	h ɔ l oː u̯ n d ə r
holloundsk	h ɔ l oː u̯ n d s k
Holt	h ɔ l t
Holtakster	h ɔ l t a k s t ə r
Holtdúve	h ɔ l t d uː v ə
holten	h ɔ l t ə n
hondelje	h ɔ n d ə l j ə
Hone	h oː n ə
hoog	h oː ɣ
hoopje	h oː p j ə
Houch	h oː u̯ x
Houden	h oː u̯ d ə n
Houf	h oː u̯ f
Houk	h oː u̯ k
Hounde	h oː u̯ n d ə
Houngst	h oː u̯ ŋ s t
Houngste	h oː u̯ ŋ s t ə
Hudden	h ʊ d ə n
hunderd	h ʊ n d ə r d
hundert	h ʊ n d ə r t
hunnert	h ʊ n ə r d
häbe	h ɛː b ə
Häid	h ɛ ɪ̯ d
Häire	h ɛ ɪ̯ r ə
Häk	h ɛ k
Häket	h ɛː k ə t
Hälper	h ɛ l p ə r
Häägakster	h ɛː ɣ a k s t ə r
häägje	h ɛː ɣ j ə
Híer	h iː r
Híere	h iː r ə
Höävel	h œː v ə l
Hööft	h øː f t
Húund	h uː n d
Húus	h uː s
Húusmuze	h uː s m u s ə
Húusmúus	h uː s m uː s
Húze	h uː s ə
iek	i k
Ieme	i m ə
ien	i n
Iengoang	i n ɣ ɔː ŋ
iete	i t ə
in	ɪ n
Jadder	j a d ə r
Jader	j aː d ə r
Januoar	j a n u ɔː r
je	j ə
jee	j eː
jeel	j eː l
Jeest	j eː s t
Jesus	j eː s ʊ s
jie	j i
Jield	j iˑ l d
jo	j oː
Jode	j oː d ə
Jool	j uː l
jou	j oː u̯
jouens	j oː u̯ ə n s
ju	j u
juns	j ʊ n s
jä	j ɛː
Jíer	j iː r
Jíerhundert	j iː r h ʊ n d ə r t
Jöäde	j œː d ə
Kannienken	k a n i n k ə n
Kannienkene	k a n i n k ə n ə
Kat	k a t
Katteker	k a t ə k ə r
Katule	k a t u l ə
Keelde	k eː l d ə
Kenientje	k ə n i n t j ə
Kenientjene	k ə n i n t j ə n ə
Kening	k eː n ɪ ŋ
Kieviet	k i v i t
Kniebel	k n i b ə l
Kniebele	k n i b ə l ə
Knientje	k n i n t j ə
Knientjene	k n i n t j ə n ə
Knientjes	k n i n t͡ʃ ə s
Knoke	k n oː k ə
Komer	k oː m ə r
konne	k ɔ n ə
koold	k oː l d
Koolmeeske	k oː l m eː s k ə
koom	k oː m
koopje	k oː p j ə
Kop	k ɔ p
Koper	k oː p ə r
Kouke	k oː u̯ k ə
krie	k r i
kriege	k r i ɣ ə
Krikhanne	k r ɪ k h a n ə
krju	k r j u
kro	k r oː
krusse	k r ʊ s ə
krussen	k r ʊ s ə n
krut	k r ʊ t
krän	k r ɛ n
krät	k r ɛ t
Ku	k u
Kudderhone	k ʊ d ə r h oː n ə
kudderje	k ʊ d ə r j ə
Kufúgel	k u f uː ɣ ə l
Kukuuk	k u k u k
kume	k u m ə
Kus	k ʊ s
kuut	k u t
kwede	k v eː d ə
Käize	k ɛ ɪ̯ z ə
Käizedokter	k ɛ ɪ̯ z ə d ɔ k t ə r
Kääle	k ɛː l ə
König	k øː n ɪ ɣ
Köäkene	k œː k ə n ə
Köänig	k œː n ɪ ɣ
Kúke	k uː k ə
Leeuwe	l eː u̯ ə
leeuwe	l eː u̯ ə
Leeuwerke	l eː u̯ ə r k ə
legerje	l eː ɣ ə r j ə
leze	l eː s ə
Lid	l ɪ d
Liene	l i n ə
Lippe	l ɪ p p ə
litje	l ɪ t j ə
ljo	l j oː
ljoof	l j oː f
loang	l ɔː ŋ
loos	l oː s
lope	l oː p ə
Loum	l oː u m
Lound	l oː u̯ n d
Lunge	l ʊ ŋ ə
lusterje	l ʊ s t ə r j ə
Läiverke	l ɛ ɪ̯ v ə r k ə
Líene	l iː n ə
líenje	l iː n j ə
Líeuwer	l iː u̯ ə r
líeuwje	l iː u̯ j ə
Löägene	l œː ɣ ə n ə
Lúus	l uː s
lúus	l uː s
lúuvje	l uː v j ə
Lünik	l yː n ɪ k
Lüüntje	l yː n t j ə
Maiden	m aː i̯ d ə n
Malve	m a l v ə
Mama	m aː m aː
man	m a n
Meel	m iː l
Meente	m eː n t ə
Meenten	m eː n t ə n
Meerte	m eː r t ə
Meeske	m eː s k ə
Middelfinger	m ɪ d ə l f ɪ ŋ ə r
Middewíek	m ɪ d ə v iː k
Midwíek	m ɪ d v iː k
mie	m i
mien	m i n
mienen	m i n ə n
Milte	m ɪ l t ə
min	m ɪ n
minje	m ɪ n j ə
minnen	m ɪ n ə n
misbruke	m ɪ s b r u k ə
mjo	m j oː
Mjuks	m j ʊ k s
moakje	m ɔː k j ə
Moalk	m ɔː l k
Moalkbäiste	m ɔː l k b ɛ ɪ̯ s t ə
Moalkku	m ɔː l k k u
Moanske	m ɔː n s k ə
moanskelk	m ɔː n s k ə l k
Moanskene	m ɔː n s k ə n ə
moin	m ɔ y̯ n
Mon	m ɔ n
moor	m oː r
