अ	ə
अं	ə m
अंक	ə ŋ k ə
अंकगणित	ə ŋ k ə ɡ ə ɳ i t̪
अंग	ə ŋ ɡ ə
अंगठा	ə ŋ ɡ ʈʰ a
अंगण	ə ŋ ɡ ə ɳ
अंगरखा	ə ŋ ɡ ə ɾ kʰ a
अंडे	ə ɳ ɖ e
अंडे	ə ɳ ɖ ə
अंथरूण	ə n t̪ʰ ɾ u ɳ
अंदाज	ə n d̪ a d͡z
अंदाजे	ə n d̪ a d͡z e
अंबाडा	ə m b a ɖ a
अंबाडे	ə m b a ɖ e
अंबाडे	ə m b a ɖ ə
अंबिग	ə m b i ɡ
अंबी	ə m b i
अंबु	ə m b u
अंबेकरी	ə m b e k ɾ i
अंबोळी	ə m b o ɭ̆ i
अः	ə̤
अकथित	ə k t̪ʰ i t̪
अकरा	ə k ɾ a
अक्कल	ə k k ə l
अक्का	ə k k a
अक्षर	ə k ʂ ə ɾ
अखबार	ə kʰ b a ɾ
अख्खे	ə k kʰ e
अख्खे	ə k kʰ ə
अगद	ə ɡ ə d̪
अग्नि	ə ɡ n i
अजगर	ə d͡ʑ ɡ ə ɾ
अजिबात	ə d͡ʑ i b a t̪
अजून	ə d͡z u n
अझरबैजान	ə d͡zʱ ə ɾ b ə i d͡ʑ a n
अट	ə ʈ
अटकळ	ə ʈ k ə ɭ̆
अठरा	ə ʈʰ ɾ a
अठ्ठावीस	ə ʈ ʈʰ a ʋ i s
अठ्ठेचाळीस	ə ʈ ʈʰ e t͡ɕ a ɭ̆ i s
अडणे	ə ɖ ɳ e
अडणे	ə ɖ ɳ ə
अडतीस	ə ɖ ə t̪ i s
अडाणी	ə ɖ a ɳ i
अणू	ə ɳ u
अण्णा	ə ɳ ɳ a
अत्तर	ə t̪ t̪ ə ɾ
अधातू	ə d̪ʱ a t̪ u
अधिकृत	ə d̪ʱ i k ɾ u t̪
अननस	ə n n ə s
अनादर	ə n a d̪ ə ɾ
अनुभवणे	ə n u bʱ ə ʋ ɳ e
अनुभवणे	ə n u bʱ ə ʋ ɳ ə
अनेक	ə n e k
अन्	ə n
अपंग	ə p ə ŋ ɡ ə
अपघात	ə p ɡʱ a t̪
अपमान	ə p m a n
अपुन	ə p u n
अफगाणिस्तान	ə pʰ ɡ a ɳ i s t̪ a n
