ϣϩⲓϭ	ʃ h i c
ϣϫⲟⲙ	ʔ ə ʃ t͡ʃʼ o m
ϣⲁϣϥ	ʃ a ʃ f
ϣⲁϣⲙⲓ	ʃ a ʃ m iː
ϣⲁϫⲉ	ʃ a ʔ t͡ʃ ə
ϣⲁⲓⲣⲓ	ʃ a ɪ r ə
ϣⲁⲗⲓⲟⲩ	ʃ ɑ l j u
ϣⲁⲗⲓⲩ	ʃ a l i w
ϣⲁⲣⲓⲟⲩ	ʃ ɑ r j u
ϣⲁⲩ	ʃ a v
ϣⲁⲩ	ʃ a w
ϣⲃⲉ	ʔ ə ʃ β e ʔ
ϣⲃⲏ	ʔ ə ʃ β eː ʔ
ϣⲉ	ʃ e ʔ
ϣⲉϣⲃ	ʃ e ʃ b
ϣⲉϫⲓ	ʃ e ʔ t͡ʃ i
ϣⲉⲛⲟⲩϯ	ʃ a n u d a
ϣⲉⲛⲟⲩϯ	ʃ e n u t i
ϣⲉⲛⲟⲩϯ	ʃ ə n uː t ə
ϣⲉⲣⲓ	ʃ a ʔ ɾ a
ϣⲉⲣⲓ	ʃ e r i
ϣⲉⲣⲓ	ʃ e ʔ ɾ ə
ϣⲏⲗⲓ	ʃ eː l ə
ϣⲏⲣⲓ	ʃ a ɾ a
ϣⲏⲣⲓ	ʃ eː ɾ ə
ϣⲏⲣⲓ	ʃ i r i
ϣⲑⲟⲣⲧⲉⲣ	e ʃ θ o r t e r
ϣⲑⲟⲣⲧⲉⲣ	ʃ d u ɾ d a ɾ
ϣⲑⲟⲣⲧⲉⲣ	ʃ tʰ o ɾ t ə ɾ
ϣⲗⲏⲗ	a ʃ l a l
ϣⲗⲏⲗ	e ʃ l i l
ϣⲗⲏⲗ	ə ʃ l eː l
ϣⲙⲏⲛ	a ʃ m a n
ϣⲙⲏⲛ	e ʃ m i n
ϣⲙⲏⲛ	ə ʃ m eː n
ϣⲙⲟⲩⲛ	ʃ m u n
ϣⲟ	ʃ o ʔ
