־יה	i ɟ ɟ ɔː
אב	ʔ aː β
אב	ʔ eː e v
אב	ʔ eː v
אב	ʔ ɔː v
אבא	ʔ aː b b ɔː
אבא	ʔ æː b b ɔː
אבה	ʔ ɒː b æˑ
אבה	ʔ ɔ v ɔ
אבה	ʔ ɔ v ɔː
אבה	ʔ ɔː v ɔ
אבה	ʔ ɔː v ɔː
אבה	ʔ ɔˑ v ɔː
אביב	ʔ aː β iː β
אביב	ʔ ɔː v iː v
אביהוד	a v i h iː d
אבן	ʔ æː v æ n
אבן	ʔ ɛː v ɛ n
אברהם	a v r ɔ h ɔ m
אברהם	ʔ a v ʀ ɔː h ɔː m
אגודל	ʔ a ʁ uː ð ɔː l
אגודל	ʔ æ ʁ uː ð ɔː l
אדום	ʔ æ ð øː m
אדום	ʔ ɔː ð øː m
אדום	ʔ ɔˑ ð oː o m
אדום	ʔ ɛ ð oː o m
אדון	ʔ ɔ ð eː n
אדון	ʔ ɔ ð øː n
אדון	ʔ ɔː ð eː n
אדון	ʔ ɔː ð øː n
אדון	ʔ ɔˑ ð oː o n
אדוני	ʔ a ð oˑ n eː
אדוני	ʔ a ð oˑ n iː
אדוני	ʔ a ð oˑ n ɔː ɔ j
אדוני	ʔ æ ð øː n eː
אדוני	ʔ æ ð øː n iː
אדוני	ʔ æ ð øː n ɔː j
אדיגיה	ä d i ɡ e̞ j ä
אדם	ʔ ɔː ð ɔː m
אדנירם	ʔ æ ð eː n iː r ɔː m
אהבה	ʔ a a v a
אהבה	ʔ a ʔ a v a
אהבה	ʔ aː h a v ɔː
אהבה	ʔ æː h æ v ɔː
אהה	a h a h
אהה	ă h aː h
או	ʔ eː
או	ʔ oː
או	ʔ øː
אודם	ʔ oː ð ɛ m
אודם	ʔ øː ð æ m
אוהל	ʔ eː h æ l
אוהל	ʔ oː h ɛ l
אוהל	ʔ øː h æ l
אוויר	ʔ a v iː ʀ
אוויר	ʔ æ w iː r
אווירה	ʔ a v iː ʀ ɔː
אווירה	ʔ æ w iː r ɔː
אוזן	ʔ eː z æ n
אוזן	ʔ oː z ɛ n
אוזן	ʔ øː z æ n
אוח	ʔ o w w a ħ
אוח	ʔ oː a ħ
אוח	ʔ oː w a ħ
אוח	ʔ ø w w æ ħ
אויב	ʔ oː j eː β
אוכל	ʔ eː χ æ l
אוכל	ʔ oː χ ɛ l
אוכל	ʔ oˑ χ aː a l
אוכל	ʔ oˑ χ eː e l
אוכל	ʔ u k k aː a l
אוכל	ʔ u k k æː l
אוכל	ʔ uː χ æː l
אוכל	ʔ uˑ χ aː a l
אוכל	ʔ øː χ eː l
אוכל	ʔ øː χ æ l
אוכל	ʔ øː χ æː l
אופקים	o̞ f ä k i m
אופקים	ɔ̆ f ɔː q iː m
אורח	ʔ e r e j j a ħ
אורח	ʔ eː r e j j a ħ
אורח	ʔ oː ʀ a ħ
אורח	ʔ oˑ ʀ e j j a ħ
אורח	ʔ oˑ ʀ e ɟ ɟ a ħ
אורח	ʔ oˑ ʀ eː a ħ
אורח	ʔ oˑ ʀ eː j a ħ
אורח	ʔ ø r e j j a ħ
אורח	ʔ øː r a ħ
אורח	ʔ øː r e j j a ħ
אות	e͡j s
אות	o t
אות	o t̪ʰ
אות	o͡j s
אות	o͡w s
אות	ʔ a̹ː θ
אות	ʔ eː θ
אות	ʔ o t
אות	ʔ o t̪ʰ
אות	ʔ oː o θ
אות	ʔ oː tʰ
אות	ʔ oː θ
אות	ʔ o͡w s
אות	ʔ øː θ
אות	ʔ ø̜ː θ
אותם	e j s ɔ m
אותם	ʔ eː θ ɔː m
אותן	e j s ɔ n
אותן	ʔ eː θ ɔː n
אותנו	e j s ɔ n u
אותנו	ʔ eː θ ɔː n uː
אח	ʔ ɔː ħ
אחד	ʔ æ ħ ɔː ð
אחד	ʔ æː ħ ɔː ð
אחד	ʔ ɛˑ ħ ɔː ɔ ð
אחד	ʕ æː æ d
אחות	ʔ aː ħ oː θ
אחות	ʔ ɔ ħ eː θ
אחות	ʔ ɔ ħ øː θ
אחות	ʔ ɔː ħ eː θ
אחות	ʔ ɔː ħ oː θ
אחות	ʔ ɔː ħ øː θ
אחז	ʔ ɔː ħ aː z
אחז	ʔ ɔː ħ æː z
אחת	ʔ aˑ ħ aː a θ
אחת	ʔ æ ħ æː θ
אחת	ʔ æː ħ æː θ
אחת	ʕ æː æ t
איב	aː j a β
איגרת	ʔ i ɡ ɡ æː r æ θ
איגרת	ʔ i ɡ ɡ ɛː ʀ ɛ θ
איה	ʔ a j j eː
איה	ʔ a ɟ ɟ eː
אייל	ʔ a ɟ ɟ ɔː ɔ l
אייל	ʔ æ j j ɔː l
אייל	ʔ æ j ɔː l
אייל	ʔ ɛ j ɔː ɔ l
איל	ʔ aː j i l
איל	ʔ æː j i l
איש	ʔ iː i ʃ
איש	ʔ iː ʃ
אית״ן	e̞ j t ä n
אית״ן	e̞ t ä n
אכל	ʔ ɔː χ æː l
אכל	ʔ ɔˑ χ aː a l
