aho	a u
akohokely	ə k uː k e lʲ
ala	a l ə̥
alika	a l i kʲ ḁ
amboa	əᵐ b u ə̥
ampondra	əᵐ p uⁿ ɖ͡ʐ ə̥
ampongy	aᵐ p uᵑ ɡʲ
andriana	aⁿ ɖ͡ʐ i ə n ə̥
andriana	aⁿ ɖ͡ʐ i ə n
andriana	aⁿ ɖ͡ʐ e n ə̥
andriana	aⁿ ɖ͡ʐ e n
antsangy	əⁿ t͡s aᵑ ɡʲ
arivo	r i vʷ
babakoto	b a b a k u tʷ
daty	d a tʲ
elefanta	e l e f aⁿ t ḁ
endrika	eᶯ ɖ͡ʐ i kʲ ḁ
endrina	eᶯ ɖ͡ʐ i n ḁ
eny	j e nʲ
fosa	f u s ə̥
gidro	ɡ i ɖ͡ʐʷ
hetsi	h e t͡sʲ
hianao	i ə n o
hianareo	i ə n ə ɽ e u
ianao	j ɐ n ɑ w
ianao	e n ɑ w
ianareo	i ə n ə ɽ e u
isika	i sʲ i kʲ ə
isoratana	i s u̥ r a t ə̥ n ə̥
izahay	i z a i
izy	i zʲ
kilema	k i̥ l e m ə̥
kiraru	k i l a rʷ
lalana	l a l ə n ə
lalana	l ə l a n ə
loa	l u a
malagasy	m a l ə̥ ɡ̊ a ʃ
manoratra	m a n u ɾ ə t͡ʂ ə̥
misoratra	m i s u ɾ ə t͡ʂ ə̥
mividy	m i v i d i
papango	p ḁ p aᵑ ɡʷ
rafiky	r ḁ f i kʲ
saina	s a j n
Sakamasay	s a k ḁ m a s e i̯
Sakave	s ḁ k a v̥ ĕ̥
sendrasendra	s eⁿ d̥͡ʐ ə̥ s eⁿ d̥͡ʐ ə̥
sendrasendra	s eⁿ d̥͡ʐ ə̥ s eⁿ d̥͡ʐ
sendrasendra	s eⁿ d̥͡ʐ s eⁿ d̥͡ʐ ə̥
sendrasendra	s eⁿ d̥͡ʐ s eⁿ d̥͡ʐ
sifaka	s i f a k ə̥
sodina	s u d i n ə̥
solo	s u lʷ
sombily	s uᵐ b i lʲ
soratra	s u r ə t͡ʂ ə̥
tanana	t a n ə n
tanana	t ə n a n ə
tanety	t ḁ n e tʲ
tao	t o
tsidiala	t s i d i a l ḁ
varika	v a r i k ḁ
vehivavy	v e h i v a vʲ
vidy	v i d i
voasoratra	v̥ u a s u ɾ ə t͡ʂ ə̥
voasoratra	v̥ o s u ɾ ə t͡ʂ ə̥
zamany	z ḁ m a nʲ
