Ischia	i ʃ c ə
Jaso	j aː s ə
Joanne	j u a n n ə
Napule	n ɑː p ə l ɐ
Sciorenza	ɕ o ɾ ɛ n d͡z ɐ
Surriento	s u r r j e n d ə
accappottare	a k k a p p u t t a
accattare	a k k a t t a
accavallare	a k k a v a l l a
accidere	a t t͡ʃ iː r ə r ə
accio	a t t͡ʃ ə
acito	a t͡ʃ iː t ə
aco	aː k ə
addivinare	a d d i v ĭ n a
addormire	a d d u r m i
addormire	a d d ɔ r m ə
addó	a d d o
aggio	a d d͡ʒ u
aggio	a d d͡ʒ ə
aggio	aː j ə
ajere	a j ĭ eː r ə
ajutare	a j u t a
ajuto	a j uː t ə
alloccare	a l l u k a
ammantecare	a m m a n t ə k a
ammare	a m m a
ammennula	a m m ɛ n n ə l ə
ammontonare	a m m u n d u n a
ammore	a m m oː r ə
annascuso	a n n a ʃ k uː s ə
anno	a n n ə
annore	a n n oː r ə
apeto	a p eː t ə
apeto	a p iː t ə
appennere	a p p ɛ n n ə
appennere	a p p ɛ n n ə r ə
apporare	a p p u r a
appriesso	a p p r j e s s ə
aqua	a k w ă
aqua	a k w ə
archetetto	a r k ə t e t t ə
ascevolire	a ʃ ʃ ə v u l i
asciare	a ʃ ʃ a
aspettare	a ʃ p ə t t a
assaje	a s s aː j ə
ato	aː t ə
ato	aː u̯ t ə
attoccare	a t t u k k a
auciello	a t͡ʃ i ə̯ d̪ː ə
auciello	a w t͡ʃ i ə̯ ɫː ɐ
auciello	ʃ ɛ ɫː ə
avere	a v e
ballare	b a l l a
boscare	b u ʃ k a
buono	b oː n ə
buono	b uː n ə
buono	b w oː n ə
buono	b ɔː n ə
cacagliare	k a k a ʝ ʝ a
cacare	k a k a
cadere	k a d e
cadere	k a ɾ e
calare	k a l a
campare	k a m b a
cantare	k a n d a
capillo	k a p i d d ə
capillo	k a p i l l ə
cappiello	k a p p j e l l ə
cappiello	k w a p p i d d ə
carriare	k a r r j a
caso	k aː s ə
castariello	k ä s t̪ ä ɾ i ə̯ ɫː ɐ
castariello	k ä s t̪ ä ɾ ɪ d̪ː ə
castiello	k a s t j e l l ə
cchiù	c c u
ccà	k k a
ccà	k w a
cepolla	t͡ʃ ə p o l l ə
cepolla	t͡ʃ ə p u d d ə
cercare	t͡ʃ ə r k a
chiagnere	c a n t͡ʃ
chiagnere	c a ɲ ɲ ə
chiagnere	k ç a ɲ ɲ ə r ə
chiagnere	t͡ʃ a n d͡ʒ ə
chiazza	c a t t͡s ə
chillo	k i l l ə
chino	k ç eː n ă
chino	k ç iː n ə
chisto	k i s t ə
chiudere	c uː d ə
chiudere	k ç uː r ə r ə
chiummo	c a ŭ m m ə
chiummo	c u m m ə
cielo	t͡ʃ j eː l ə
cinco	t͡ʃ i ŋ ɡ ə
coccare	k u k k a
cocenare	k u t͡ʃ ə n a
commannare	k u m m a n n a
comprire	k u m p r i
contare	k u n d a
controllare	k u n t r u l l a
core	k oː r ə
core	k ɔː r ə
cosere	k oː s ə r ə
cosere	k u s i
costare	k u s t a
crastare	k r a s t a
credere	k r eː d ə
credere	k r eː r ə r ə
crepantare	k r ə p a n d a
criscio	k r i ʃ ʃ ə
croce	k r oː t͡ʃ ə
croce	k r uː t͡ʃ ə
cufenaturo	k u f ə n a t uː r ə
cuofano	k w oː f ə n ə
cuollo	k u o l l ə
cuollo	k u ə̆ d d
cuorio	k uː ə̆ j ə r ə
cuorio	k w oː r j ə
cuorpo	k w o r p ə
curtiello	k u ɾ t i ə d d ə
curtiello	k u ɾ t i ə ɫ ɫ ɐ
curtiello	k u ɾ t ɛ ɫ ɫ ə
curtiello	k w ə ɾ t i ə d d ə
curto	k u r t ə
demierto	d ə m j e r t ə
denaro	r ə n aː r ə
dente	r ɛ n d ə
denucchio	r ə n o c c ə
denucchio	r ə n u c c
denucchio	ʃ ə n o c c
denucchio	ʃ ə n u c c
devacare	r ə v a k a
dicere	r iː t͡ʃ ə r ə
diece	d iː t͡ʃ
diece	ɾ j eː t͡ʃ ə
dinto	ð e n d r ə
dinto	ɾ i n d ə
dito	r iː t ə
doce	ɾ oː t͡ʃ ə
dolore	r u l oː r ə
dormire	r u r m i
dumeneca	d ə m ɛː n ə k ə
dumeneca	ɾ ʊ m eː n ə k ă
essere	ɛ s s ə
essere	ɛ s s ə r ə
fafodda	f a f ɔ ɖ ɖ ə
fajo	f aː j ə
fare	f a
fasulo	f a s uː l ə
fecato	f eː k ə t ə
fecato	f ɛː k ə t ə
fele	f eː l ə
fele	f ɛː l ə
felece	f eː l ə t͡ʃ ə
felece	f i l ə t͡ʃ ə
femmena	f e m m ə n ə
fenire	f ə n i
fetere	f ə t ɪ
fetere	f ɛː t ə
fetere	f ɛː t ə r ə
fierro	f i ə̆ r r ə
fierro	f j e r r ə
fora	f oː r ă
fora	f ɔː r ə
forca	f o r k ə
forca	f u r k ə
frate	f r aː t ə
fungio	f u ɲ t͡ʃ
fuoco	f a u̯ k ə
fuoco	f oː k u
fuoco	f oː k ə
fuoco	f u ə k ɐ
fuoco	f uː k u
fuoco	f uː k ə
fuoco	f w eː k ə
fuoco	f w oː k o
fuoco	f w oː k u
fuoco	f ɔː k o
fuoco	f ɔː k ə
godere	ɡ u r e
gruobo	ɡ r w oː b ə
gruosso	ɣ ɾ u o s s ɐ
gruosso	ɣ ɾ ɔ s s ə
i	iː
ije	iː ə
into	i n d̪ ɐ
janco	j a ŋ ɡ ə
jastemmare	j a s t ə m m a
jastemmare	ɣ a s t ə m a
