ア	a̠
アイ	a̠ i
アイアイ	a̠ i a̠ i
アイアン	a̠ i ã̠ ɴ
アイキャッチ	a̠ i kʲ a̠ t̚ t͡ɕ i
アイコン	a̠ i k õ̞ ɴ
アイゴー	a̠ i ɡ o̞ː
アイシャドウ	a̠ i ɕ a̠ d o̞ː
アイシャドー	a̠ i ɕ a̠ d o̞ː
アイゼン	a̠ i z ẽ̞ ɴ
アイダホ	a̠ i d a̠ h o̞
アイデア	a̠ i d e̞ a̠
アイナメ	a̠ i n a̠ m e̞
アイホ	a̠ i h o̞
アイライナー	a̠ i ɾ a̠ i n a̠ː
アイライン	a̠ i ɾ a̠ ĩ ɴ
アイランド	a̠ i ɾ ã̠ n d o̞
アイロニー	a̠ i ɾ o̞ ɲ̟ iː
アイロン	a̠ i ɾ õ̞ ɴ
アオザイ	a̠ o̞ z a̠ i
アカシア	a̠ k a̠ ɕ i a̠
アカデミー	a̠ k a̠ d e̞ mʲ iː
アカペラ	a̠ k a̠ p e̞ ɾ a̠
アキー	a̠ kʲ iː
アキーダ	a̠ kʲ iː d a̠
アコギ	a̠ k o̞ ɡʲ i
アコーデオン	a̠ k o̞ː d e̞ õ̞ ɴ
アサイ	a̠ s a̠ i
アサイー	a̠ s a̠ iː
アシ	a̠ ɕ i
アシガバート	a̠ ɕ i ɡ a̠ b a̠ː t o̞
アジ	a̠ ʑ i
アジア	a̠ ʑ i a̠
アジェンダ	a̠ ʑ ẽ̞ n d a̠
アジト	a̠ ʑ i t o̞
アジヤ	a̠ ʑ i j a̠
アジョシ	a̠ ʑ o̞ ɕ i
アジョッシ	a̠ ʑ o̞ ɕː i
アセチレン	a̠ s e̞ t͡ɕ i ɾ ẽ̞ ɴ
アゼチジン	a̠ z e̞ t͡ɕ i ʑ ĩ ɴ
アタッシェ	a̠ t a̠ ɕː e̞
アタリ	a̠ t a̠ ɾʲ i
アッシリア	a̠ ɕː i ɾʲ i a̠
アッシー	a̠ ɕː iː
アッパー	a̠ p̚ p a̠ː
アテネ	a̠ t e̞ n e̞
アテーナー	a̠ t e̞ː n a̠ː
アトピー	a̠ t o̞ pʲ iː
アトリエ	a̠ t o̞ ɾʲ i e̞
アド	a̠ d o̞
アドバイザー	a̠ d o̞ b a̠ i z a̠ː
アドバンテージ	a̠ d o̞ b ã̠ n t e̞ː ʑ i
アドベ	a̠ d o̞ b e̞
アドベンチャー	a̠ d o̞ b ẽ̞ ɲ̟ t͡ɕ a̠ː
