ag	a ɡ ŋ
arig	a ɾ i ɡ ŋ
fág	ɸ ʌ ɡ ŋ
gãr	ŋ ɔ̃ ɹ̃ ɔ̃
han	h a d n
jyryryn	j ɨ ɾ ɨ ɾ ɨ d n
jã	j ɔ̃
jãfa	j ɔ̃ ɸ a
jẽngrẽ	j ɛ̃ n ŋ ɹ̃ ɛ̃
jẽnky	j ɛ̃ t̚ k ɨ
kagma	k a ɡ ŋᵐ b a
kajãm	k a j ɔ̃ m
kanhgág	k aʲ ɟ̚ ɡ ʌ ɡ ŋ
kanhkã	k aʲ c̚ k ɔ̃
kar	k a ɾ ɐ
kavéj	k a w ɛ j ɛ
krãn	k ɹ̃ ɔ̃ n
krĩ	k ɹ̃ ĩ
kygpãn	k ɨ k̚ p ã n
kysã	k ɨ ʃ ɔ̃
kãme	k ɔ̃ᵐ b e
kãpó	k ɔ̃ p ɔ
kãtére	k ɔ̃ t ɛ ɾ e
kãvãru	k ɔ̃ w ɔ̃ ɾ u
kógũnh	k ɔ ɡ ŋ ũ j̃ ɲ
kósin	k ɔ ʃ i d n
monh	ᵐb oʲ ɟ̚
mrir	ᵐb ɾ i ɾ ɪ
mré	ᵐb ɾ ɛ
mág	ᵐb ʌ ɡ ŋ
mỹr	m ʌ̃ ɹ̃ ʌ̃
nhinsu	ᶮɟ i t̚ ʃ u
nénh	ⁿd ɛʲ ɟ ɲ
nĩgja	n ĩᵑ ɡ j a
panh	p aʲ ɟ̚
prẽr	p ɹ̃ ẽ ɹ̃ ɪ̃
pén'ó	p ɛ t̚ ʔ ɔ
rá	ʌ ɾ ʌ
rán	ʌ ɾ ʌ d n
rã	ɔ̃ ɹ̃ ɔ̃
rãnhrãj	ɔ̃ ɹ̃ ɔ̃ ɲ ɔ̃ ɹ̃ ɔ̃ j ɔ̃
régre	ɛ ɾ ɛ ɡ ŋ ɡ ɾ e
rỹ	ʌ̃ ɹ̃ ʌ̃
sãn	ʃ ɔ̃ n
tuga	t u ɡ ŋ ɡ a
tugnỹgnỹm	t u ɡ ŋ n ʌ̃ ŋ n ʌ̃ m
tugnỹm	t u ɡ ŋ n ʌ̃ m
tĩg	t ĩ ŋ
vyj	w ɨ j ɘ
vãsãn	w ɔ̃ ʃ ɔ̃ n
vãsãnsãn	w ɔ̃ ʃ ɔ̃ n ʃ ɔ̃ n
ãjag	ɔ̃ j a ɡ ŋ
ẽkrénh	ɛ̃ k ɾ ɛʲ ɟ̚
ẽmã	ɛ̃ m ɔ̃
ẽprã	ɛ̃ p ɾ ɔ̃
