A	æ
X	χ
abadu	a b a d u
abakccu	a b a k ʃː u
abakku	a b a kː u
aballaɣ	a b a lː a ɣ
abaqqay	a b a qː a j
abaraz	a b a r a z
abariq	a b a r i q
abaskar	a b a s k a r
abaw	a b a w
abayṛṛu	a b a j rˤ rˤ u
abaɣuɣ	a b a ɣ u ɣ
abaṛṛay	a b a rˤ rˤ a j
abaṣṣa	a b a sˤ sˤ a
abaṭṭaḥ	a b a tˤ tˤ a ħ
abbuhllu	a bː u h lː u
abda	a b d a
abgur	a b ɡ u r
abkkaḍu	a b kː a dˤ u
abrid	a b r i d
abzzir	a b zː i r
acṭṭir	a ʃ tˤ tˤ i r
ada	a d a
addad	a dː a d
adfl	a d f l
adrar	a d r a r
adrim	a d r i m
afala	a f a l a
afalku	a f a l k u
afasi	a f a s i
afraw	a f r a w
afrux	a f r u χ
aftas	a f t a s
afud	a f u d
afulls	a f u lː s
afunas	a f u n a s
afus	a f u s
agadir	a ɡ a d i r
agaramud	a ɡ a r a m u d
agayyu	a ɡ a jː u
aggu	a ɡː u
aggug	a ɡː u ɡ
aggur	a ɡː u r
aggʷrn	a ɡʷː r n
agiṭun	a ɡ i tˤ u n
agllid	a ɡ lː i d
aglzim	a ɡ l z i m
agmmay	a ɡ mː a j
agnar	a ɡ n a r
agrḍ	a ɡ r dˤ
agstur	a ɡ s t u r
agursl	a ɡ u r s l
agʷdal	a ɡ d a l
agʷdal	a ɡʷ d a l
agʷm	a ɡ m
agʷm	a ɡʷ m
agḍiḍ	a ɡ dˤ i dˤ
agḍṛuṛ	a ɡ dˤ rˤ u rˤ
ahruy	a h r u j
ajddig	a ʒ dː i ɡ
akal	a k a l
akkʷ	a kʷː
aksum	a k s u m
akud	a k u d
akuray	a k u rˤ a j
akʷfay	a kʷ f a j
akʷl	a kʷ l
akʷr	a kʷ r
aldun	a l d u n
algamu	a l ɡ a m u
algʷmaḍ	a l ɡʷ m a dˤ
alili	a l i l i
alim	a l i m
allaɣ	a lː a ɣ
almad	a l m a d
alɣʷ	a l ɣʷ
amadir	a m a d i r
aman	a m a n
amanar	a m a n a r
amaynu	a m a j n u
amaḍal	a m a dˤ a l
amdlu	a m d l u
amecɣerdayen	a m ə ʃ ɣ ə r d a j ə n
amgdul	a m ɡ d u l
amgraw	a m ɡ r a w
amksa	a m k s a
amlal	a m l a l
ammas	a mː a s
amqqrs	a m qː r s
amttahlu	a m tː a h l u
amucc	a m u ʃː
amud	a m u d
amuddr	a m u dː r
amun	a m u n
amur	a m u r
amxluq	a m χ l u q
amzil	a m z i l
amzzuɣ	a m zː u ɣ
amɣar	a m ɣ a r
amɣrus	a m ɣ r u s
amḥas	a m ħ a s
amẓ	a m zˤ
anas	a n a s
anaw	a n a w
anfa	a n f a
anfur	a n f u r
anglus	a n ɡ l u s
anguf	a n ɡ u f
angʷmar	a n u ɡ m a r
angʷmar	a n ɡʷ m a r
anhir	a n h i r
anili	a n i l i
anir	a n i r
anjjar	a n ʒː a rˤ
ankkur	a n kː u r
anmmasu	a n mː a s u
anni	a nː i
anu	a n u
anuḍ	a n u dˤ
anzig	a n z i ɡ
anɣmas	a n ɣ m a s
anẓar	a n zˤ a rˤ
anẓaṛ	a n zˤ a rˤ
aqariḍ	a q a r i dˤ
aqbur	a q b u rˤ
ara	a r a
aram	a r a m
aram	a rˤ a m
argan	a r ɡ a n
argaz	a r ɡ a z
ari	a r i
aru	a r u
asafar	a s a f a r
asdday	a s dː a j
asggan	a s ɡː a n
asggʷas	a s ɡʷː a s
asgʷmr	a s ɡʷ m r
asid	a s i d
asif	a s i f
asila	a s i l a
askkil	a s kː i l
askkir	a s kː i r
asklu	a s k l u
askrz	a s k r z
asksa	a s k s a
asla	a s l a
aslak	a s l a k
aslm	a s l m
asmmawd	a s mː a w d
asmmiḍ	a s mː i dˤ
asmḍl	a s m dˤ l
asnus	a s n u s
ass	a sː
asts	a s t s
awal	a w a l
awraɣ	a w r a ɣ
awtm	a w t m
axʷs	a χʷ s
ayaḍus	a j a dˤ u s
aydi	a j d i
ayll	a j lː
aywul	a j w u l
ayyis	a jː i s
ayyur	a jː u r
azggʷaɣ	a z ɡʷː a ɣ
azgzaw	a z ɡ z a w
azmmur	a z mː u r
azmz	a z m z
azn	a z n
aznkʷḍ	a z n kʷ dˤ
azrf	a z r f
azrg	a z r ɡ
azrg	a z r ɡʷ
azzar	a zː a r
aɣanim	a ɣ a n i m
aɣaras	a ɣ a r a s
aɣaḍ	a ɣ a dˤ
aɣrda	a ɣ r d a
aɣris	a ɣ r i s
aɣrrabu	a ɣ rː a b u
aɣu	a ɣ u
aɣyul	a ɣ j u l
aɣʷd	a ɣʷ d
aḍar	a dˤ a rˤ
aḍaḍ	a dˤ a dˤ
aḍaṛ	a dˤ a rˤ
aḍu	a dˤ u
aḥanu	a ħ a n u
