Ahad	a h a d
Ahadi	a h a d i
Bacaa	b a t͡ʃ aː
Falilat	f a l i l a t
Rabo	ɾ a b oː
Robo	ɾ o b oː
Salasa	s a l a s a
Saptu	s a p t u
Sawal	s a w a l
Selong	s e l o ŋ
Senen	s e n e n
Tarinate	t a ɾ i n a t e
Todore	t o d o ɾ e
Yaba	j a b a
aba	a b a
aca	ʔ a t͡ʃ a
ace	a t͡ʃ e
aci	ʔ a t͡ʃ i
aco	a t͡ʃ o
adi	a d i
ado	ʔ a d o
afa	a f a
afaafa	a f a ʔ a f a
afu	a f u
age	a ɡ e
ago	a ɡ o
aha	a h a
ahali	a h a l i
ahi	a h i
ahu	a h u
ajali	a d͡ʒ a l i
ajimat	a d͡ʒ i m a t
aka	a k a
akal	a k a l
ake	a k e
akeake	a k e ʔ a k e
aki	a k i
ako	ʔ a k o
aku	a k u
alam	a l a m
ale	a l e
aliali	a l i ʔ a l i
aliguro	a l i ɡ u ɾ o
almanio	a l m a n i o
alo	ʔ a l o
alus	a l u s
amalaha	a m a l a h a
amflop	a m f l o p
ana	a n a
anga	a ŋ a
antaika	a n t a ʔ i k a
aoao	a o a o
apel	a p e l
ara	a ɾ a
arababu	a ɾ a b a b u
are	a ɾ e
aroni	a ɾ o n i
aru	a ɾ u
arudang	a ɾ u d a ŋ
arut	a ɾ u t
asal	a s a l
asar	a s a ɾ
asibii	a s i b iː
asli	a s l i
asu	a s u
ata	a t a
ata	ʔ a t a
ate	a t e
atu	a t u
au	a u
awa	a w a
awal	a w a l
aya	a j a
ayaaya	a j a ʔ a j a
babalea	b a b a l e ʔ a
baca	b a t͡ʃ a
bacabaca	b a t͡ʃ a b a t͡ʃ a
bahasang	b a h a s a ŋ
bahaya	b a h a j a
bahe	b a h e
bahebahe	b a h e b a h e
bai	b a i
bailele	b a i l e l e
bairere	b a i ɾ e ɾ e
baising	b a i s i ŋ
baja	b a d͡ʒ a
baju	b a d͡ʒ u
bakabaka	b a k a b a k a
bakasang	b a k a s a ŋ
bakebake	b a k e b a k e
baki	b a k i
balacai	b a l a t͡ʃ a i
balaka	b a l a k a
balao	b a l a o
balatu	b a l a t u
balbal	b a l b a l
balibali	b a l i b a l i
balibi	b a l i b i
balkama	b a l k a m a
