A	ə
aeʻo	ɐ ɛ̯ ʔ o
aha	ɐ h ə
ahi	ɐ h i
ahiahi	ɐ h i j ɐ h i
ahimakani	ɐ h i m ə k ɐ n i
āhinahina	aː h i n ə h i n ə
aho	ɐ h o
ahupuaʻa	ɐ h u p u w ɐ ʔ ə
ai	ɐ j
ai	ɛ j
aia	ɐ j j ə
aia	ɛ j j ə
Aigupita	ɐ j k u p i k ə
Aigupita	ɛ j k u p i k ə
aikāne	ɐ j k aː n e
aikāne	ɛ j k aː n e
aina	ɐ j n ə
aina	ɛ j n ə
aka	ɐ k ə
akā	ə k aː
akaaka	ɐ k ə ɐ k ə
akahele	ɐ k ə h ɛ l ɛ
ākala	aː k ɐ l ə
akamai	ə k ə m ɐ j
akamai	ə k ə m ɛ j
akaʻai	ɐ k ə ʔ ɐ j
akaʻai	ɐ k ə ʔ ɛ j
ake	ɐ k e
ākea	aː k ɛ j ə
akeakamai	ɐ k e j ə k ə m ɐ j
akeakamai	ɐ k e j ə k ə m ɛ j
akemāmā	ə k e m aː m aː
ako	ɐ k o
aku	ɐ k u
akua	ə k u w ə
Akua	ə k u w ə
akula	ə k u l ə
ala	ɐ l ə
alahao	ɐ l ə h ɐ o̯
alaila	ə l ɐ j l ə
alaila	ə l ɛ j l ə
alakaʻi	ɐ l ə k ɐ ʔ i
alaloa	ɐ l ə l o w ə
Alana	ə l ɐ n ə
alani	ə l ɐ n i
alanui	ə l ə n u w i
Alapaʻi	ɐ l ə p ɐ ʔ i
alawai	ɐ l ə ʋ ɐ j
alawai	ɐ l ə ʋ ɛ j
alelo	ə l ɛ l o
Alika	ə l i k ə
aliʻi	ə l i ʔ i
alo	ɐ l o
aloha	ə l o h ə
Aloha	ə l o h ə
ama	ɐ m ə
amo	ɐ m o
ana	ɐ n ə
āna	aː n ə
anahulu	ə n ə h u l u
anamanaʻo	ɐ n ə m ə n ɐ ʔ o
anapuni	ɐ n ə p u n i
anawaena	ə n ə ʋ ɐ e̯ n ə
ane	ɐ n e
ani	ɐ n i
aniani	ɐ n i j ɐ n i
anilā	ə n i l aː
ano	ɐ n o
anu	ɐ n u
anuanu	ɐ n u w ɐ n u
ānuenue	aː n u w e n u w e
Anuhea	ɐ n u h ɛ j ə
ao	ɐ o̯
Aokealoa	ɐ o̯ k ɛ j ə l o w ə
Aotearoa	ɐ o̯ k ɛ j ə l o w ə
aouli	ɐ o̯ u l i
apau	ə p ɐ w
apau	ə p ɔ w
au	ɐ w
au	ɔ w
āu	aː w
auau	ɐ w w ɐ w
auau	ɔ w w ɔ w
auē	ə w w eː
aumiki	ɐ w m i t i
aumiki	ɔ w m i t i
aumoe	ə w m o w e
aupuni	ə w p u n i
awa	ɐ ʋ ə
awakea	ɐ ʋ ə k ɛ j ə
awatea	ɐ ʋ ə k ɛ j ə
awāwa	ə ʋ aː ʋ ə
aʻa	ɐ ʔ ə
aʻe	ɐ ʔ e
aʻela	ə ʔ ɛ l ə
aʻo	ɐ ʔ o
aʻole	ə ʔ o l e
aʻu	ɐ ʔ u
Banagaladesa	p ɐ n ə k ɐ l ə k ɛ k ə
Beniamina	p e n i j ə m i n ə
Beretania	p ɛ l ɛ k aː n i j ə
Betelehema	p ɛ k ɛ l ɛ h ɛ m ə
Botuana	p o k u w ɐ n ə
Burunei	p u l u n ɛ j
Daniela	k ɐ n i ɛ l ə
Daniʻela	k ə n i ʔ ɛ l ə
Dāvida	k aː ʋ i k ə
Doreka	k o l ɛ k ə
ea	ɛ j ə
ehu	ɛ h u
Elika	e l i k ə
emi	ɛ m i
eʻe	ɛ ʔ ɛ
Gaberiela	k ə p e l i ɛ l ə
Galatia	k ɐ l ə t i j ə
Galilaia	k ə l i l ɐ j j ə
Galilaia	k ə l i l ɛ j j ə
Gāna	k aː n ə
Gaza	k ɐ k ə
Habakuka	h ɐ p ə k u k ə
hae	h ɐ e̯
haele	h ɐ e̯ l e
Hagai	h ə k ɐ j
Hagai	h ə k ɛ j
hahai	h ə h ɐ j
hahai	h ə h ɛ j
hahau	h ə h ɐ w
hahau	h ə h ɔ w
hai	h ɐ j
hai	h ɛ j
haikokene	h ɐ j k o k ɛ n ɛ
haikokene	h ɛ j k o k ɛ n ɛ
Hailama	h ə j l ɐ m ə
hailawe	h ɐ j l ɐ ʋ e
hailawe	h ɛ j l ɐ ʋ e
hailepo	h ɐ j l ɛ p o
hailepo	h ɛ j l ɛ p o
hailuku	h ɐ j l u k u
hailuku	h ɛ j l u k u
Haipa	h ɐ j p ə
Haipa	h ɛ j p ə
Haipeliona	h ə j p e l i j o n ə
haka	h ɐ k ə
hakahaka	h ɐ k ə h ɐ k ə
hakakā	h ə k ə k aː
hākiʻi	h aː t i ʔ i
haku	h ɐ k u
hakuhaku	h ɐ k u h ɐ k u
hala	h ɐ l ə
halahala	h ɐ l ə h ɐ l ə
Halakepoka	h ə l ə k e p o k ə
Halaki	h ə l ɐ t i
hālana	h aː l ɐ n ə
hālau	h aː l ɐ w
hālau	h aː l ɔ w
hālāwai	h aː l aː ʋ ɐ j
hālāwai	h aː l aː ʋ ɛ j
hale	h ɐ l e
Hale	h ɐ l e
halehale	h ɐ l e h ɐ l e
Halelū	h ə l e l uː
halemākaʻi	h ɐ l e m aː k ɐ ʔ i
Haleʻiwa	h ɐ l e ʔ i ʋ ə
hali	h ɐ l i
Haliaka	h ə l i j ɐ k ə
hāliu	h aː l j u
Hāliʻimaile	h aː l i ʔ i m ɐ j l e
Hāliʻimaile	h aː l i ʔ i m ɛ j l e
hālula	h aː l u l ə
hame	h ɐ m e
hāmeʻa	h aː m ɛ ʔ ə
hamo	h ɐ m o
hana	h ɐ n ə
hana	h ɐ n ə
Hana	h ɐ n ə
hāna	h aː n ə
hanahana	h ɐ n ə h ɐ n ə
hānai	h aː n ɐ j
hānai	h aː n ɛ j
Hanalē	h ə n ə l eː
Hanalei	h ɐ n ə l ɛ j
hānana	h aː n ɐ n ə
hānau	h aː n ɐ w
hānau	h aː n ɔ w
hanauna	h ə n ɐ w n ə
hanauna	h ə n ɔ w n ə
hanele	h ə n ɛ l ɛ
haneli	h ə n ɛ l i
hanini	h ə n i n i
hano	h ɐ n o
hanohano	h ɐ n o h ɐ n o
hanu	h ɐ n u
hanuāpuaʻa	h ɐ n u w aː p u w ɐ ʔ ə
hao	h ɐ o̯
haole	h ɐ o̯ l e
hapa	h ɐ p ə
hāpa	h aː p ə
hapahā	h ɐ p ə h aː
hāpai	h aː p ɐ j
hāpai	h aː p ɛ j
hapakolu	h ɐ p ə k o l u
hapalua	h ɐ p ə l u w ə
Hasegawa	h ɐ k e k ɐ ʋ ə
hau	h ɐ w
hau	h ɔ w
hauhau	h ə w h ɐ w
hauhau	h ə w h ɔ w
haukalima	h ɐ w k ə l i m ə
haukalima	h ɔ w k ə l i m ə
haukapila	h ɐ w k ə p i l ə
haukapila	h ɔ w k ə p i l ə
haukaʻe	h ɐ w k ɐ ʔ e
haukaʻe	h ɔ w k ɐ ʔ e
haulani	h ɐ w l ɐ n i
haulani	h ɔ w l ɐ n i
haumāna	h ə w m aː n ə
Haumea	h ə w m ɛ j ə
haumia	h ə w m i j ə
hāuna	h aː u n ə
Haunani	h ə w n ɐ n i
haupia	h ɐ w p i j ə
haupia	h ɔ w p i j ə
Hauʻoli	h ə w ʔ o l i
hauʻoli	h ə w ʔ o l i
Hawaiʻi	h ə ʋ ɐ j ʔ i
Hawaiʻi	h ə ʋ ɛ j ʔ i
haʻa	h ɐ ʔ ə
haʻahaʻa	h ɐ ʔ ə h ɐ ʔ ə
Haʻaheo	h ɐ ʔ ə h ɛ j o
haʻaheo	h ɐ ʔ ə h ɛ j o
