𐌀	a
𐌀𐌂𐌀	a c a
𐌀𐌂𐌀𐌅𐌉𐌔𐌄𐌓	a c a v i s e r
𐌀𐌂𐌀𐌆𐌓	a c a z r
𐌀𐌂𐌀𐌋𐌀	a c a l a
𐌀𐌂𐌀𐌋𐌄	a c a l e
𐌀𐌂𐌀𐌋𐌅𐌄	a c a l v e
𐌀𐌂𐌀𐌋𐌉𐌀	a k a l i a
𐌀𐌂𐌀𐌐	a c a p
𐌀𐌂𐌀𐌓𐌉𐌀	a c a r i a
𐌀𐌂𐌀𐌓𐌉𐌀𐌋	a c a r i a l
𐌀𐌂𐌀𐌔	a c a s
𐌀𐌂𐌀𐌔𐌀	a c a s a
𐌀𐌂𐌀𐌔𐌂𐌄	a c a s c e
𐌀𐌂𐌀𐌔𐌓𐌉	a c a s r i
𐌀𐌂𐌄	a c e
𐌀𐌂𐌄𐌉	a t͡ʃ e i̯
𐌀𐌂𐌄𐌉𐌀𐌋	a t͡ʃ e i̯ a̯ l
𐌀𐌂𐌄𐌋	a c e l
𐌀𐌂𐌄𐌋𐌔	a c e l s
𐌀𐌂𐌄𐌔	a c e s
𐌀𐌂𐌉𐌋	a c i l
𐌀𐌂𐌉𐌋𐌀	a c i l a
𐌀𐌂𐌉𐌋𐌖	a c i l u
𐌀𐌂𐌉𐌋𐌖𐌍𐌉𐌀	a c i l u n i a
𐌀𐌂𐌋𐌖𐌔	a c l u s
𐌀𐌂𐌍𐌀𐌉𐌂𐌄	a c n a i c e
𐌀𐌂𐌍𐌀𐌉𐌍𐌄	a c n a i n e
𐌀𐌂𐌍𐌀𐌍𐌀𐌔	a c n a n a s
𐌀𐌂𐌍𐌀𐌑𐌅𐌄𐌓𐌔	a c n a s v e r s
𐌀𐌂𐌍𐌉𐌍𐌀	a c n i n a
𐌀𐌂𐌍𐌔	a c n s
𐌀𐌅𐌄	a f e
𐌀𐌅𐌉𐌋	ɑ w ɪ l
𐌀𐌅𐌉𐌋𐌔	a v i l s
𐌀𐌉𐌈𐌕𐌓𐌀	a i θ r a
𐌀𐌉𐌔	a j s
𐌀𐌉𐌔𐌍𐌀	a j s n a
𐌀𐌉𐌖𐌔	a i u s
𐌀𐌊𐌀	a c a
𐌀𐌋𐌂𐌄	a l c e
𐌀𐌋𐌂𐌖	a l c u
𐌀𐌋𐌄	a l e
𐌀𐌋𐌅	a l f
𐌀𐌋𐌅𐌀	a l f a
𐌀𐌋𐌅𐌀𐌋	a l f a l
𐌀𐌋𐌅𐌀𐌔	a l f a s
𐌀𐌋𐌅𐌉𐌄	a l f i e̯
𐌀𐌋𐌉𐌂𐌄	a l i k e
𐌀𐌋𐌉𐌊𐌄	a l i c e
𐌀𐌋𐌉𐌗𐌀	a l i χ a
𐌀𐌋𐌉𐌗𐌄	a l i χ e
𐌀𐌋𐌑𐌀𐌔𐌄	a l z a s e
𐌀𐌋𐌗𐌖	a l χ u
𐌀𐌍𐌂𐌀𐌓𐌉𐌀	a n c a r i a
𐌀𐌍𐌉𐌀𐌗	a n i̯ a kʰ
