ar	ʔ a r
at	a t
bam	b a m
bha	b h a
blooh	b l o ʔ
blu	b l u
bnai	b n a j
bri	b r i
bru	b r u
bu	b u
chiphaw	t͡ʃ i pʰ a w
chispah	t͡ʃ i s p a ʔ
chit	t͡ʃ i t
chkur	t͡ʃ k u r
chnong	t͡ʃ n ɔ ŋ
chyeiñ	t͡ʃ ʔ e ɲ
chyrtoh	t͡ʃ r̩ t ɔ ʔ
dakha	d a kʰ a
deiñ	d e ɲ
dih	d i ʔ
diñ	d i ɲ
hajar	h a d͡ʒ a r
hær	h ɛ r
im	ʔ i m
ja	d͡ʒ a
kba	k b a
khla	kʰ l a
khlieh	kʰ l e ʔ
khloo	kʰ l o
khmat	kʰ m a t
khmut	kʰ m u t
khne	kʰ n e
khon	kʰ ɔ n
khoo	kʰ o
khroh	kʰ r ɔ ʔ
khynde	kʰ n̩ d e
kjat	k d͡ʒ a t
ksaw	k s a w
ksu	k s u
kti	k t i
ku	k u
kyam	k d͡ʒ a m
kyntein	k n̩ t e n
ladaw	l a d a w
lai	l a j
le	l e
loom	l o m
lymmeiñ	l m̩ m e ɲ
lyoh	l ʔ ɔ ʔ
lyær	l ʔ ɛ r
mait	m a t̪
mrad	m r a d
mynthu	m n̩ tʰ u
nar	n a r
nga	ŋ a
ngap	ŋ a p
ngut	ŋ u t
o	ʔ ɔ
phra	pʰ r a
pseiñ	p s e ɲ
pyut	p ʔ u t
reñ	r ɛ ɲ
rwai	r w a j
san	s a n
sapæt	s a p ɛ t
sim	s i m
skur	s k u r
snam	s n a m
sngi	s ŋ i
sniang	s n i a ŋ
sniooh	s ɲ o ʔ
snæm	s n ɛ m
soh	s ɔ ʔ
soo	s o
sum	s u m
sung	s u ŋ
syiar	s ʔ i a r
symbe	s m̩ b e
syntu	s n̩ t u
sñiaw	s ɲ i a w
sñiawthooh	s ɲ i a w tʰ o h
tham	tʰ a m
thiah	tʰ i a ʔ
thlu	tʰ l u
thylleij	tʰ l̩ l e ɟ
thymme	tʰ m̩ m e
tit	t i t
tpai	t p a j
tylli	t l̩ l i
tyrsim	t r̩ s i m
um	ʔ u m
wah	w a ʔ
waroh	w a r ɔ ʔ
wi	w i
yam	j a m
yap	j a p
yaw	j a w
ymbu	m̩ b u
ynru	n̩ r u
ynñiaw	n̩ ɲ i a w
yoo	j o
