กรัด	k r ʌ t̚
กราวัย	k r a w ʌ j
กลาเม	k l a m e
กอมมวง	k ɔ m m u ə̯ ŋ
กะ	k ʌ ʔ
กันตูกัน	k ʌ n t u k ʌ n
กากี	k a k i
กาแคก	k a kʰ ɛ k̚
กาจัก	k a c ʌ k̚ ~ k a t͡ɕ ʌ k̚
กาเญา	k a ɲ ʌ w
กาเตาะ	k a t ɔ ʔ
กานัน	k a n ʌ n
กาโบยจ	k a b o i̯ ʔ ~ k a b ʊ i̯ ʔ
กาปัยฮ	k a p ʌ i̯ h
กามี	k a m i
กามุง	k a m u ŋ
กาเม	k a m e
กายู	k a j u
กาเยด	k a j e t̚ ~ k a j ɪ t̚
กาเยน	k a j e n ~ k a j ɪ n
กาโยะฮ	k a j o h ~ k a j ʊ h
การัก	k a r ʌ k̚
กาลี	k a l i
กาเลา	k a l ʌ w
กิก	k ɪ k̚
กีตา	k i t a
กีรี	k i r i
กีลากี	k i l a k i
กูกู	k u k u
กูแซะ	k u s ɛ ʔ
กูญา	k u ɲ a
กูเญะ	k u ɲ e ʔ ~ k u ɲ ɪ ʔ
กูแญะ	k u ɲ ɛ ʔ
กูดา	k u d a
กูนิง	k u n ɪ ŋ
กูบัก	k u b ʌ k̚
กูปี	k u p i
กูเมอ	k u m ɤ
กูรา	k u r a
กูเละ	k u l e ʔ ~ k u l ɪ ʔ
กฺาซี	ɡ a s i
กฺาโดะฮ	ɡ a d o h ~ ɡ a d ʊ h
กฺารอยจ	ɡ a r ɔ i̯ ʔ
กฺารับ	ɡ a r ʌ p̚
กฺารี	ɡ a r i
กฺาวน	ɡ a w o n
กฺาวะ	ɡ a w ʌ ʔ
กฺีกฺี	ɡ i ɡ i
กฺีเตอ	ɡ i t ɤ
กฺีนี	ɡ i n i
กฺีปากฺี	ɡ i p a ɡ i
กฺีลา	ɡ i l a
กฺูตล	ɡ u t ʊ ɭ
กฺูตู	ɡ u t u
กฺูเตอ	ɡ u t ɤ
กฺูรี	ɡ u r i
