აბ	a b
აბნო	a b n o
აბრ	a b r
აგვისტო	a ɡ ʋ i s tʼ ŏ
აგურ	a ɡ u r
ადგილ	a d ɡ i l
ადლ	a d l
ადმიაჼ	a d m i ã
ავშაჼ	a ʋ ʃ ã
ავშრი	a ʋ ʃ r i
აზატ	a z a tʼ
ათას	a t a s
აკაკ	a kʼ a kʼ
აკვაჼ	a kʼ ʋ ã
აკიდო	a kʼ i d ŏ
აკმაჲზლობ	a kʼ m a j z l o b
ალავ	a l a ʋ
ალამ	a l a m
ალბულ	a l b u l
ალე	aː l ĕ
ალხ	a l x
ალხაძურ	a l x a d͡z u r
ანგრიშ	a n ɡ r i ʃ
ანკრაჸო	a n kʼ r a ʔ ŏ
ანწლ	a n t͡sʼ l
არწივ	a r t͡sʼ i ʋ
ასაჸო	aː s a ʔ ŏ
ასე	aː s ĕ
ატტაჼ	a tʼː ã
ატტიჼ	a tʼː ĩ
ატყ	a tʼ qʼ
აუ	a ŭ
აუჼ	ã u̯
აფთიეკა	a p t i e kʼ a
აფიცერ	a p i t͡s e r
აქლამ	a k l a m
აჰʼაჼ	a ħ ã
აჲ	a i̯
აჲთაჸო	a j t a ʔ ŏ
აჲქთობ	a j k t o b
აჲჼ	ã i̯
აჼ	ã
ბადერ	b a d e r
ბარლʻ	b a r ɬ
ბატ	b a tʼ
ბაყო	b a qʼ ŏ
ბაჯ	b a d͡ʒ
ბაჼ	b ã
ბეხკ	b e x kʼ
ბეჼ	b ẽ
ბოთთ	b o tː
ბოთხ	b o t x
ბორშ	b o r ʃ
ბორც	b o r t͡s
ბოტ	b o tʼ
ბუთთ	b u tː
ბუტ	b u tʼ
ბუღ	b u ɣ
ბუჲ	b u j
ბუჲსა	b u j s a
ბუჲჰ	b u j h
ბჵარწოჼ	b ʡ a r t͡sʼ õ
ბჵოკ	b ʕ o kʼ
ბჵორწ	b ʕ o r t͡sʼ
გაგაჸო	ɡ a ɡ a ʔ ŏ
გაგაჼ	ɡ a ɡ ã
გაზაფხუჲლა	ɡ a z a p x u j l a
გაზაჼ	ɡ a z ã
გე	ɡ e
გებს	ɡ e b s
გემ	ɡ e m
გუბ	ɡ u b
გუჯაბ	ɡ u d͡ʒ a b
