A	a
Abadiano	a b a d i a n o
Abendu	a b e n d u
Abendualdi	a b e n d u a l d i
Abkhazia	a b k a s̻ i a
Abkhazia	a b x a s̺ i a
Abkhazia	a b x a s̻ i a
Aboitiz	a b o i̯ t i s̻
Abundi	a b u n d i
Abundio	a b u n d j o
Adolba	a d o l b a
Afganistan	a f ɡ a n i s̺ t a n
Afganistanek	a f ɡ a n i s̺ t a n e k
Agirre	a ɡ i r e
Agoitz	a ɡ o i̯ t͡s̻
Ainara	a i̯ n a ɾ a
Ainhoa	a i̯ n o a
Aintzane	a i̯ n t͡s̻ a n e
Aitor	a i̯ t o r
Albania	a l b a n i a
Alemania	a l e m a n i a
Aljeria	a l x e ɾ i a
Aljeria	a l ʒ e ɾ i a
Altsasu	a l t͡s̺ a s̺ u
Altsasu	a l t͡s̻ a s̺ u
Altzaga	a l t͡s̻ a ɡ a
Amaia	a m a i̯ a
Andaia	a n d a i̯ a
Andaluzia	a n d a l u s̻ i a
Ander	a n d e r
Andoain	a n d o a i̯ n
Andorra	a n d o r a
Angola	a n ɡ o l a
Antartika	a n t a r t i k a
Antigua	a n t i ɡ w a
Antsoain	a n t͡s̺ o a i̯ n
Antsoain	a n t͡s̻ o a i̯ n
Antton	a n c o n
Antton	a n t͡ʃ o n
Antxieta	a n t͡ʃ j e t a
Araba	a ɾ a b a
Arantzazu	a ɾ a n t͡s̻ a s̺ u
Arantzazu	a ɾ a n t͡s̻ a s̻ u
Arbona	a r b o n a
Arellano	a ɾ e ʎ a n o
Aristotele	a ɾ i s̺ t o t e l e
Armenia	a r m e n i a
Aroztegi	a ɾ o s̺ t e ɡ i
Aroztegi	a ɾ o s̻ t e ɡ i
Arrangoitze	a r a n ɡ o i̯ t͡s̻ e
Arrasate	a r a s̺ a t e
Arrieta	a r i e t a
Arrigorriaga	a r i ɡ o r i a ɡ a
Artizarra	a r t i s̻ a r a
Atena	a t e n a
Australia	a u̯ s̺ t r a l i a
Austria	a u̯ s̺ t r i a
Azerbaijan	a s̺ e r b a i̯ d͡ʒ a n
Azerbaijan	a s̻ e r b a i̯ j a n
Azerbaijan	a s̻ e r b a i̯ ɟ a n
Azkarate	a s̺ k a ɾ a t e
Azkarate	a s̻ k a ɾ a t e
Azkarraga	a s̻ k a r a ɡ a
Azkoitia	a s̺ k o i̯ t i a
Azkoitia	a s̻ k o i̯ t i a
Azpeitia	a s̺ p e i̯ t i a
Azpeitia	a s̻ p e i̯ t i a
B	b e
Bangladesh	b a n ɡ l a d e s̺
Barbuda	b a r b u d a
Barrundia	b a r u n d i a
Basajaun	b a s̺ a d͡ʒ a u̯ n
Basajaun	b a s̺ a j a u̯ n
Basajaun	b a s̺ a x a u̯ n
Basajaun	b a s̺ a ɟ a u̯ n
Basusarri	b a s̺ u s̺ a r i
