abis	a b ɪ s
abur	a b u r
adai	a d a i
aja	a d͡ʒ a ʔ
andal	a n d a l
anjung	a n d͡ʒ u ə ŋ
anti	a n t i ə ʔ
aus	a u s
ba	b a ʔ
badas	b a d a s
badu	b a d u ʔ
baju	b a d͡ʒ u
bakih	b a k i ə h
bangkai	b a ŋ k a i
bantu	b a n t u ə ʔ
bas	b a s
basu	b a s u ə ʔ
bata	b a t a
bebakih	b ə b a k i ə h
bedau	b ə d a u
begagaika	b ə ɡ a ɡ a i k a
begulai	b ə ɡ u l a i
belajar	b ə l a d͡ʒ a r
belian	b ə l i a n
belimbing	b ə l ɪ m b ɪ ŋ
benang	b ə n a ŋ
bepeluh	b ə p ə l u h
beresi	b ə r ə s i
charik	t͡ʃ a r ɪ ʔ
chelak	t͡ʃ ə l ə a k
cheremin	t͡ʃ ə r ə m i n
chiru	t͡ʃ i r u
dada	d̪ a d̪ a
dadah	d a d e a̯ h
dani	d a n i ə
dara	d a r a
dian	d̪ i a n
dini	d i n i
duduk	d u d ʊ ʔ
empa	ə m p a
enda	ə n d a ʔ
ensera	ə n s ə r a ʔ
enti	ə n t i ə ʔ
gawai	ɡ a w a i̯
geladak	ɡ ə l a d a k
gelembung	ɡ ə l ə m b ʊ ŋ
giga	ɡ i ɡ a ʔ
guntin	ɡ u ə n t i n
hari	a r i
ibu	i b u ʔ
ibun	i b u n
ichar	i t͡ʃ a r
ingat	ɪ ŋ a t̚
inggar	i ŋ ɡ a r
insap	i n s a p
intu	i n t u
ipa	i p ə a ʔ
irau	i r a u
iring	i r i ŋ
irit	i r i t
itung	i t u ə ŋ
jam	d͡ʒ a m
jenuh	d͡ʒ ə n ʊ h
jimat	d͡ʒ i m a t
jual	d͡ʒ u a l
kabel	k a b ə l
kala	k a l a ʔ
kamah	k a m a h
kar	k a r
kati	k a t i
kawin	k a w ɪ n
kayu	k a j u ʔ
kebal	k ə b a l
kediri	k ə d i r ɪ ʔ
kelala	k ə l a l a
kelia	k ə l i a ʔ
kemari	k ə m a r i ʔ
keretas	k ə r ə t a s
kesa	k ə s a ʔ
kesuling	k ə s u l i ŋ
ketawa	k ə t a w a ʔ
kini	k i n i ə
kulit	k u l i ə t
labuh	l a b u h
lalau	l a l a u
lalu	l a l u
landik	l a n d i ə k
lantang	l a n t ə a ŋ
laya	l a j a ʔ
lelak	l ə l ə a k
lelundai	l ə l u n d a i
lenyau	l ə ɲ a u
likun	l i k u n
liur	l i ʊ r
logo	l o ɡ o
lubah	l u b ə a h
luching	l u t͡ʃ i ŋ
madah	m a d ə a h
manang	m a n a ə ŋ
manuk	m a n ʊ ʔ
masam	m a s a m
masin	m a s ɪ n
menaul	m ə n a u l
mending	m ə n d i ə ŋ
meredeka	m ə r ə d ə k a
merindang	m ə r i n d ə a ŋ
miding	m i d i ə ŋ
mina	m i n a ʔ
minggu	m i ŋ ɡ u
minta	m i n t a ʔ
minyak	m i ɲ ä k
misa	m i s a
nama	n a m a
ngagai	ŋ a ɡ a i
ngiga	ŋ i ɡ a ʔ
nginsap	ŋ i n s a p
ngirup	ŋ i r u p
nikal	n i k a l
nitih	n i t i h
nyabak	ɲ a b ə a k
nyadi	ɲ a d i
nyawa	ɲ a w a
nyeling	ɲ ə l i ə ŋ
pagila	p a ɡ i l a ʔ
pechuma	p ə t͡ʃ u m a
pekit	p ə k i t
pemutus	p ə m u t u s
pending	p ə n d ɪ ŋ
pengerai	p ə ŋ ə r a i
pengerami	p ə ŋ ə r a m i
perati	p ə r a t i
perau	p ə r a u ʔ
perchaya	p ə r t͡ʃ a j a ʔ
pun	p u n
rangkai	r a ŋ k a i
raun	r a u n
rayat	r a j a t
redak	r ə d ə a k
remang	r ə m ə a ŋ
renga	r ə ŋ a ʔ
rengut	r ə ŋ u ə t
riman	r i m a n
roh	r ɔ h
salin	s a l ɪ n
sebut	s ə b u t
segi	s ə ɡ i
selapuk	s ə l a p u ə k
sepu	s ə p u
serebak	s ə r ə b a k
setukin	s ə t u k i n
sigat	s i ɡ a t
silik	s i l i ə k
sumai	s u m a i
tabi	t a b i ə ʔ
tabung	t a b ʊ ŋ
tanchut	t a n t͡ʃ u t
tawil	t a w ɪ l
tekura	t ə k u r a ʔ
tempik	t ə m p i ə k
tepa	t ə p a ʔ
terang	t ə r ə a ŋ
tikau	t i k a u
tinggang	t i ŋ ɡ ə a ŋ
tuak	t u a ʔ
tuchum	t u t͡ʃ u ə m
tuju	t u d͡ʒ u
tula	t ʊ l a
tulung	t̪ u l ʊ ŋ
tunsang	t u n s a ŋ
ujung	u d͡ʒ u ə ŋ
ulih	u l i ə h
ulun	u l u n
uras	u r a s
utang	u t a ə ŋ
vakum	v a k ʊ m
wung	w u ə ŋ
