अन्न	ə n nᵊ
अहाँ	ə ɦ ãː
अहाँक	ə ɦ ãː k
अहाँलऽ	ə ɦ ãː l əː
अहें	ə ɦ ẽː
अहꣿँ	ə ɦ ə ĕ̃
अहꣿँ	ə ɦ ɛ̃
अहꣿं	ə ɦ ə ĕ̃
अहꣿं	ə ɦ ɛ̃
अऽ	əː
अ꣱	ɔ
आएब	aː ĕ b
आएब	æ b
आखर	aː kʰ ə ɾ
आठ	aː ʈʰ
इएँ	ɪ ẽː
इसपात	ɪ sᵊ p aː t
इसलाम	ɪ sᵊ l aː m
इऺ	ɪ̆
ई	iː
उएँ	ʊ ẽː
उड़ब	ʊ ɽ ə b
उड़ब	ʊ ɾ ə b
उनैस	ʊ n ə ɪ s
उऺ	ʊ̆
ऊ	uː
ऎकरा	e kᵊ ɾ aː
ऎकराल	e kᵊ ɾ aː l
ऎकरेँ	e kᵊ ɾ ẽː
ऎकरें	e kᵊ ɾ ẽː
ए	eː
एक	eː k
एकर	eː k ə ɾ
एकरा	e kᵊ ɾ aː
एकराल	e kᵊ ɾ aː l
एकरें	e kᵊ ɾ ẽː
ऒकरा	o kᵊ ɾ aː
ऒकराल	o kᵊ ɾ aː l
ऒकरें	o kᵊ ɾ ẽː
ओ	oː
ओकर	oː k ə ɾ
ओकरा	o kᵊ ɾ aː
ओकराल	o kᵊ ɾ aː l
ओकरें	o kᵊ ɾ ẽː
करब	k ə ɾ ə b
कहब	k ə ɦ ə b
काटब	k aː ʈ ə b
किताप	k ɪ t aː p
खाएब	kʰ aː ĕ b
खाएब	kʰ æ b
खिखिर	kʰ ɪ kʰ ɪ ɾ
खोलब	kʰ oː l ə b
गवैया	ɡ ə ʋ ə ɪ j aː
गहुँत	ɡ ə ɦ ʊ̃ t
गहूँ	ɡ ə ɦ ũː
गाछ	ɡ aː t͡ɕʰ
गाजर	ɡ aː d͡ʑ ə ɾ
गाय	ɡ aː ĕ
गाय	ɡ æ
घोसब	ɡʱ oː s ə b
चलचित्र	t͡ɕ ə lᵊ t͡ɕ ɪ t ɾᵊ
चलब	t͡ɕ ə l ə b
चानी	t͡ɕ aː n iː
चारि	t͡ɕ aː ɪ ɾ
चारि	t͡ɕ aː ɾ ɪ̆
चाहब	t͡ɕ aː ɦ ə b
चीठी	t ɕ iː ʈʰ iː
छऒ	t͡ɕʰ ɔ
छऒ	t͡ɕʰ ə ŏ
जाएब	d͡ʑ aː ĕ b
जाएब	d͡ʑ æ b
जानब	d͡ʑ aː n ə b
जापत्री	d͡ʑ a p ə t ɾ iː
डिम्मा	ɖ ɪ m m aː
ताग	t aː ɡ
तीन	t iː n
तॊहरा	t o ɦᵊ ɾ aː
तॊहराल	t o ɦᵊ ɾ aː l
तॊहरें	t o ɦᵊ ɾ ẽː
तोह	t õː ɦ
तोहर	t oː ɦ ə ɾ
तोहरा	t o ɦᵊ ɾ aː
तोहराल	t o ɦᵊ ɾ aː l
तोहरें	t o ɦᵊ ɾ ẽː
तोहें	t oː ɦ ẽː
थाकब	tʰ aː k ə b
दिल्ली	d ɪ l l iː
दू	d uː
देखब	d eː kʰ ə b
दौड़ब	d ə ʊ ɽ ə b
दौड़ब	d ə ʊ ɾ ə b
धरि	dʱ ə ɪ ɾ
धरि	dʱ ə ɾ ɪ̆
नऒ	n ɔ
नऒ	n ə ŏ
नून	n uː n
पढ़ब	p ə ɽʱ ə b
पढ़ब	p ə ɾʱ ə b
पन्द्रह	p ə n d ɾ ə ɦ
पाएब	p aː ĕ b
पाएब	p æ b
पान	p aː n
पानि	p aː n ɪ̆
पानि	p aː ɪ n
पिठार	p ɪ ʈʰ aː ɾ
पीसब	p iː s ə b
पीसली	p i sᵊ l iː
पुस्तक	p ʊ s t ə k
पेआजु	p e aː ʊ d͡ʑ
पेआजु	p eː aː d͡ʑ ʊ̆
पोथी	p oː tʰ iː
प्रथम	p ɾ ə tʰ ə m
बढ़ब	b ə ɽʱ ə b
बढ़ब	b ə ɾʱ ə b
बाजब	b aː d͡ʑ ə b
बेचब	b eː t͡ɕ ə b
बेर	b eː ɾ
बेल	b eː l
बैसब	b ə ɪ s ə b
मचिआ	m ə t͡ɕ ɪ aː
माची	m aː t͡ɕ iː
माड़ी	m aː ɽ iː
मारब	m aː ɾ ə b
मीत	m iː t
मैथिली	m ə ɪ tʰ ɪ l iː
रवि	ɾ ə ɪ b
रवि	ɾ ə ʋ ɪ̆
राकस	ɾ aː k ə s
लताम	l ə t aː m
शनि	s ə ɪ n
शनि	ɕ ə n ɪ̆
सत्तरि	s ə t t ə ɪ ɾ
सत्तरि	s ə t t ə ɾ ɪ̆
सपना	s ə pᵊ n aː
साठि	s aː ɪ ʈʰ
साठि	s aː ʈʰ ɪ̆
सात	s aː t
सीखब	s iː kʰ ə b
सुनब	s ʊ n ə b
सूतब	s uː t ə b
सोड़ह	s oː ɽ ə ɦ
हँसब	ɦ ə̃ s ə b
हम	ɦ ə m
हमर	ɦ ə m ə ɾ
हमरा	ɦ ə mᵊ ɾ aː
हमराल	ɦ ə mᵊ ɾ aː l
हमरें	ɦ ə mᵊ ɾ ẽː
हिनकर	ɦ ɪ nᵊ k ə ɾ
हिनका	ɦ ɪ nᵊ k aː
हिनकाल	ɦ ɪ nᵊ k aː l
हिनकें	ɦ ɪ nᵊ k ẽː
