che	t͡ʃʰ ɛ
cheekua	t͡ʃʰ ɛː k u a
chá	t͡ʃʰ á
chǫ	t͡ʃʰ õ̀
dechį	d ɛ t͡ʃʰ ĩ
deh	t ɛ̀ h
dene	t ɛ̀ n ɛ̀
denekéhle	t ɛ̀ n ɛ̀ k ɛ́ h l ɛ̀
deshį	d ɛ ʃ ĩ
dih	t ì h
dzene	t͡s ɛ̀ n ɛ̀
dzéh	t͡s ɛ́ h
dánéhtʼé	t á n ɛ́ h tʼ ɛ́
dánéhtʼé sadzéé	t á n ɛ́ h tʼ ɛ́ s à t͡s ɛ́ː
dúyé	d u ˥ j ɛ ˥
dųa	d ũ a
gah	k à h
gha	ɣ a
golǫ	k o l õ ˥
gotsʼę́	k ò t͡sʼ ɛ̃́
hé	h ɛ ˥
jíye	t͡ʃ í j ɛ̀
jíyetú	t͡ʃ í j ɛ̀ tʰ ú
kų́é	kʰ ṹ ɛ́
kǫ́	kʰ ṍ
kǫ́túé	kʰ ṍ tʰ ú ɛ́
kǫ́é	kʰ ṍ ɛ́
kʼay	kʼ à j
kʼoh	kʼ ò h
kʼų́	kʼ ṹ
la	ɮ a
libé	ɮ i p ɛ ˥
lidí	ɮ i t i ˥
líbarí	ɮ i ˥ b a ɾ i ˥
mbe	ᵐp ɛ̀
mbeh	ᵐp ɛ̀ h
meh	m ɛ̀ h
mehchiné	m ɛ̀ h t͡ʃʰ ì n ɛ́
mį́h	m ĩ́ h
ndu	ⁿt ù
noohtsi	n òː h t͡sʰ ì
nu	n ù
sa	s à
sachǫ	s a t͡ʃʰ õ
sadzéé	s a t͡s ɛː ˥
sah	s à h
sahdhéh	s à h ð ɛ́ h
samba	s aᵐ p a
shah	ʃ à h
shį	ʃ ĩ̀
sámbaa	s a ˥ᵐ p aː
súhga	s ú h k à
sį́	s ĩ ˥
tedhe	t ɛ̀ ð ɛ̀
teze	t ɛ̀ z ɛ̀
tha	θ a
the	θ ɛ̀
thę́	θ ɛ̃ ˥
ti	tʰ ì
tleh	t͡ɬ ɛ̀ h
tlį	t͡ɬʰ ĩ̀
tlįa	t͡ɬʰ ĩ a
tlįcho	t͡ɬʰ ĩ t͡ʃʰ o
tlįsho	t͡ɬʰ ĩ ʃ o
tlʼuh	t͡ɬʼ ù h
tse	t͡sʰ ɛ̀
tsá	t͡sʰ á
tsádhéh	t͡sʰ á ð ɛ́ h
tsádhéhkéhle	t͡sʰ á ð ɛ́ h k ɛ́ h l ɛ̀
tsǫ́	t͡sʰ ṍ
tsʼah	t͡sʼ à h
tsʼahle	t͡s à h l ɛ̀
tsʼi	t͡sʼ ì
tsʼu	t͡sʼ ù
tsʼédé	t͡sʼ ɛ́ t ɛ́
tsʼélįa	t͡sʼ ɛ́ ɮ ĩ̀ à
tsʼéré	t͡sʼ ɛ́ ɾ ɛ́
tthah	t͡θʰ a h
tthe	t͡θʰ ɛ̀
tthʼih	t͡θʼ ì h
tthʼéh	t͡θʼ ɛ́ h
tu	tʰ ù
turi	tʰ ù ɾ ì
téh	t ɛ h ˥
tʼáh	tʼ á h
xah	x à h
xay	x à j
xeníh	x ɛ̀ n í h
ya	j à
yah	j à h
yati	j à t ì
yú	j ú
élį	ɛ ˥ l ĩ
łe	ɬ ɛ̀
łie	ɬ i ɛ
łu	ɬ u
łue	ɬ u ɛ
łuh	ɬ ù h
łéhtʼéh	ɬ ɛ́ h tʼ ɛ́ h
łétʼéh	ɬ ɛ́ tʼ ɛ́ h
ɂabá	ʔ a p a ˥
ɂah	ʔ à h
ɂamíi	ʔ a m i ˥ i
ɂayíi	ʔ a j i ˥ i
ɂedehtlʼéh	ʔ ɛ̀ t ɛ̀ h t͡ɬʼ ɛ́ h
ɂedhéh	ʔ ɛ̀ ð ɛ́ h
ɂekwǫjire	ʔ ɛ̀ kʷ õ̀ t͡ʃ ì ɾ ɛ̀
ɂekǫ́	ʔ ɛ̀ kʰ ṍ
ɂekʼélu	ʔ ɛ̀ kʼ ɛ́ l u
ɂelá	ʔ ɛ̀ l á
ɂepǫjire	ʔ ɛ̀ p õ̀ t͡ʃ ì ɾ ɛ̀
ɂetʼǫ́	ʔ ɛ̀ tʼ ṍ
ɂezéh	ʔ ɛ̀ z ɛ́ h
ɂóe	ʔ ó ɛ̀
ɂǫki	ʔ õ̀ kʰ ì
