Ёма	j o m a
Армения	a r m e ɲ i j a
Вежайка	ʋ e ʒ a j k a
Грузия	ɡ r u ʑ i j a
Гулень	ɡ u ʎ e ɲ
Дания	d a ɲ i j a
Ен	j e n
Изьва	i ʑ ʋ a
Куба	k u b a
Литва	ʎ i t ʋ a
Омӧль	o m ɘ ʎ
Паляйка	p a ʎ a j k a
Парма	p a r m a
Печора	p e t͡ɕ o r a
Россия	r o ɕ i j a
Рочму	r o t͡ɕ m u
Сыктыв	s ɯ k t ɯ ʋ
Сыктывкар	s ɯ k t ɯ ʋ k a r
Ті	t i
Финляндия	f i n ʎ a n ɟ i j a
Швеция	ʃ ʋ e t͡s i j a
Эжва	e ʒ v ɑ
Эстония	e s t o ɲ i j a
Юрка	j u r k a
абажур	a b a ʒ u r
абай	a b a j
абар	a b a r
абача	a b a t͡ɕ a
абзац	a b z a t͡s
абрикос	a b r i k o s
абу	a b u
абутӧм	a b u t ɘ m
август	a ʋ ɡ u s t
автобус	a ʋ t o b u s
агас	a ɡ a s
аддзывны	a d͡ʑː ɯ ʋ n ɯ
аддзыны	a d͡ʑː ɯ n ɯ
аист	a i s t
ай	a j
акайтны	a k a j t n ɯ
алфавит	a l f a ʋ i t
анбур	a n b u r
антибиотик	a n c i b i o c i k
антителӧ	a n c i c e l ɘ
анча	a n t͡ɕ a
ань	a ɲ
аорта	a o r t a
апрель	a p r e ʎ
ар	a r
артерия	a r t e r i j a
ас	a s
аски	a s k i
аскомысь	a s k o m ɯ ɕ
асы	a s ɯ
асыв	a s ɯ ʋ
асыввыв	a s ɯ ʋ ʋ ɯ ʋ
асывыы	a s ɯ ʋ ɯː
асьныд	a ɕ n ɯ d
асьным	a ɕ n ɯ m
асьныс	a ɕ n ɯ s
ата	a t a
аттьӧ	a cː ɘ
аттьӧавны	a cː ɘ a ʋ n ɯ
ачыд	a t͡ɕ ɯ d
ачым	a t͡ɕ ɯ m
ачыс	a t͡ɕ ɯ s
аяныв	a j a n ɯ ʋ
баба	b a b a
бадь	b a ɟ
баля	b a ʎ a
баляпи	b a ʎ a p i
бан	b a n
бать	b a c
баяр	b a j a r
бедь	b e ɟ
белок	b e l o k
берд	b e r d
блюд	b ʎ u d
бобув	b o b u ʋ
бок	b o k
бон	b o n
борд	b o r d
босьтны	b o ɕ t n ɯ
булка	b u l k a
бур	b u r
бурӧй	b u r ɘ j
бус	b u s
бутылка	b u t ɯ l k a
быг	b ɯ ɡ
быд	b ɯ d
бык	b ɯ k
бӧж	b ɘ ʒ
бӧжа	b ɘ ʒ a
ва	ʋ a
вад	ʋ a d
важ	ʋ a ʒ
вал	ʋ a l
вартны	ʋ a r t n ɯ
вартчыны	ʋ a r t t͡ɕ ɯ n ɯ
васа	ʋ a s a
вевт	ʋ e ʋ t
вевтӧс	ʋ e ʋ t ɘ s
ведра	ʋ e d r a
веж	ʋ e ʒ
вежа	ʋ e ʒ a
вежалун	ʋ e ʒ a l u n
вежань	ʋ e ʒ a ɲ
вежлӧг	ʋ e ʒ l ɘ ɡ
вежон	ʋ e ʒ o n
вей	ʋ e j
вем	ʋ e m
вена	ʋ e n a
вер	ʋ e r
верблюд	ʋ e r b ʎ u d
верӧс	ʋ e r ɘ s
весь	ʋ e ɕ
веськодь	ʋ e ɕ k o ɟ
ветымын	ʋ e t ɯ m ɯ n
видз	ʋ i d͡ʑ
видза	v i d͡zʲ ɑ
видзны	ʋ i d͡ʑ n ɯ
видзысь	ʋ i d͡ʑ ɯ ɕ
виж	ʋ i ʒ
визув	v i z u v
вина	ʋ i n a
вины	ʋ i n ɯ
вир	ʋ i r
вис	ʋ i s
вит	ʋ i t
вич	ʋ i t͡ɕ
вичко	ʋ i t͡ɕ k o
виысь	ʋ i ɯ ɕ
внук	ʋ n u k
внучка	ʋ n u t͡ɕ k a
во	ʋ o
воавны	ʋ o a ʋ n ɯ
воан	ʋ o a n
воддза	ʋ o d͡ʑː a
водз	ʋ o d͡ʑ
водзир	ʋ o d͡ʑ i r
вож	ʋ o ʒ
воз	ʋ o z
вой	ʋ o j
войвыв	ʋ o j ʋ ɯ ʋ
войдӧр	ʋ o j d ɘ r
войдӧрлун	ʋ o j d ɘ r l u n
вок	ʋ o k
воль	ʋ o ʎ
вольӧс	ʋ o ʎ ɘ s
вом	ʋ o m
вон	ʋ o n
воны	ʋ o n ɯ
ворсны	ʋ o r s n ɯ
воскресенье	ʋ o s k r e ɕ e ɲ j e
воськов	ʋ o ɕ k o ʋ
восьса	ʋ o ɕ s a
восьтыны	ʋ o ɕ t ɯ n ɯ
вотны	ʋ o t n ɯ
воторник	ʋ o t o r ɲ i k
воча	ʋ o t͡ɕ a
вторник	ʋ t o r ɲ i k
вуг	ʋ u ɡ
вудж	ʋ u d͡ʒ
вуджӧр	ʋ u d͡ʒ ɘ r
вуж	ʋ u ʒ
вуз	ʋ u z
вурд	ʋ u r d
выв	ʋ ɯ ʋ
вый	ʋ ɯ j
вылльӧв	ʋ ɯ ʎː ɘ ʋ
выллюн	ʋ ɯ ʎː u n
вылна	ʋ ɯ l n a
вылын	ʋ ɯ l ɯ n
выльлун	ʋ ɯ ʎ l u n
вӧв	ʋ ɘ ʋ
вӧвны	ʋ ɘ ʋ n ɯ
вӧр	ʋ ɘ r
вӧравны	ʋ ɘ r a ʋ n ɯ
вӧралысь	ʋ ɘ r a l ɯ ɕ
вӧрк	ʋ ɘ r k
вӧркань	ʋ ɘ r k a ɲ
вӧркась	ʋ ɘ r k a ɕ
вӧрпорсь	ʋ ɘ r p o r ɕ
вӧрса	ʋ ɘ r s a
