авх	a p χ ə
ад	a̠ d̥ ə̠
алтн	a l t̚ n̩
алх	a l χ ə̠
амн	a m n̩
амтн	a m t̚ n̩
арл	a r l̩
әмтн	æ m t n̩
баһчуд	b̥ ɐ χ t͡ɕʰ ʊ́ t̪
бичг	b i t͡ɕ ɪ k
бичх	b̥ i t͡ɕʰᵊ χ ə́
һарх	ɢ ɑ r χ ə̠
дән	d æ n
девтр	d e v t r̩
дегтр	d e k t ə r
дегтр	d e k t r̩
җил	d̥͡ʑ̥ i ʎ ə́
җил	d̥͡ʑ̥ i ʎ
зун	z ʊ n ə̠́
ирх	i r χ ə
йосн	j o̞ s n̩
келн	k e lʲ n̩
киитн	k iː t n̩
күчтә	k y ɕ t æ
махн	m a χ n̩
модн	m o d n̩
моңһл	m o ŋ ɡ l̩
мөрн	m ø r n̩
нүдн	n y d n̩
о	ɔ
одн	o d n̩
олн	o l n̩
өргн	ø r ɡ n̩
пөө	p øː
салькн	s a lʲ k n̩
сандл	s a n d ə̠ l
сән	s æ n
сохр	s o χ ə r
таңһч	t a ɳ χ t͡ɕ ɪ
телңгүд	t e l ɪ ŋ ɡ y t
тер	t e r ə̟
тер	t e r
тод	t o dᵊ
уга	u ɡ a
уга	u ɡʷ a
уга	u ɡ o
уга	ɡʷ a
уга	ɡʷ o
уга	ɡ a
уга	ɡ o
усн	u s n̩
үзх	y s x ə̟
хар	χ a r̩
хәләх	χ æ̝ ʎ æ̝ˑ χ ə́
хумсн	χ u m s n̩
цуһар	t͡s u ʁ a r
чикн	t͡ɕ i k n̩
шар	ʃ a r̩
шикр	ʃ i k r̩
шин	ɕ i n ə́
ширәлх	ʃ i r æː lʲ x ə
шүдн	ʃ y d n̩
эн	e n ə̟
эн	e n
