alas	a l a s
bēbis	b ēː b i s
būts	b ûː t s
cer	t͡s e r
domāju	d u ɔ m aː j u
dumjš	d u m ʃ
gars	ɡ a r s
krauklis	k r a u k l i s
ķīmiķa	c iː m i c a
ķīmiķis	c iː m i c i s
labi	l ɑ b i
lija	l i j a
nav	n a u
neļķi	n e ʎ c i
notika	n u o t i k ɑ
nozīmē	n u o z iː m eː
paldies	p ɑ l d i e s
queer	k v iː r s
raja	r a j a
sauc	s a u t s
skaut	s k a u t
sveiki	s v e i k i
taisnība	t a i s n iː b ɑ
tev	t e u
tīt	t iː t
vakariņām	v a k a r i ɲ aː m
valde	v ɑ l d e
valdes	v ɑ l d e s
vasara	v a sː a ɾ a
Vikipēdija	v i k i p eː d i j a
wiki	v i k i
Wikipēdija	v i k i p eː d i j a
zebra	z ɛ b r a
