ABŞ	ɑ b ʃ
Almaniya	ɑ ɫ m ɑ n i j ɑ
Aminə	ɑ m i n æ
Arkadi	ɑ r k ɑ d i
Avroviziya	ɑ v r o v iː z i j ɑ
Avroviziya	ɑ v r ɑ v iː z i j ɑ
Azərbaycan	ɑː z æ r b ɑ j d͡z ɑ n
Azərbaycan	ɑː z æ ɾ b ɑ j d͡ʒ ɑ n
Bakı	b ɑ c ɯ
Bağır	b ɑ ɣ ɯ r
Cübeyl	d͡ʒ y b e j l
DNT	d e e n t e
Firuzə	f i r uː z æ
Fətəli	f æ t æ l i
Fəzzan	f æ z z ɑ n
Gülnarə	d͡ʒ y l n ɑː r æ
Gülnarə	ɟ y l n ɑː r æ
Gürcüstan	d͡ʒ y ɾ d͡z y s t ɑ n
Gürcüstan	ɟ y ɾ d͡ʒ y s t ɑ n
Hələb	h æ l æ b
Həştərxan	h æ ʃ t æ r χ ɑ n
Kətayun	k æ t ɑ j u n
Lökbatan	l œ c b ɑ t ɑ n
Lökbatan	l œ t͡ʃ b ɑ t ɑ n
Makedoniya	m ɑ kʲʰ e d o n i j ɑ
Makedoniya	m ɑ t͡ʃ e d o n i j ɑ
Musa	m u s ɑ
Məmməd	m æ m m æ d
Pasxa	p ɑ s χ ɑ
Pəncab	p æ n d͡ʒ ɑ b
Qafqaz	ɡ ɑ f k ɑ z
Qafqaz	ɡ ɑ f ɡ ɑ z
Qarabağ	ɡ ɑ r ɑ b ɑ ɣ
SSRİ	e s e s e r i
Sami	s ɑ m i
Samiyə	s ɑ m i j æ
Səbha	s æ b h ɑ
Səminə	s æ m i n æ
Tuba	t u b ɑ
Türkiyə	t y r k i j æ
Təbriz	tʰ æ b r i z
Təbriz	tʰ æ r b i z
Ukrayna	u k ɾ ɑ̝̂ j n ɑ̝
Zaqafqaziya	z ɑ ɡ ɑ f ɡ ɑ z j ɑ
ab	ɑ b
abad	ɑ b ɑ d
abadanlıq	ɑ b ɑ d ɑ n ɫ ɯ χ
abadlaşdırmaq	ɑ b ɑ d ɫ ɑ ʃ d ɯ r m ɑ χ
abadlıq	ɑ b ɑ d ɫ ɯ χ
abajur	ɑ b ɑ ʒ u r
abdal	ɑ b d ɑ ɫ
abduq	ɑ b d u ɣ
abdəst	ɑ b d æ s t
abid	ɑː b i d
abidə	ɑː b i d æ
abunə	ɑ b u n æ
abunəçi	ɑ b u n æ t͡s i
abunəçi	ɑ b u n æ t͡ʃ i
