ʼนะ	ˀn a ʔ
กรัจ	k r a c
กรา	k r a
กลัจ	k l a c
กวง	k u a̯ ŋ
กอก	k ɔ k
กอฺ	k ɒ
กะ	k a ʔ
กัก	k a k
กัญ	k a ɲ
กัด	k a t
กัม	k a m
กัว	k u a̯
กิฮ	k i h
กึด	k ɨ t
ครัก	kʰ r a k
คลัก	kʰ l a k
คุด	kʰ u t
ฆ̱อ	ᵑɡ ɔ
ฆ̱ับ	ᵑɡ a p
งอ	ŋ ɔ
งอง	ŋ ɔ ŋ
จวง	c u a̯ ŋ
จอ	c ɔ
จะ	c a ʔ
จัก	c a k
จึง	c ɨ ŋ
จุดวู	c u t w u
จุบเจียบ	c u p c i a̯ p
ซครัก	s kʰ r a k
ซคลัก	s kʰ l a k
ซคา	s kʰ a
ซงา	s ŋ a
ซตะ	s t a ʔ
ซตัญ	s t a ɲ
ซปะ	s p a ʔ
ซมา	s m a
ซอง	s ɔ ŋ
ซอัง	s ʔ a ŋ
ซัก	s a k
ซัง	s a ŋ
ซัญ	s a ɲ
ซัด	s a t
ซเกิญ	s k ə ɲ
ซเงะ	s ŋ e ʔ
ซเงีย	s ŋ i a̯
ซเบิง	s ɓ ə ŋ
ซเอฮ	s ʔ e h
ซเอิง	s ʔ ə ŋ
ซแกญ	s k ɛ ɲ
ซแงะ	s ŋ ɛ ʔ
ซโมะ	s m o ʔ
ฌวง	ʄ u a̯ ŋ
ฌุจ	ʄ u c
ญัก	ɲ a k
ญับ	ɲ a p
ญุ	ɲ u ʔ
ญุง	ɲ u ŋ
ด̱า	ⁿd a
ด̱าอติก	ⁿd a ʔ t i k
ด̱ี	ⁿd i
ดอ	ɗ ɔ
ดึง	ɗ ɨ ŋ
ตวด	t u a̯ t
ตอง	t ɔ ŋ
ตอฺ	t ɒ
ตอฺง	t ɒ ŋ
ตอฺม	t ɒ m
ตัก	t a k
ตังเอิก	t a ŋ ʔ ə k
ตัญ	t a ɲ
ติง	t i ŋ
ตู	t u
ทอ	tʰ ɔ
นอง	n ɔ ŋ
นักเนิง	n a k n ə ŋ
บ̱วก	ᵐb u a̯ k
บักงอ	ɓ a k ŋ ɔ
บุ̱งบ̱ัง	ᵐb u ŋᵐ b a ŋ
ปรุกปรัก	p r u k p r a k
ปลุกปลัก	p l u k p l a k
ปอฺ	p ɒ
ปอฺง	p ɒ ŋ
ปิง	p i ŋ
ปีดวก	p i ɗ u a̯ k
ปู	p u
พรัง	pʰ r a ŋ
พรัญ	pʰ r a ɲ
พลัง	pʰ l a ŋ
พวน	pʰ u a̯ n
ฟวน	f u a̯ n
มลอง	m l ɔ ŋ
มวน	m u a̯ n
มอ	m ɔ
มอง	m ɔ ŋ
มอฺก	m ɒ k
มอฺง	m ɒ ŋ
มะ	m a ʔ
มัจ	m a c
มาซะ	m a s a ʔ
มาซเงะ	m a s ŋ e ʔ
มาซแงะ	m a s ŋ ɛ ʔ
มาเซม	m a s e m
มุด	m u t
ยวก	j u a̯ k
ยวกฮวก	j u a̯ k h u a̯ k
ยิบ	j i p
ยึง	j ɨ ŋ
ยึด	j ɨ t
ยุม	j u m
ยุฮ	j u h
รัจ	r a c
รึ	r ɨ ʔ
ลอก	l ɔ k
ลอง	l ɔ ŋ
ลอม	l ɔ m
ลอา	l ʔ a
ลฮะ	l h a ʔ
ลัจ	l a c
ลึ	l ɨ ʔ
ลเอม	l ʔ e m
วัด	w a t
อซัจ	ʔ s a c
อบ̱อม	ʔᵐ b ɔ m
อวด	ʔ u a̯ t
อวน	ʔ u a̯ n
อัก	ʔ a k
อัจ	ʔ a c
อเกือะ	ʔ k ɨ a̯ ʔ
อเญ	ʔ ɲ e
อเปะ	ʔ p e ʔ
อเมะ	ʔ m e ʔ
อเยือ	ʔ j ɨ a̯
อเลียง	ʔ l i a̯ ŋ
อเวีย	ʔ w i a̯
อเวือะ	ʔ w ɨ a̯ ʔ
อแมะ	ʔ m ɛ ʔ
อแลฮ	ʔ l ɛ h
อโปะ	ʔ p o ʔ
อโมะ	ʔ m o ʔ
ฮงับ	ŋ̊ a p
ฮนัม	n̥ a m
ฮมอง	m̥ ɔ ŋ
ฮมัจ	m̥ a c
ฮมัญ	m̥ a ɲ
ฮลวง	l̥ u a̯ ŋ
ฮละ	l̥ a ʔ
ฮลัด	l̥ a t
ฮัก	h a k
ฮัจ	h a c
ฮับ	h a p
ฮัว	h u a̯
เʼงีย	ˀŋ i a̯
เʼมิก	ˀm ə k
เกฮ	k e h
เกือง	k ɨ a̯ ŋ
เกือฮ	k ɨ a̯ h
เครฮ	kʰ r e h
เครีย	kʰ r i a̯
เคลฮ	kʰ l e h
เคลีย	kʰ l i a̯
เคะ	kʰ e ʔ
เคียบ	kʰ i a̯ p
เจียน	c i a̯ n
เซอ	s ə
เซะ	s e ʔ
เซาฺะ	s ɒ ʔ
เฌือ	ʄ ɨ a̯
เฌือม	ʄ ɨ a̯ m
เญะ	ɲ e ʔ
เญือฮ	ɲ ɨ a̯ h
เญือะ	ɲ ɨ a̯ ʔ
เต	t e
เตะ	t e ʔ
เตียะ	t i a̯ ʔ
เตือ	t ɨ a̯
เตือก	t ɨ a̯ k
เทิก	tʰ ə k
เนม	n e m
เบ̱ริก	ᵐb r ə k
