آسف	æː s ɪ f
آه	ɑː
آه	ɑː h
آه	ʔ ɑː
آه	ʔ ɑː h
أباجورة	ʔ ɑ b ɑ ʒ oː ɾ ɑ
أبريل	æ b ɾ iː l
أبلكاش	æ b l æ k æː ʃ
أجر	ʔ æ ɡ ɾ
أجر	ʔ ɑ d͡ʒ r
أجر	ʔ ɑ d͡ʒː ɑ r
أجر	ʔ ɑ ɡː ɑ ɾ
أجزاخانة	ʔ æ ɡ z æ x æː n æ
أجزة	ʔ æ ɡ z æ
أجزجي	ʔ æ d͡ʒ z æ d͡ʒ i
أجزجي	ʔ æ ɡ z æ ɡ i
أربعة	ɑ ɾ b ɑ ʕ ɑ
أربعتاشر	ɑ ɾˤ b ɑ ʕ t ɑː ʃ ɑ ɾˤ
أرضية	ʔ ɑ ɾ dˤ e jː æ
أسد	ʔ æ s æ d
أصر	ʔ ɑ sˤ ɑ ɾ
أغسطس	o ɣ o sˤ tˤ o sˤ
أغسطس	æ ɣ o sˤ tˤ o sˤ
أفيش	æ f iː ʃ
أكتوبر	e k t oː b æ ɾ
أكتوبر	o k t oː b æ ɾ
أم	o m
أم	o mː
أم	o mː e
أم	ʔ o m
أم	ʔ o mː
أم	ʔ o mː e
أمتع	æ m t æ ʕ
أمير	ʔ æ m iː ɾ
أنبا	æ m b æ
أنت	ɪ n t æ
أنت	ɪ n t ɪ
أنت	ʔ ɪ n t æ
أنت	ʔ ɪ n t ɪ
أوتوبيس	ʔ o t u b iː s
أول	ʔ æ wː ɪ l
إخوانجي	e x w æ n ɡ i
إدى	ɪ dː æ
إذا	i z æ
اب	ɑ b
ابتسم	ɪ b t a s a m
ابتسم	ɪ b t æ s æ m
ابو	æ b u
ات	æː t
ات	ɪ
ات	ɪ d
ات	ɪ t
ات	ɪ tː
اتسرق	e t s æ r æ ʔ
اتسرق	ɪ t s æ r æ ʔ
اتعلم	ɪ t ʕ æ l l ɪ m
اتعلم	ʔ ɪ t ʕ æ l l ɪ m
اتكلم	ʔ ɪ t k æ l l ɪ m
اتمتع	ʔ ɪ t m æ tː æ ʕ
اتمجد	ʔ e t m æ ɡː e d
اتنين	ɪ t n eː n
اتيكيت	ʔ e t i k eː t
اتيكيت	ʔ i t i k eː t
احا	æ ħː æ
احتجاج	e ħ t e ɡ æː ɡ
احتجاج	ʔ e ħ t e ɡ æː ɡ
احنا	e ħ n æ
اخ	ɑ χ
اخ	ʔ ɑ χ
ازاي	e z z æː j
استاذ	o s t æː z
استاذ	ʊ s t æː z
استاذ	ʔ o s t æː z
استاذ	ʔ ʊ s t æː z
استاكوزا	e s t æ k oː z æ
استمتع	ʔ ɪ s t æ m t æ ʕ
استمتع	ʔ ɪ s t æ m t ɪ ʕ
اشترى	ɪ ʃ t æ ɾ æ
افتكر	ɪ f t æ k ɑ r
افندم	ɜ f æ n d e m
افندم	ʔ ɜ f æ n d e m
افندي	ɜ f æ n d i
ال	ɪ
ال	ɪ l
ال	ɪ lː
الجزاير	e l ɡ æ z æː j e ɾ
القاهرة	e l q ɑː h e ɾ ɑ
القاهرة	ɪ l q ɑː h e ɾ ɑ
الله	ɑ ɫ ɫ ɑː
الله	ɑ ɫ ɫ ɑː h
الله	ʔ ɑ ɫ ɫ ɑː
الله	ʔ ɑ ɫ ɫ ɑː h
النهارده	ɪ nː ɑ h ɑ ɾ d ɑ
امبارح	ɪ m b æː r e ħ
امتى	e m t æ
ان	e n
ان	e nː
ان	e nː e
انتخب	ʔ ɪ n t æ x æ b
انتوا	e n t u
اوتوبيس	ʔ o t u b iː s
ايه	eː
ايه	eː h
ايه	ʔ eː
ايه	ʔ eː h
ايوه	æ j w ə
باب	b æː b
باس	b æː s
باشا	b æː ʃ æ
باط	b ɑː tˤ
باع	b æː ʕ
باكو	b æː k o
بانجو	b æ n ɡ u
بانجو	b ɑ n ɡ o
بدروم	b æ d ɾ uː m
بدرون	b æ d ɾ uː n
