ԱԱ	ɑ ɑ́
ԱԱԱԿ	ɑ ɑ ɑ́ k
ԱԱԲ	ɑ ɑ b ə́
ԱԱԳ	ɑ ɑ ɡ ə́
ԱԱԳԽ	ɑ ɑ ɡ ə χ ə́
ԱԱԻ	ɑ ɑ j í
ԱԱԽ	ɑ ɑ χ ə́
ԱԱԾ	ɑ ɑ t͡s ə́
ԱԱԿ	ɑ ɑ k ə́
ԱԱՀ	ɑ ɑ h ə́
ԱԱՀՀԻ	ɑ ɑ h ə h ə í
ԱԱՆ	ɑ ɑ n ə́
ԱԱՊ	ɑ ɑ p ə́
ԱԱՊԲ	ɑ ɑ p ə b ə́
ԱԱՊՎ	ɑ ɑ p ə v ə́
ԱԱՌ	ɑ ɑ r ə́
ԱԳՆ	ɑ ɡ ə n ə́
ԱԶԲ	ɑ z ə b ə́
ԱԹՍ	ɑ tʰ ə s ə́
ԱԺ	ɑ ʒ ə́
ԱՄԷ	ɑ m ə é
ԱՄՆ	ɑ m ə n ə́
ԱՊՀ	ɑ p ə h ə́
Աարե	ɑ ɑ ɾ é
Աբադան	ɑ b ɑ d ɑ́ n
Աբական	ɑ b ɑ k ɑ́ n
Աբայ	ɑ b ɑ́ j
Աբաջյան	ɑ b ɑ d͡ʒ j ɑ́ n
Աբաս	ɑ b ɑ́ s
Աբասթուման	ɑ b ɑ s tʰ u m ɑ́ n
Աբարան	ɑ b ɑ ɾ ɑ́ n
Աբգար	ɑ b ɡ ɑ́ ɾ
Աբգարյան	ɑ b ɡ ɑ ɾ j ɑ́ n
Աբել	ɑ b é l
Աբեղյան	ɑ b e ʁ j ɑ́ n
Աբերդին	ɑ b e ɾ d í n
Աբիջան	ɑ b i d͡ʒ ɑ́ n
Աբիսողոմ	ɑ b i s o ʁ ó m
Աբխազիա	ɑ pʰ χ ɑ́ z i j ɑ
Աբո	ɑ b ó
Աբո	ɑ́ b o
Աբովյան	ɑ b o v j ɑ́ n
Աբուջա	ɑ b ú d͡ʒ ɑ
Աբրահամ	ɑ b ɾ ɑ h ɑ́ m
Աբրահամյան	ɑ b ɾ ɑ h ɑ m j ɑ́ n
Աբրամ	ɑ b ɾ ɑ́ m
Աբրուցցո	ɑ b ɾ ú t̚ t͡sʰ o
Աբքայք	ɑ pʰ kʰ ɑ́ j kʰ
Ագա	ɑ ɡ ɑ́
Ագամեմնոն	ɑ ɡ ɑ m e m n ó n
Ագանյա	ɑ ɡ ɑ́ n j ɑ
Ագապի	ɑ ɡ ɑ p í
Ագարակ	ɑ ɡ ɑ ɾ ɑ́ k
Ագարտալա	ɑ ɡ ɑ ɾ t ɑ l ɑ́
Ագինսկոյե	ɑ ɡ í n s k o j e
Ագրիպպաս	ɑ ɡ ɾ i pː ɑ́ s
Ադամ	ɑ d ɑ m
Ադամյան	ɑ d ɑ m j ɑ́ n
Ադանա	ɑ d ɑ n ɑ́
Ադլեր	ɑ d l é ɾ
Ադլեր	ɑ́ d l e ɾ
Ադոնց	ɑ d ó n t͡sʰ
Ադրբեջան	ɑ d ə ɾ b e d͡ʒ ɑ́ n
Ադրիանապոլիս	ɑ d ɾ i j ɑ n ɑ p o l í s
Ադրիանոս	ɑ d ɾ i j ɑ n ó s
Ազատ	ɑ z ɑ́ t
Ազնիվ	ɑ z n í v
Ազորներ	ɑ z o ɾ n é ɾ
Աթաբեկ	ɑ tʰ ɑ b é k
Աթանաս	ɑ tʰ ɑ n ɑ́ s
Աթենաս	ɑ tʰ e n ɑ́ s
Աթենք	ɑ tʰ é ŋ kʰ
Աժդահակ	ɑ ʒ d ɑ h ɑ́ k
Աիդա	ɑ j í d ɑ
Ալադին	ɑ l ɑ d í n
Ալազան	ɑ l ɑ z ɑ́ n
Ալանք	ɑ l ɑ́ ŋ kʰ
Ալավերդի	ɑ l ɑ v e ɾ d í
Ալբանիա	ɑ l b ɑ́ n i j ɑ
Ալբարյան	ɑ l b ɑ ɾ j ɑ́ n
Ալբերտ	ɑ l b é ɾ t
Ալբինա	ɑ l b í n ɑ
Ալեն	ɑ l é n
Ալեքսան	ɑ l e kʰ s ɑ́ n
Ալեքսանդր	ɑ l e kʰ s ɑ́ n d ə ɾ
Ալեքսանդրապոլ	ɑ l e kʰ s ɑ n d ɾ ɑ p ó l
Ալեքսանդրիա	ɑ l e kʰ s ɑ n d ɾ i j ɑ́
Ալեքսանյան	ɑ l e kʰ s ɑ n j ɑ́ n
Ալեքսիյ	ɑ l e kʰ s í j
