'a	ʔ a
'aba	ʔ a β̞ a
'apiku'i	ʔ a p i k u ʔ i
'ar	ʔ a ɾ
'ara	ʔ a ɾ a
'aîub	ʔ a j u β
'ekatuaba	ʔ ɛ k a t u a β a
'u	ʔ u
'y	ʔ ɨ
'yba	ʔ ɨ β a
'ybakamusi	ʔ ɨ β a k ã m u s i
'ybapytanga	ʔ ɨ β a p ɨ t ã ŋ a
'Ybotyra	ʔ ɨ β ɔ t ɨ ɾ a
'ybotyra	ʔ ɨ β ɔ t ɨ ɾ a
'ybá	ʔ ɨ β a
a'yra	a ʔ ɨ ɾ a
aba	a β̞ a
abaré	a b a ɾ e
abati	a β a t i
abé	a β̞ ɛ
agûarausá	a ɡ w a ɾ a u s a
agûará	a ɣ w a r a
agûará	a w a r a
akaka'i	a k a k a ʔ i
akará	a k a r a
akaîu	a k a j u
akaîueté	a k a j u ɛ t ɛ
akaîá	a k a j a
akub	a k u β
akuti	a k u t i
akypûeri	a k ɨ p w e r i
akyrara	a k ɨ ɾ a ɾ a
akûeî	a k w ɛ j
amana	a m a n a
amba'yba	a m a ʔ ɨ β a
ambó	ãᵐ b ɔ
ananá	a n ã n a
angaturama	ã ŋ a t u ɾ ã m a
Anhanga	a j a ŋ a
anhanga	a j a ŋ a
anhangu'i	a ɲ a ŋ u ʔ i
anhyma	a j ɨ m a
any	a n ɨ
anũ	ã n ũ
apek	a p ɛ k
apekũ	a p ɛ k ũ
apere'a	a p ɛ ɾ ɛ ʔ a
apykaba	a p ɨ k a β a
apysyk	a p ɨ s ɨ k
apysyka	a p ɨ s ɨ k a
apó	a p ɔ
apŷaba	a p ɨ̯ a β a
Araberana	a ɾ a β e ɾ a n a
arabé	a ɾ a β e
arakûã	a r a k w ã
Araruna	a ɾ a ɾ ũ n a
araruna	a ɾ a ɾ ũ n a
arasá	a ɾ a s a
aratiku	a ɾ a t i k u
asy	a s ɨ
atatinga	a t a t ĩ ŋ a
aty	a t ɨ
atá	a t a
atã	a t ã
até	a t e
aî	a j
aîká	a j k a
aîuru	a j u ɾ u
aîurueté	a j u ɾ u ɛ t ɛ
aîurukuraû	a j u ɾ u k u ɾ a w
aîyra	a j ɨ ɾ a
aûsub	a w s u β̞
aûsuba	a w s u β̞ a
baîaku	β a j a k u
e'õ	ɛ ʔ ɔ̃
ena	e n a
endub	e n u β
endé	e n e
endébe	ɛⁿ d ɛ β ɛ
er	ɛ ɾ
era	ɛ ɾ a
esatinga	ɛ s a t ĩ ŋ a
esá	ɛ s a
etymã	ɛ t ɨ̃ m ã
etá	ɛ t a
eté	ɛ t ɛ
eẽ	ɛ̃ ɛ̃
gûabiraba	ɡ w a β i ɾ a β a
gûabiru	w a β i ɾ u
gûanhumỹ	ɡ w a ɲ u m ɨ̃
gûapyk	ɡ w a p ɨ k
gûaraîuba	ɣʷ a ɾ a j u β a
gûaraîuba	ɣʷ a ɾ a ʒ u β a
gûariba	ɡ w a ɾ i β a
gûarinĩ	ɡʷ a ɾ i n ĩ
gûaîaba	w a j a β a
gûaîá	ɡ w a j a
gûym	w ɨ m
gûyraîuba	ɡ w ɨ ɾ a j u β a
i	i
Iperu'y	i p ɛ ɾ u ʔ ɨ
irũ	i r ũ
irũnamo	i ɾ ũ n a m o
itakysé	i t a k ɨ s e
itamaraká	i t a m a ɾ a k a
