Ꭰ	a
ᎠᎦᏍᎬ	a ɡ a s ɡ ə̃
ᎠᎵᏥᎵᏯ	a l i z i l i a
ᎠᏂᎪᎳ	a n i ɡ o l a
ᎠᏂᏙᎳ	a n i d o l a
ᎠᏂᏛᏥ	a n i d ə̃ t s i
ᎠᏏᎵᏆᏌᏂ	a s i l i kʷ a s a n i
ᎠᏨᏯ	a t s ə̃ j a
Ꭱ	e
ᎡᎳᏗᏝ	e l a d i t͡ɬ a
ᎡᏍᏙᏂᏯ	e s d o n i a
Ꭲ	i
Ꭳ	o
ᎣᎧᎳᎰᎹ	ò k à l à h ǒː m ã́
ᎣᏏᏲ	oː ˨ s i ˧ j o ˧˨
ᎣᏏᏳ	o ʃ iː j u
Ꭴ	u
ᎤᏄᎳ	u n u l a
Ꭵ	ə̃
Ꭶ	ɡ a
ᎦᎸᏥᏱ	ɡ ɐ l ə̃ t͡s i j i
Ꭷ	k ⁽ʰ ⁾ a
ᎧᏬᏄ	kʰ a ɰ o n u
Ꭸ	ɡ e
Ꭹ	ɡ i
ᎩᎵᏏᏲ	ɡ i l i s i y o
Ꭺ	ɡ o
ᎪᎢᎯ	ɡ o i h i
Ꭻ	ɡ u
Ꭼ	ɡ ə̃
ᎬᎾ	k ə̃ n a
ᎬᏂ	k ə̃ n i
Ꭽ	h a
Ꭾ	h e
Ꭿ	h i
Ꮀ	h o
Ꮁ	h u
Ꮂ	h ə̃
Ꮃ	l a
Ꮄ	l e
Ꮅ	l i
Ꮆ	l o
ᎶᎹᏂᏯ	l o m aː n i j a
Ꮇ	l u
Ꮈ	l ə̃
Ꮉ	m a
Ꮊ	m e
Ꮋ	m i
Ꮌ	m o
Ꮍ	m u
Ꮎ	n a
Ꮏ	n̥ a
Ꮐ	n a h
Ꮑ	n e
Ꮒ	n i
Ꮓ	n o
Ꮔ	n u
Ꮕ	n ə̃
Ꮖ	kʷʰ a
ᏆᎾ	kʷʰ a n a
ᏆᏅ	kʷʰ a n ə̃
Ꮗ	kʷ ⁽ʰ ⁾ e
ᏇᎳᎷᏍ	kʷ e l a l u s
Ꮘ	kʷ ⁽ʰ ⁾ i
Ꮙ	kʷ ⁽ʰ ⁾ o
Ꮚ	kʷ ⁽ʰ ⁾ u
ᏊᎵᎨᎵᎠ	kʷ u l i ɡ e l i ʔ a
Ꮛ	kʷ ⁽ʰ ⁾ ə̃
Ꮜ	s a
Ꮝ	s
Ꮞ	s e
Ꮟ	s i
ᏏᏲ	s i ˨ j o ˧˨
ᏏᏲ	ʃ iː j o
Ꮠ	s o
Ꮡ	s u
ᏑᏗ	s ú h t i
Ꮢ	s ə̃
Ꮣ	d a
ᏓᎵᏆ	d à l í ɡʷ ã́
ᏓᎶᏂᎨᏍᏛ	d a l o n i ɡ e z d ə̃
Ꮤ	t ⁽ʰ ⁾ a
Ꮥ	d e
Ꮦ	t ⁽ʰ ⁾ e
Ꮧ	d i
Ꮨ	t ⁽ʰ ⁾ i
Ꮩ	d o
Ꮪ	d u
Ꮫ	d ə̃
Ꮬ	d͡ɮ a
ᏜᎺᎭ	d͡ɮ a m e h a
Ꮭ	t͡ɬ a
Ꮮ	t͡ɬ e
Ꮯ	t͡ɬ i
Ꮰ	t͡ɬ o
Ꮱ	t͡ɬ u
Ꮲ	t͡ɬ ə̃
ᏣᎳᎩ	d͡ʒ ɑ l ɑ ɡ î
ᏣᏆᏂᏱ	t s a kʷ a n i j i
ᏧᏁᏍᏓᎸᎯ	s ə ʊ n e z d ɑ l v i
ᏩᏥ	ɰ a t͡s i
Ᏽ	m ə̃
ᏽ	m ə̃
