ackar	a kː a r
adal	a d a l
aftar	a f t a r
after	a f t e r
al	a l
al	aː l
alt	a l t
andar	a n d a r
ans	a n s
anti	a n t i
apful	a p͡f u l
arc	a r k
arg	a r ɣ
arg	a r ɡ
arm	a r m
aro	a r o
bald	b a l d
bar	b a r
baro	b a r o
baz	b a s
bede	b eː d e
beide	b e i d e
bittar	b i t t a r
bitter	b i t t e r
blao	b l aː o
blint	b l i n t
blodi	b l oː d i
bloz	b l oː t͡s
bloz	b l oː s
boum	b o u̯ m
breit	b r e i t
bruoder	b r u o̯ ð e r
busk	b u s̠ k
chalo	x a l o
chalo	k x a l o
chalo	kʰ a l o
chara	k͡x a r a
chasi	k x aː s i
chasi	x aː s i
chasi	k x aː s i
chasi	kʰ aː s i
chazze	x a t t s e
chevia	x e v j a
chevia	k x e v j a
chevia	kʰ e v j a
chezzil	k͡x e s s i l
chunni	k u n n i
corunga	k o r u ŋ ɡ a
daz	d a s
demu	d ɛ m u
deo	d e o
derb	d e r b
derp	d e r p
dese	d e z e
dicchi	d i k x i
dicchi	d i k kʰ i
dicchi	d i k x iː
dicchi	d i k kʰ i
dih	d i x
din	d iː n
dinstar	d i n s̠ t a r
diot	d i o̯ t
diutisk	d i u̯ t i s̠ k
donaristag	d o n a r i s̠ t a ɣ
donaristag	d o n a r i s̠ t a ɡ
dringan	d r i ŋ χ a n
du	d uː
dunni	d u n n i
dusunt	d uː s u n t
eban	e b a n
edil	e d i l
ehaft	eː h a f t
eid	e i t
eigan	e i ɡ a n
engi	e n ɡ i
engi	e n ɡ iː
er	eː r
er	eː r
er	ɛ r
era	eː r a
erda	ɛ r d a
erist	eː r i s t
ewa	eː w a
ewig	eː w i ɣ
ewig	eː w i ɡ
faro	f a r o
felis	f e l i s̠
fiant	f iː ɑ n t
finstar	f i n s̠ t a r
fisk	f i s̄ k
fora	f o r a
frewida	f r e w i d a
frifridil	f r i f r i d i l
fuotar	f u o t a r
fuoz	f u o̯ s
gan	ɡ aː n
gans	ɡ a n s
garo	ɡ a r o
geban	ɡ ɛ b a n
gen	ɡ eː n
gern	ɡ ɛ r n
heiz	h e i̯ s
helliruna	h e l l i r uː n a
hemidi	h e m i d i
hera	h ɛ r a
herizogo	h e r i t͡s o ɡ o
hus	h uː s
hut	h uː t
ibu	i b u
ih	i x
irri	i r r i
iuwar	i u̯ w a r
kezzil	k e s s i l
khara	k͡x a r a
khezzil	k͡x e s s i l
kirihha	x i r i x x a
kirihha	k x i r i x x a
kirihha	kʰ i r i x x a
kunni	k u n n i
kurz	k u r t͡s
lant	l a n t
lihhamo	l iː x h a m o
lihhamo	l iː x a m o
lotar	l o t a r
lubon	l u b oː n
lubont	l u b oː n t
luchs	l u x s
madal	m a d a l
mahhon	m a xː oː n
manod	m ɑː n oː d
marcgravo	m a r k ɡ r aː v o
mih	m i x
min	m iː n
muodi	m u o̯ d i
muspilli	m uː s p i l l i
naht	n a x t
narro	n a r r o
ni	n i
niot	n i o̯ t
niuwi	n i u̯ w i
niuwi	n i u̯ i
niuwi	n i u̯ w iː
niuwi	n i u̯ iː
ora	oː r a
ori	oː r i
Ostarrihhi	oː s̠ t a r r iː x x i
ouh	o u̯ x
pfal	p͡f a l
rat	r aː t
rihhi	r iː xː i
rihhi	r iː x i
rihhi	r iː xː i
rihhi	r iː x i
sahs	s̠ a x s̠
saro	s a r o
scara	s̠ k a r a
scuola	s̠ k u o̯ l a
sehan	s ɛ h a n
selah	s̠ ɛ l a x
seo	s̠ eː o
sibunstirni	s i b u n s t i r n i
sigu	s̠ i ɡ u
sih	s̠ i x
smal	s m a l
smalz	s̠ m ɑ l t͡s
sparo	s p a r o
stan	s̠ t aː n
sten	s̠ t eː n
swarz	s̠ w a r t͡s
swert	s̠ w ɛ r t
tac	t a k
tag	t a ɡ
tag	t a ɣ
tal	t a l
thanta	ð a n t a
thaz	θ a s̻
themu	θ ɛ m u
thin	ð iː n
thing	ð i n ɡ
tolaheiti	t o l a h e i̯ː t iː
trinkan	t r i ŋ k a n
ubargang	u b a r ɡ a ŋ
uf	uː f
ufgang	uː f ɡ a n ɡ
uodil	u o̯ d i l
val	v a l
wal	w a l
waz	w a s
wazzar	w a s s a r
wec	w ɛ k
weg	w ɛ ɡ
weralt	w ɛ r a l t
wewurt	w eː w u r t
wib	w iː b
wir	w i r
wiz	w iː s
wola	w o l a
wolf	w o l f
wort	w o r t
wuntaron	w u n t a r oː n
wurm	w u r m
zala	t s a l a
zehan	t͡s ɛ h a n
zit	t͡s iː t
