ait	a i̯ t
aită	a i̯ t ɐ
asål	a s ɒ l
axterskă	a x t ɛ r s k ɐ
bezăt	b ɛ z ɐ t
blåxă	b l ɒ x ɐ
bobo	b ɔ b ɐ
bobo	b ɔ b ɔ
bordźă	b ɔ r d͡zʲ ɐ
borš	b ɔ r ʃ
breză	b r ɛ z ɐ
brig	b r i k
brot	b r ɔ t
brödă	b r œ d ɐ
brükoză	b r y k ɔ z ɐ
båz	b ɒ s
bör	b œ r
büg	b y k
b́olĕ	bʲ ɔ l ə
caistü	t͡s a i̯ s t y
celă	t͡s ɛ l ɐ
clåvăk	t͡s l ɒ v ɐ k
coso	t͡s ɔ s ɔ
crevü	t͡s r ɛ v y
criv	t͡s r i f
dausă	d a u̯ s ɐ
detă	d ɛ t ɐ
devă	d ɛ v ɐ
dråvă	d r ɒ v ɐ
dü	d y
glaino	ɡ l a i̯ n ɔ
glaistă	ɡ l a i̯ s t ɐ
glåvă	ɡ l ɒ v ɐ
gorx	ɡ ɔ r x
greblü	ɡ r ɛ b l y
gŕǫdă	ɡ rʲ ɔ̃ d ɐ
gǫs	ɡ ɔ̃ s
jobťü	j ɔ p tʲ y
jågraićă	j ɒ ɡ r a i̯ t͡sʲ ɐ
jåskră	j ɒ s k r ɐ
kjot	kʲ ɔ t
klådă	k l ɒ d ɐ
komoi	k ɔ m ɔ i̯
kremin	k r ɛ m i n
kråi	k r ɒ i̯
laipo	l a i̯ p ɔ
lauk	l a u̯ k
löxtår	l œ x t ɒ r
lüpotă	l y p ɔ t ɐ
lüďă	l y dʲ ɐ
maixăl	m a i̯ x ɐ l
mauxo	m a ʏ̯ x ɔ
mlåkă	m l ɒ k ɐ
moraikă	m ɔ r a i̯ k ɐ
morajă	m ɔ r a j ɐ
morz	m ɔ r s
motai	m ɔ t a i̯
mąsi	m ã s i
naivă	n a i̯ v ɐ
nebü	n ɛ b y
niklot	n i k l ɔ t
nüc	n y t͡s
nügă	n y ɡ ɐ
paizdă	p a i̯ z d ɐ
pasinaićă	p a s i n a i̯ t͡sʲ ɐ
perü	p ɛ r y
pic	p i t͡s
pojąk	p ɔ j ã k
prösü	p r œ s y
prǫt	p r ɔ̃ t
püd	p y t
püli	p y l i
püpel	p y p ɛ l
reconstruction:polabian/müzg	m y z ɡ
råibo	r ɒ i̯ b ɔ
råmą	r ɒ m ã
sarp	s a r p
sestră	s ɛ s t r ɐ
seťaŕă	s ɛ tʲ a rʲ ɐ
sjot	sʲ ɔ t
slaină	s l a i̯ n ɐ
slåmă	s l ɒ m ɐ
slåmă	s l ɒ m ɔ
slåză	s l ɒ z ɐ
slüvü	s l y v y
storĕ	s t ɔ r ə
tetă	t ɛ t ɐ
varo	v a r ɔ
vedrü	v ɛ d r y
veslü	v ɛ s l y
vicĕ	v i t͡s ə
vis	v i s
vistăraićă	v i s t ɐ r a i̯ t͡sʲ ɐ
vit	v i t
viză	v i z ɐ
vińă	v i nʲ ɐ
vortăt	v ɔ r t ɐ t
vrex	v r ɛ x
vå	v ɒ
våvådă	v ɒ v ɒ d ɐ
våzvoʒ́ăt	v ɒ z v ɔ d͡zʲ ɐ t
våťü	v ɒ tʲ y
vǫďör	v ɔ̃ dʲ œ r
vǫďėl	v ɔ̃ dʲ e l
v́otĕr	vʲ o t ə r
x́örĕ	xʲ œ r ə
x́üdĕt	xʲ y d ə t
zenă	z ɛ n ɐ
ziľozü	z i lʲ ɔ z y
ziľă	z i lʲ ɐ
ziḿă	z i mʲ ɐ
zlåtă	z l ɒ t ɐ
zobo	z ɔ b ɔ
zojąc	z ɔ j ã t͡s
åns	ɒ n s
ďölǫb	dʲ œ l ɔ̃ b
ďölǫbăk	dʲ œ l ɔ̃ b ɐ k
ľotü	lʲ ɔ t y
ťöză	tʲ œ z ɐ
ťün	tʲ y n
ťüpål	tʲ y p ɒ l
ťėnąʒ	tʲ e n ã d͡z
źornü	zʲ ɔ r n y
ḿoro	mʲ ɔ r ɔ
ṕosăk	pʲ ɔ s ɐ k
ṕås	pʲ ɒ s
