آش	ʔ aː ʃ
آنا	ʔ aː n a
أتت	ʔ a t t a t
أش	ʔ a ʃ
أشمن	ʔ a ʃ m ɪ n
أما	ʔ a m m a
أنا	ʔ a n a
إنا	ʔ i n a
إيميل	ʔ i m iː l
اليوم	ɪ l y uː m a
امتى	i m t a
باب	b aː b
باربة	b aː r b a
باش	b a ʃ
باش	b aː ʃ
بالعاني	b ɪ l ʕ aː n i
بحال	b ħ aː l
بربوق	b a r b uː q
برق	b a r q
برى	b r a
بزبوز	b a z b uː z
بزولة	b a z z uː l a
بشكليط	b ʃ a k l iː tˤ
بشكليطة	b ʃ a k l iː tˤ a
بغى	b ɣ a
بنان	b a n aː n
بنان	b n aː n
بنة	b a n n a
بنج	b a n n a ʒ
بنج	b a n ʒ
بنين	b n iː n
بنينات	b n iː n aː t
بنينة	b n iː n a
بنينين	b n iː n iː n
بير	b iː r
بيرة	b iː r r a
تاق	t aː q
تاقة	t aː q a
تاي	t aː j
تحمم	t ħ a m m a m
تشكليط	t ʃ a k l iː tˤ
تصباع	t a sˤ b aː ʕ
تفاح	t u f f aː ħ
تفاح	t ɪ f f aː ħ
تفاحة	t u f f aː ħ a
تفاحة	t ɪ f f aː ħ a
تقبة	t u q b a
تقشيرة	t a q ʃ iː r a
تكفات	t a k f aː t
تلاتة	t l aː t a
تم	t e m m a
تم	t e mː
تمة	t e m m a
تمنية	t m a n j a
تنى	t n a
تنين	t n iː n
تواقي	t w aː q i
توت	t uː t
تيق	t i jː a q
تينة	t iː n a
جا	ʒ aː
جامع	ʒ aː m ɪ ʕ
جرى	ʒ r a
جعدة	ʒ a ʕ d a
جلبان	ʒ a l b aː n
جلبانة	ʒ a l b aː n a
جوج	ʒ uː ʒ
حبا	ħ b a
حبق	ħ b a q
حدا	ħ d a
حدا	ħ ɪ d a
حسان	ħ a s s aː n
حلاق	ħ a l l aː q
حلو	ħ l u
حلو	ħ l u w
حمار	ħ m aː r
حمر	ħ m a r
حمم	ħ a m m a m
حوايج	ħ w aː j i ʒ
حوت	ħ uː t
حيت	ħ iː t
حيط	ħ iː tˤ
خرطال	x a r tˤ aː l
خلص	χ a l l a sˤ
خمسة	x a m s a
خميرة	x m iː r a
خوخ	x uː x
خوخة	x uː x a
دابا	d aː b a
دار	d aː r
داك	d aː k
دانون	dˤ a n uː n
داوى	d aː w a
درجة	d a r ʒ a
دري	d a r r i
دمليج	d a m l iː ʒ
