aarōn	aː a r ɔ n
abacaenum	a b a k a e̯ n ʊ̃ˑ
abacaenum	a b a t͡ʃ ɛː n u m
abace	a b a k ɛ
abace	aː b a t͡ʃ ɛ
abacī	aː b a t͡ʃ i
abacīna	a b a t͡ʃ iː n a
abacīna	a b a t͡ʃ iː n a
abacinā	a b a k ɪ n aː
abacinā	a b aː t͡ʃ i n a
abacinātūrus	a b a k ɪ n aː t̪ uː r ʊ s
abacinātūrus	a b a t͡ʃ i n a t̪ uː r u s
abacinātus	a b a k ɪ n aː t̪ ʊ s
abacinātus	a b a t͡ʃ i n aː t̪ u s
abacinō	a b a k ɪ n oː
abacinō	a b aː t͡ʃ i n ɔ
abacīnus	a b a k iː n ʊ s
abacīnus	a b a t͡ʃ iː n u s
abacīs	aː b a t͡ʃ i s
abacis	a b a k ɪ s
abacis	aː b a t͡ʃ i s
abāctius	a b aː k t̪ i ʊ s
abāctor	a b aː k t̪ ɔ r
abāctor	a b a k t̪ ɔ r
abāctus	a b aː k t̪ ʊ s
abāctus	a b a k t̪ u s
abāctus	a b aː k t̪ uː s
abāctus	a b a k t̪ u s
abacūc	aː b a k u k
abaculus	a b a k ʊ ɫ̪ ʊ s
abaculus	a b aː k u l u s
abacum	a b a k ʊ̃ˑ
abacum	aː b a k u m
abacus	a b a k ʊ s
abacus	aː b a k u s
abaddōn	a b a d̪ d̪ oː n
abaddōn	a b a d̪ d̪ ɔ n
abae	aː b ɛ
abaesamis	a b a e̯ s a m ɪ s
abaesamis	a b ɛː z a m i s
abaestuātum	a b a e̯ s t̪ ʊ aː t̪ ʊ̃ˑ
abaestuātum	a b ɛ s t̪ u aː t̪ u m
abaestuō	a b a e̯ s t̪ ʊ oː
abaestuō	a b ɛ s t̪ u ɔ
ābaetō	aː b a e̯ t̪ oː
ābaetō	a b ɛː t̪ ɔ
abagmentum	a b a ɡ m ɛ n̪ t̪ ʊ̃ˑ
abagmentum	a b a ɡ m ɛ n̪ t̪ u m
abalī	a b a lʲ iː
abalī	aː b a l i
abaliēnāte	a b a lʲ i eː n aː t̪ ɛ
abaliēnāte	a b a l i ɛ n aː t̪ ɛ
abaliēnātiō	a b a lʲ i eː n aː t̪ i oː
abaliēnātiō	a b a l i ɛ n aː t͡s i ɔ
abaliēnātō	a b a lʲ i eː n aː t̪ oː
abaliēnātō	a b a l i ɛ n aː t̪ ɔ
abaliēnō	a b a lʲ i eː n oː
abaliēnō	a b a l i ɛː n ɔ
abalietās	a b a lʲ i ɛ t̪ aː s
abalietās	a b a l iː ɛ t̪ a s
aballaba	a b a l lʲ a b a
aballava	a b a l lʲ a w a
abalus	a b a ɫ̪ ʊ s
abalus	aː b a l u s
abambulō	a b a m b ʊ ɫ̪ oː
abambulō	a b a m b u l ɔ
abamita	a b a m ɪ t̪ a
abamita	a b aː m i t̪ a
abannātiō	a b a n n aː t̪ i oː
abannātiō	a b a n n aː t͡s i ɔ
abante	a b a n̪ t̪ ɛ
abante	a b a n̪ t̪ ɛ
abantēa	a b a n̪ t̪ eː a
abantēa	a b a n̪ t̪ ɛː a
abantēa	a b a n̪ t̪ eː aː
abantēa	a b a n̪ t̪ ɛː a
abantēus	a b a n̪ t̪ eː ʊ s
abantēus	a b a n̪ t̪ ɛː u s
abantius	a b a n̪ t̪ i ʊ s
abarceō	a b a r t͡ʃ ɛ ɔ
abascanta	a b a s k a n̪ t̪ a
abascanta	a b a s k a n̪ t̪ a
abascanta	a b a s k a n̪ t̪ aː
abascanta	a b a s k a n̪ t̪ a
abascantus	a b a s k a n̪ t̪ ʊ s
abascantus	a b a s k a n̪ t̪ u s
abascus	a b a s k ʊ s
abavia	a b aː v i a
abavunculus	a b a w ʊ ŋ k ʊ ɫ̪ ʊ s
abavunculus	a b a v u ŋ k u l u s
abavus	a b a w ʊ s
abavus	aː b a v u s
abax	aː b a k s
abbacinō	a b b a k ɪ n oː
abbacinō	a b b aː t͡ʃ i n ɔ
abbātia	a b b aː t̪ i a
abbātia	a b b aː t͡s i a
abbātiālis	a b b aː t̪ i aː lʲ ɪ s
abbātiālis	a b b a t͡s i aː l i s
abbātissa	a b b aː t̪ ɪ s s a
abbātissa	a b b a t̪ i s s a
abbātizō	a b b aː t̪ ɪ z z oː
abbātizō	a b b a t̪ i d d͡z ɔ
abbreviandus	a b b r ɛ w i a n̪ d̪ ʊ s
abbreviandus	a b b r ɛ v i a n̪ d̪ u s
