अ	ə
अँ	ə̃
अँग्रेज़ी	ə̃ɡ.ɾeː.ziː
अँटना	ə̃ʈ.nɑː
अं	ə̃
अंक	əŋk
अंकन	əŋ.kən
अंकल	əŋ.kəl
अंकित	əŋ.kɪt̪
अंकुर	əŋ.kʊɾ
अंकुरित	əŋ.kʊ.ɾɪt̪
अंकुश	əŋ.kʊʃ
अंग	əŋɡ
अंगच्छेद	əŋ.ɡət͡ʃ.t͡ʃʰeːd̪
अंगड़ाई	əŋɡ.ɽɑːiː
अंगदान	əŋɡ.d̪ɑːn
अंगना	əŋ.ɡə.nɑː
अंगहीन	əŋ.ɡʱiːn
अंगार	əŋ.ɡɑːɾ
अंगारा	əŋ.ɡɑː.ɾɑː
अंगिया	əŋ.ɡiː.jɑː
अंगीठी	əŋ.ɡiː.ʈʰiː
अंगुल	əŋ.ɡʊl
अंगुली	əŋ.ɡʊ.liː
अंगूठा	əŋ.ɡuː.ʈʰɑː
अंगूर	əŋ.ɡuːɾ
अंगोछा	əŋ.ɡoː.t͡ʃʰɑː
अंगोट	əŋ.ɡoːʈ
अंग्रेज़	əŋɡ.ɾeːz
अंग्रेज़ियत	əŋɡ.ɾeː.ziː.jət̪
अंग्रेज़ी	əŋɡ.ɾeː.ziː
अंग्रेजी	əŋɡ.ɾeː.d͡ʒiː
अंचल	əɲ.t͡ʃəl
अंछर	əɲ.t͡ʃʰəɾ
अंजन	əɲ.d͡ʒən
अंजाम	əɲ.d͡ʒɑːm
अंजीर	əɲ.d͡ʒiːɾ
अंजु	əɲ.d͡ʒuː
अंट-संट	ənʈ.sənʈ
अंटार्कटिका	ən.ʈɑːɾ.kə.ʈɪ.kɑː
अंडा	ən.ɖɑː
अंडोरा	ən.ɖoː.ɾɑː
अंत	ənt̪
अंतःक्षेप	ən.t̪əʰk.ʃeːp
अंतड़ी	ənt̪.ɽiː
अंतरंगता	ən.t̪ə.ɾəŋɡ.t̪ɑː
अंतरजाल	ən.t̪əɾ.d͡ʒɑːl
अंतरराष्ट्रीयता	ən.t̪əɾ.ɾɑːʃʈ.ɾiː.jə.t̪ɑː
अंतरा	ənt̪.ɾɑː
अंतरा	ən.t̪ə.ɾɑː
अंतराल	ən.t̪ə.ɾɑːl
अंतरिक्ष	ənt̪.ɾɪkʃ
अंतरिम	ənt̪.ɾɪm
अंतर्गत	ən.t̪əɾ.ɡət̪
अंतर्जातीय	ən.t̪əɾ.d͡ʒɑː.t̪iːj
अंतर्जाल	ən.t̪əɾ.d͡ʒɑːl
अंतर्देशीय	ən.t̪əɾ.d̪eː.ʃiːj
अंतर्निहित	ən.t̪əɾ.nɪ.ɦɪt̪
अंतर्राष्ट्रीय	ən.t̪əɾ.ɾɑːʃʈ.ɾiːj
अंतर्वासी	ən.t̪əɾ.ʋɑː.siː
अंताक्षरी	ən.t̪ɑːk.ʃə.ɾiː
अंतिम	ən.t̪ɪm
अंत्येष्टि	ənt̪.jeːʃ.ʈiː
अंदर	ən.d̪əɾ
अंदाज़	ən̪ˈd̪az
अंधड़	ən.d̪ʱəɽ
अंधविश्वास	ənd̪ʱ.ʋɪʃ.ʋɑːs
अंधाधुंध	ən.d̪ʱɑː.d̪ʱʊnd̪ʱ
अंधेरा	ən.d̪ʱeː.ɾɑː
अंबर	əm.bəɾ
अंश	ənʃ
अंशकालिक	ənʃ.kɑː.lɪk
अंशतः	ənʃ.t̪əʰ
अः	əʰ
अकड़	ə.kəɽ
अकर्म	ə.kəɾm
अकर्मण्यता	ə.kəɾ.mən.jə.t̪ɑː
अकस्मात्	ə.kəs.mɑːt̪
अक़्ल	əkl
अक़्ल	əql
अक़्ल	ə.kəl
अक़्ल	ə.qəl
अक़्लमंद	ə.kəl.mənd̪
अक़्लमंद	ə.qəl.mənd̪
अक़्लमंद	əkl.mənd̪
अक़्लमंद	əql.mənd̪
अकाज	ə.kɑːd͡ʒ
अकादमिक	ə.kɑːd̪.mɪk
अकादमी	ə.kɑːd̪.miː
अकारण	ə.kɑː.ɾən
अकारथ	ə.kɑː.ɾət̪ʰ
अकाल	ə.kɑːl
अकूत	ə.kuːt̪
अकेला	ə.keː.lɑː
अकेलापन	ə.keː.lɑː.pən
अक्खड़	ək.kʰəɽ
अक्खा	ək.kʰɑː
अक्टूबर	ək.ʈuː.bəɾ
अक्तूबर	ək.t̪uː.bəɾ
अक्षत	ək.ʃət̪
अक्षय	əkˈʃəj
अक्षय	ˈəkʃɛ
अक्षरारंभ	ək.ʃə.ɾɑː.ɾəmbʱ
अक्स	əks
अक्सर	ək.səɾ
अखंड	ə.kʰəɳɖ
अखंडता	ə.kʰənɖ.t̪ɑː
अखरना	ə.kʰəɾ.nɑː
अख़बार	əkʰ.bɑːɾ
अख़बार	əx.bɑːɾ
अख़बारवाला	əkʰ.bɑːɾ.ʋɑː.lɑː
अख़बारवाला	əx.bɑːɾ.ʋɑː.lɑː
अख़रोट	əkʰ.ɾoːʈ
अख़रोट	əx.ɾoːʈ
अखाड़ा	ə.kʰɑː.ɽɑː
अखिल	ə.kʰɪl
अगणित	ə.ɡə.nɪt̪
अगर	ə.ɡəɾ
अगरचे	ə.ɡəɾ.t͡ʃeː
अगरतला	ə.ɡəɾ.t̪ə.lɑː
अगरबत्ती	ə.ɡəɾ.bət̪.t̪iː
अगला	əɡ.lɑː
अगस्त	ə.ɡəst̪
अगिन	ə.ɡɪn
अगुआ	ə.ɡʊɑː
अग्नि	əɡ.niː
अग्निपरीक्षा	əɡ.nɪ.pə.ɾiːk.ʃɑː
अग्निशामक	əɡ.nɪ.ʃɑː.mək
अग्न्याशय	əɡn.jɑː.ʃəj
अग्रज	əɡ.ɾəd͡ʒ
अग्रिम	əɡ.ɾɪm
अचंभा	ə.t͡ʃəm.bʱɑː
अचकन	ət͡ʃ.kən
अचर	ə.t͡ʃəɾ
अचरज	ət͡ʃ.ɾəd͡ʒ
अचानक	ə.t͡ʃɑː.nək
अचूक	ə.t͡ʃuːk
अच्छा	ət͡ʃ.t͡ʃʰɑː
अच्छा-ख़ासा	ət͡ʃ.t͡ʃʰɑː.kʰɑː.sɑː
अच्छा-ख़ासा	ət͡ʃ.t͡ʃʰɑː.xɑː.sɑː
अच्छापन	ət͡ʃːɑpən
अछना	ət͡ʃʰ.nɑː
अछूत	ə.t͡ʃʰuːt̪
अजब	ə.d͡ʒəb
अजमेर	əd͡ʒ.meːɾ
अजमोद	əd͡ʒ.moːd̪
अजवाइन	əd͡ʒ.ʋɑːɪn
अज़दहा	əz.d̪ə.ɦɑː
अज़रबैजान	ə.zəɾ.bɛː.d͡ʒɑːn
अज़ान	ə.zɑːn
अज़ाब	ə.zɑːb
अज़ीज़	ə.ziːz
अज़ीम	ə.ziːm
अजायबघर	ə.d͡ʒɑː.jəb.ɡʱəɾ
अजी	ə.d͡ʒiː
अजीब	ə.d͡ʒiːb
अजीर्ण	ə.d͡ʒiːɾn
अजूबा	ə.d͡ʒuː.bɑː
अजेंडा	ə.d͡ʒeːn.ɖɑː
अज्ञात	əɡjaːt̪
अज्ञानपन	əɡ.jɑːn.pən
अटक	ə.ʈək
अटकना	ə.ʈək.nɑː
अटकाना	əʈ.kɑː.nɑː
अटकाव	əʈ.kɑːʋ
अटल	ə.ʈəl
अटैची	ə.ʈɛː.t͡ʃiː
अट्ठाईस	əʈ.ʈʰɑːiːs
अट्ठानवे	əʈ.ʈʰɑːn.ʋeː
अट्ठावन	əʈ.ʈʰɑː.ʋən
अट्ठासी	əʈ.ʈʰɑː.siː
अठन्नी	ə.ʈʰən.niː
अठपहिया	əʈʰ.pə.ɦiː.jɑː
अठपहिया	əʈʰ.pəiː.jɑː
अठहत्तर	əʈʰ.ɦət̪.t̪əɾ
अड़तालीस	əɽ.t̪ɑː.liːs
अड़तीस	əɽ.t̪iːs
अड़सठ	əɽ.səʈʰ
अड़ाना	ə.ɽɑː.nɑː
अड़ियल	ə.ɽiː.jəl
अणु	ə.nuː
अतः	ə.t̪əʰ
अति	ə.t̪iː
अतिवाद	ə.t̪ɪ.ʋɑːd̪
अतिवादी	ə.t̪ɪ.ʋɑː.d̪iː
अतिशयोक्ति	ə.t̪ɪʃ.joːk.t̪iː
अतिसंवेदनशील	ə.t̪ɪ.səm.ʋeː.d̪ən.ʃiːl
अतिसार	ə.t̪ɪ.sɑːɾ
अतीत	ə.t̪iːt̪
अतुल्य	ə.t̪ʊlj
अत्फ़ाल	ət̪.fɑːl
अत्यंत	ət̪.jənt̪
अत्याचार	ət̪.jɑː.t͡ʃɑːɾ
अथाह	ə.t̪ʰɑːʱ
अदब	ə.d̪əb
अदरक	əd̪.ɾək
अदा	ə.d̪ɑː
अदाकार	ə.d̪ɑː.kɑːɾ
अद्यतन	əd̪.jə.t̪ən
अधि-	ə.d̪ʱiː
अधिकतम	ə.d̪ʱɪk.t̪əm
अधिकता	ə.d̪ʱɪk.t̪ɑː
अधिकार	ə.d̪ʱɪ.kɑːɾ
अधिनायक	ə.d̪ʱɪ.nɑː.jək
अधिनियम	ə.d̪ʱɪ.niː.jəm
अधिभार	ə.d̪ʱɪ.bʱɑːɾ
अधिमास	ə.d̪ʱɪ.mɑːs
अधिलाभ	ə.d̪ʱɪ.lɑːbʱ
अधिवक्ता	ə.d̪ʱɪ.ʋək.t̪ɑː
अधिवार्षिकी	ə.d̪ʱɪ.ʋɑːɾ.ʃɪ.kiː
अधिसूचना	ə.d̪ʱɪ.suːt͡ʃ.nɑː
अधीक्षक	ə.d̪ʱiːk.ʃək
अधीक्षण	ə.d̪ʱiːk.ʃən
अधीन	ə.d̪ʱiːn
अधीर	ə.d̪ʱiːɾ
अधीश	ə.d̪ʱiːʃ
अधूरा	ə.d̪ʱuː.ɾɑː
अधेड़	ə.d̪ʱeːɽ
अधोहस्ताक्षरी	ə.d̪ʱoː.ɦəs.t̪ɑːk.ʃə.ɾiː
अध्यक्षता	əd̪ʱ.jəkʃ.t̪ɑː
अध्ययन	əd̪ʱ.jə.jən
अध्ययन	əd̪ʱ.jən
अध्यादेश	əd̪ʱ.jɑː.d̪eːʃ
अध्यापक	əd̪ʱ.jɑː.pək
अन-	ən
अनकहा	ən.kə.ɦɑː
अनगिनत	ən.ɡɪ.nət̪
अनचाहा	ən.t͡ʃɑː.ɦɑː
अनजाना	ən.d͡ʒɑː.nɑː
अनपच	ən.pət͡ʃ
अनपढ़	ən.pəɽʱ
अनमना	ən.mə.nɑː
अनशन	ən.ʃən
अनस्तित्व	ə.nəs.t̪ɪt̪ʋ
अनहोनी	ən.ɦoː.niː
अनाज	ə.nɑːd͡ʒ
अनाड़ी	ə.nɑː.ɽiː
अनातोली	ə.nɑː.t̪oː.liː
अनाथालय	ə.nɑː.t̪ʰɑː.ləj
अनाधिकारिक	ə.nɑː.d̪ʱɪ.kɑː.ɾɪk
अनामिका	ə.nɑː.mɪ.kɑː
अनार	ən̪aːr
अनारदाना	ə.nɑːɾ.d̪ɑː.nɑː
अनियमित	ə.niː.jə.mɪt̪
अनिवार्य	ə.nɪ.ʋɑːɾj
अनिवार्यतः	ə.nɪ.ʋɑːɾ.jə.t̪əʰ
अनिश्चित	ə.nɪʃ.t͡ʃɪt̪
अनु-	ə.nuː
अनुकूल	ə.nʊ.kuːl
