a	ɑː
aa	ɑɑ
aaawesome	ɔːːːsəm
aabomycin	æboʊmaɪsɪn
aachen	ɑkən
aachen	ɑxən
aacu	ækʊ
aacu	eɪeɪkeɪjʊ
aacus	ækʊz
aacus	eɪeɪkeɪjʊz
aalborg	ɔlbɔɹ
aalborg	ɔlbɔɹɡ
aalii	ɑlii
aalst	ɑlst
aam	ɑm
aam	ɔm
aandblom	ɑntblɑm
aar	ɑɹ
aarau	aːɹau
aardvark	ɑɹdvɑɹk
aardwolf	ɑɹdwʊlf
aardwolves	ɑɹdwʊlvz
aare	ɑɹə
aarhus	ɔɹhus
aaron	æɹən
aaron	ɛɹən
aaronic	æɹɑnɪk
aaronical	æɹɑnɪkəl
aaronical	ɛɹɑnɪkəl
aaronic	ɛɹɑnɪk
aaronite	æɹənaɪt
aaronite	ɛɹənaɪt
aasvoel	ɑsfoʊəl
aasvogel	ɑsfoʊɡəl
aaxten	aːkstən
aba	æbə
ababdeh	əbæbdɛ
abaca	æbəkɑ
abacate	æbəkɑti
abacavir	əbækəvɪəɹ
abacaxi	æbəkəʃi
abaci	æbəkaɪ
abaci	æbəsaɪ
abaci	əbækaɪ
abacisci	æbəkɪskaɪ
abacisci	æbəkɪski
abacisci	æbəsɪsaɪ
abaciscus	æbəsɪskəs
abaciscus	æbəsɪskɪs
abacist	æbəkəst
abacist	æbəsəst
abacist	æbəsɪst
abacist	əbækəst
abacist	əbɑkəst
aback	əbæk
abackward	əbækwəd
abaco	æbækoʊ
abaco	æbəkoʊ
abacost	æbəkɑst
abacterial	eɪbæktɪɹiəl
abactinal	æbæktaɪnl̩
abactinal	æbæktənl̩
abactinally	æbæktənl̩i
abactor	æbæktɚ
abaculi	əbækjəlaɪ
abaculi	əbækjəli
abaculus	əbækjələs
abacus	æbəkəs
abacus	əbækəs
abacus	əbɑkəs
abadan	æbədæn
abadan	ɑbɑdɑn
abadan	ɑbədɑn
abaddon	əbædn̩
aba	əbɑ
ab	æb
abaft	əbæft
abaft	əbɑft
abaht	əbɑt
abaiser	əbeɪsɚ
abaisse	əbeɪs
abaissé	əbeɪseɪ
abakan	ɑbəkɑn
abakan	ʌbʌkan
abalienate	æbeɪliəneɪt
abalienate	æbeɪljəneɪt
abalienation	æbeɪliəneɪʃən
abalienation	æbeɪljəneɪʃən
abalone	æbəloʊni
abamp	æbæmp
abampere	æbæmpiːɹ
aband	aːbɑnt
aband	əbænd
abandon	əbændn̩
abandoned	əbændn̩d
abandonedly	əbændn̩ədli
abandonee	əbændəni
abandonment	əbændn̩mn̩t
abañeeme	əbɑnjəeɪmi
abänn	aːbæn
abaptiston	æbæptɪstɒn
abarognosis	æbəɹəɡnoʊsɪs
abarticular	æbɑɹtɪkjələ
abarticular	æbɑtɪkjələ
abarticular	æbɑɹtɪkjulə
abarticular	æbɑtɪkjulə
abarticulation	æbɑɹtɪkjəleɪʃən
abarticulation	æbɑtɪkjəleɪʃən
abarticulation	æbɑɹtɪkjʊleɪʃən
abarticulation	æbɑtɪkjʊleɪʃən
abas	əbɑs
abased	əbeɪst
abasedly	əbeɪsədli
abase	əbeɪs
abasement	əbeɪsmənt
abaser	əbeɪsɚ
abash	əbæʃ
abashedly	əbæʃɪdli
abashedness	əbæʃɪdnɪs
abashless	əbæʃləs
abashlessly	əbæʃləsli
abashment	əbæʃmənt
abasia	əbeɪziə
abasia	əbeɪʒə
abasia	əbeɪʒiə
abasic	eɪbeɪsɪk
abassi	əbɑsi
abastardize	eɪbæstɚdaɪz
abatable	əbeɪtəbəl
abate	əbeɪt
abatement	əbeɪtmənt
abater	əbeɪtɚ
abates	əbeɪts
abatic	əbætɪk
abating	əbeɪtɪŋ
abatis	æbəti
abatis	æbətɪs
abatised	æbətid
abatised	æbətɪst
abatised	əbætid
abatised	əbætɪst
abatises	æbətəsəz
abatjour	ɑbɑʒʊɚ
abator	əbeɪtɚ
abator	əbeɪtə
abatsons	ɑbɑsɔ̃
abatsons	ɑbɑsɔ̃z
abattis	əbætɪs
abattoir	æbətwɑ
abattoir	æbətwɑɹ
abature	æbətjʊɹ
abatvoix	ɑbɑvwɑ
abaxial	æbæksiəl
abaya	əbeɪjə
abay	əbeɪ
abaza	əbɑzə
ab	ɑb
abba	æbɑ
abba	æbə
abbacy	æbəsi
abbadid	æbədəd
abbadid	æbədid
abb	æb
abbasid	æbəsəd
abbasid	əbæsəd
abbasid	əbɑsəd
abbasi	əbɑsi
abbatial	æbeɪʃl̩
abbatial	əbeɪʃl̩
abbe	æbeɪ
abbé	æbeɪ
abbes	æbeɪz
abbes	əbeɪz
abbess	æbɛs
abbess	æbɪs
abbeville	æbivɪl
abbevillian	æbəviljən
abbevillian	æbəvɪliən
abbevillian	æbviliən
abbevillian	æbviljən
abbevillian	æbvɪliən
abbey	æbi
abbeys	æbiz
abbot	æbət
abbots	æbəts
abbozzo	əbɔtsoʊ
abbreviated	əbɹivieɪtɪd
abbreviate	əbɹivieɪt
abbreviate	əbɹiviət
abbreviation	əbɹivieɪʃn̩
abbreviator	əbɹivieɪtəɹ
abbreviatory	əbɹiviətɔɹi
abbreviature	əbɹiviət͡ʃʊɹ
abby	æbi
abcde	æbsədiː
abcoulomb	æbkulɑm
abderian	æbdɛɹiən
abderian	æbdɪɹiən
abderite	æbdəɹaɪt
abdest	ɑbdɛst
abdicable	æbdəkəbəl
abdicant	æbdɪkn̩t
abdicated	æbdɪkeɪtɪd
abdication	æbdəkeɪʃən
abdicative	æbdəkeɪtɪv
abdicative	æbdəkətɪv
abdicator	æbdəkeitɚ
abdicator	æbdəkeitə
abditive	æbdɪtɪv
abditory	æbdɪtəɹi
abditory	æbdɪtɹi
abdomen	æbdəmən
abdomen	æbdoʊmən
abdomina	æbdɑmənə
abdominal	æbdɑmənl̩
abdominal	əbdɑmənl̩
abdominalgia	æbdɑmɪnæld͡ʒiə
abdominally	æbdɑmɪnəli
abdominocardiac	æbdɑmɪnoʊkɑɹdiæk
abdominocentesis	æbdɑmɪnoʊsɜntisəs
abdominocystic	æbdɑmɪnoʊsɪstɪk
abdominogenital	æbdɑmɪnoʊd͡ʒɛnɪtl̩
abdominohysterectomy	æbdɑmɪnoʊhɪstɚɹɛktəmi
abdominohysterotomy	æbdɑmɪnoʊhɪstɚɹɑtəmi
abdominoperineal	æbdɑmɪnoʊpɛɹənil̩
abdominoplasty	æbdɑmɪnoʊplæsti
abdominoscopy	æbdɑmɪnɑskəpi
abdominoscrotal	æbdɑmɪnoʊskɹoʊtl̩
abdominothoracic	æbdɑmɪnoʊθoʊɹæsɪk
abdominothoracic	æbdɑmɪnoʊθɔɹæsɪk
abdominous	æbdɑmənəs
abdominouterotomy	æbdɑmɪnoʊjutɚɑtəmi
abdominovaginal	æbdɑmɪnoʊvæd͡ʒɪnl̩
abduce	æbdjus
abduce	æbdus
abduce	əbdjus
abduce	əbdus
abducens	æbdjusɛnz
abducens	æbdusɛnz
abducent	æbdjusənt
abducent	æbdusənt
abducentes	æbdjʊsɛntiz
abducentes	æbdʊsɛntiz
abduct	æbdəkt
abduct	æbdʌkt
abducted	æbdʌktɪd
abductee	æbdəkti
abductee	æbdʌkti
