ॐ	oːm
अ	ə
अकड़	əkəɽ
अकर्म	əkəɾm
अकर्मण्यता	əkəɾmənjət̪ɑː
अकस्मात्	əkəsmɑːt̪
अकाज	əkɑːd͡ʒ
अकादमिक	əkɑːd̪mɪk
अकादमी	əkɑːd̪miː
अकारण	əkɑːɾən
अकारथ	əkɑːɾət̪ʰ
अकाल	əkɑːl
अकूत	əkuːt̪
अकेला	əkeːlɑː
अकेलापन	əkeːlɑːpən
अक्खड़	əkkʰəɽ
अक्खा	əkkʰɑː
अक्टूबर	əkʈuːbəɾ
अक्तूबर	əkt̪uːbəɾ
अक़्ल	əkəl
अक़्ल	əkl
अक़्ल	əqəl
अक़्ल	əql
अक़्लमंद	əkəlmənd̪
अक़्लमंद	əklmənd̪
अक़्लमंद	əqəlmənd̪
अक़्लमंद	əqlmənd̪
अक्षत	əkʃət̪
अक्षय	ˈəkʃɛ
अक्षय	əkˈʃəj
अक्षरारंभ	əkʃəɾɑːɾəmbʱ
अक्स	əks
अक्सर	əksəɾ
अख़बार	əkʰbɑːɾ
अख़बार	əxbɑːɾ
अख़बारवाला	əkʰbɑːɾʋɑːlɑː
अख़बारवाला	əxbɑːɾʋɑːlɑː
अखरना	əkʰəɾnɑː
अख़रोट	əkʰɾoːʈ
अख़रोट	əxɾoːʈ
अखाड़ा	əkʰɑːɽɑː
अखिल	əkʰɪl
अखंड	əkʰəɳɖ
अखंडता	əkʰənɖt̪ɑː
अगणित	əɡənɪt̪
अगर	əɡəɾ
अगरचे	əɡəɾt͡ʃeː
अगरतला	əɡəɾt̪əlɑː
अगरबत्ती	əɡəɾbət̪t̪iː
अगला	əɡlɑː
अगस्त	əɡəst̪
अगिन	əɡɪn
अगुआ	əɡʊɑː
अग्नि	əɡniː
अग्निपरीक्षा	əɡnɪpəɾiːkʃɑː
अग्निशामक	əɡnɪʃɑːmək
अग्न्याशय	əɡnjɑːʃəj
अग्रज	əɡɾəd͡ʒ
अग्रिम	əɡɾɪm
अचकन	ət͡ʃkən
अचर	ət͡ʃəɾ
अचरज	ət͡ʃɾəd͡ʒ
अचानक	ət͡ʃɑːnək
अचूक	ət͡ʃuːk
अचंभा	ət͡ʃəmbʱɑː
अच्छा	ət͡ʃt͡ʃʰɑː
अच्छापन	ət͡ʃːɑpən
अछना	ət͡ʃʰnɑː
अछूत	ət͡ʃʰuːt̪
अज़दहा	əzd̪əɦɑː
अजब	əd͡ʒəb
अजमेर	əd͡ʒmeːɾ
अजमोद	əd͡ʒmoːd̪
अज़रबैजान	əzəɾbɛːd͡ʒɑːn
अजवाइन	əd͡ʒʋɑːɪn
अज़ान	əzɑːn
अज़ाब	əzɑːb
अजायबघर	əd͡ʒɑːjəbɡʱəɾ
अजी	əd͡ʒiː
अज़ीज़	əziːz
अजीब	əd͡ʒiːb
अज़ीम	əziːm
अजीर्ण	əd͡ʒiːɾn
अजूबा	əd͡ʒuːbɑː
अजेंडा	əd͡ʒeːnɖɑː
अज्ञात	əɡjaːt̪
अज्ञानपन	əɡjɑːnpən
अटक	əʈək
अटकना	əʈəknɑː
अटकाना	əʈkɑːnɑː
अटकाव	əʈkɑːʋ
अटल	əʈəl
अटैची	əʈɛːt͡ʃiː
अट्ठाईस	əʈʈʰɑːiːs
अट्ठानवे	əʈʈʰɑːnʋeː
अट्ठावन	əʈʈʰɑːʋən
अट्ठासी	əʈʈʰɑːsiː
अठन्नी	əʈʰənniː
अठपहिया	əʈʰpəɦiːjɑː
अठपहिया	əʈʰpəiːjɑː
अठहत्तर	əʈʰɦət̪t̪əɾ
अड़तालीस	əɽt̪ɑːliːs
अड़तीस	əɽt̪iːs
अड़सठ	əɽsəʈʰ
अड़ाना	əɽɑːnɑː
अड़ियल	əɽiːjəl
अणु	ənuː
अति	ət̪iː
अतिवाद	ət̪ɪʋɑːd̪
अतिवादी	ət̪ɪʋɑːd̪iː
अतिशयोक्ति	ət̪ɪʃjoːkt̪iː
अतिसार	ət̪ɪsɑːɾ
अतिसंवेदनशील	ət̪ɪsəmʋeːd̪ənʃiːl
अतीत	ət̪iːt̪
अतुल्य	ət̪ʊlj
अतः	ət̪əʰ
अत्फ़ाल	ət̪fɑːl
अत्याचार	ət̪jɑːt͡ʃɑːɾ
अत्यंत	ət̪jənt̪
अथाह	ət̪ʰɑːʱ
अदब	əd̪əb
अदरक	əd̪ɾək
अदा	əd̪ɑː
अदाकार	əd̪ɑːkɑːɾ
अद्यतन	əd̪jət̪ən
अधिकतम	əd̪ʱɪkt̪əm
अधिकता	əd̪ʱɪkt̪ɑː
अधिकार	əd̪ʱɪkɑːɾ
अधिनायक	əd̪ʱɪnɑːjək
अधिनियम	əd̪ʱɪniːjəm
अधिभार	əd̪ʱɪbʱɑːɾ
अधिमास	əd̪ʱɪmɑːs
अधिलाभ	əd̪ʱɪlɑːbʱ
अधिवक्ता	əd̪ʱɪʋəkt̪ɑː
अधिवार्षिकी	əd̪ʱɪʋɑːɾʃɪkiː
अधिसूचना	əd̪ʱɪsuːt͡ʃnɑː
अधीक्षक	əd̪ʱiːkʃək
अधीक्षण	əd̪ʱiːkʃən
अधीन	əd̪ʱiːn
अधीर	əd̪ʱiːɾ
अधीश	əd̪ʱiːʃ
अधूरा	əd̪ʱuːɾɑː
अधेड़	əd̪ʱeːɽ
अधोहस्ताक्षरी	əd̪ʱoːɦəst̪ɑːkʃəɾiː
अध्यक्षता	əd̪ʱjəkʃt̪ɑː
अध्ययन	əd̪ʱjəjən
अध्ययन	əd̪ʱjən
अध्यादेश	əd̪ʱjɑːd̪eːʃ
अध्यापक	əd̪ʱjɑːpək
अनकहा	ənkəɦɑː
अनगिनत	ənɡɪnət̪
अनचाहा	ənt͡ʃɑːɦɑː
अनजाना	ənd͡ʒɑːnɑː
अनपच	ənpət͡ʃ
अनपढ़	ənpəɽʱ
अनमना	ənmənɑː
अनशन	ənʃən
अनस्तित्व	ənəst̪ɪt̪ʋ
अनहोनी	ənɦoːniː
अनाज	ənɑːd͡ʒ
अनाड़ी	ənɑːɽiː
अनातोली	ənɑːt̪oːliː
अनाथालय	ənɑːt̪ʰɑːləj
अनाधिकारिक	ənɑːd̪ʱɪkɑːɾɪk
अनामिका	ənɑːmɪkɑː
अनार	ən̪aːr
अनारदाना	ənɑːɾd̪ɑːnɑː
अनियमित	əniːjəmɪt̪
अनिवार्य	ənɪʋɑːɾj
अनिवार्यतः	ənɪʋɑːɾjət̪əʰ
अनिश्चित	ənɪʃt͡ʃɪt̪
अनुकूल	ənʊkuːl
अनुकूलन	ənʊkuːlən
अनुज्ञप्ति	ənʊɡjəpt̪iː
अनुनाद	ənʊnɑːd̪
अनुनासिक	ənʊnɑːsɪk
अनुपस्थित	ənuːpəst̪ʰɪt̪
अनुपात	ənʊpɑːt̪
अनुपूरक	ənʊpuːɾək
अनुप्रयुक्त	ənʊpɾəjʊkt̪
अनुप्रास	ənʊpɾɑːs
अनुभवी	ənʊbʱəʋiː
अनुभूति	ənʊbʱuːt̪iː
अनुमानतः	ənʊmɑːnt̪əʰ
अनुमानित	ənʊmɑːnɪt̪
अनुमोदन	ən̪ʊmod̪ən̪
अनुयायी	ənʊjɑːjiː
अनुरक्षण	ənʊɾəkʃən
अनुरोध	ənʊɾoːd̪ʱ
अनुवाद	ənʊʋɑːd̪
अनुवादित	ənʊʋɑːd̪ɪt̪
अनुवांशिक	ənʊʋɑːnʃɪk
अनुवांशिकी	ənʊʋɑːnʃɪkiː
अनुशासन	ənʊʃɑːsən
अनुशासित	ənʊʃɑːsɪt̪
अनुशीलन	ənʊʃiːlən
अनुष्ठान	ənʊʃʈʰɑːn
अनुसरण	ənʊsəɾən
अनुसंधान	ənʊsənd̪ʱɑːn
अनुस्वार	ənʊsʋɑːɾ
अनूठा	ənuːʈʰɑː
अनूदित	ənuːd̪ɪt̪
अनेक	əneːk
अनौपचारिक	ənɔːpt͡ʃɑːɾɪk
अन्दर	ənd̪əɾ
अन्न	ənn
अन्य	ənj
अन्यथा	ənjət̪ʰɑː
अन्याय	ənjɑːj
अपतट	əpt̪əʈ
अपत्य	əpət̪j
अपदेश	əpd̪eːʃ
अपना	əpnɑː
अपमान	əpmɑːn
अपमानित	əpmɑːnɪt̪
अपराधी	əpɾɑːd̪ʱiː
अपरिचित	əpəɾɪt͡ʃɪt̪
अपरिपक्व	əpɾɪpəkʋ
अपरिमेय	əpəɾɪmeːj
अपरिरुद्ध	əpəɾɪɾʊd̪d̪ʱ
अपवाद	əpʋɑːd̪
अपवित्र	əpəʋɪt̪ɾ
अपशकुन	əpʃəkʊn
अपसामान्य	əpsɑːmɑːnj
अपहरण	əpʰəɾən
अपहर्ता	əpʰəɾt̪ɑː
अपितु	əpɪt̪uː
अपुष्ट	əpʊʃʈ
अपूर्ण	əpuːɾn
अपूर्व	əpuːɾʋə
अपेक्षा	əpeːkʃɑː
अपेक्षित	əpeːkʃɪt̪
अपॉइंटमेंट	əpɔːɪnʈmeːnʈ
अप्रत्याशित	əpɾət̪jɑːʃɪt̪
अप्रैल	əpɾɛːl
अप्सरा	əpsəɾɑː
अफ़वाह	əfʋɑːʱ
अफ़सर	əfsəɾ
अफ़साना	əfsɑːnɑː
अफ़सोसजनक	əfsoːsd͡ʒənək
अफ़ीम	əfiːm
अफ़्साना	əfsɑːnɑː
अबटाबाद	əbʈɑːbɑːd̪
अबाबील	əbɑːbiːl
अबिचल	əbɪt͡ʃəl
अबिवात्त	əbɪʋɑːt̪t̪
अबीर	əbiːɾ
अब्बा	əbbɑː
अब्र	əbɾ
अब्रू	əbɾuː
अभाव	əbʱɑːʋ
अभिकलित्र	əbʱɪkəlɪt̪ɾ
अभिकारक	əbʱɪkɑːɾək
अभिक्रिया	əbʱɪkɾiːjɑː
अभिगम	əbʱɪɡəm
अभिदृश्यक	əbʱɪd̪ɾɪʃjək
अभिनय	əbʱɪnəj
अभिनेता	əbʱɪneːt̪ɑː
अभिनेत्री	əbʱɪneːt̪ɾiː
अभिप्राय	əbʱɪpɾɑːj
अभिभावक	əbʱɪbʱɑːʋək
अभियान	əbʱiːjɑːn
अभियांत्रिकी	əbʱiːjɑːnt̪ɾɪkiː
अभियुक्त	əbʱijʊkt̪
अभियोक्ता	əbʱiːjoːkt̪ɑː
अभियोग	əbʱiːjoːɡ
अभियोजक	əbʱiːjoːd͡ʒək
अभियंता	əbʱiːjənt̪ɑː
अभियंत्रिकी	əbʱiːjənt̪ɾɪkiː
अभिरुचि	əbʱɪɾʊt͡ʃiː
अभिलाषा	əbʱɪlɑːʃɑː
अभिव्यक्ति	əbʱɪʋjəkt̪iː
अभी	əbʱiː
अभूतपूर्व	əbʱuːt̪puːɾʋ
अभ्यस्त	əbʱjəst̪
अभ्यास	əbʱjɑːs
अभ्यासक्रम	əbʱjɑːskɾəm
अभ्यासवश	əbʱjɑːsʋəʃ
अभ्रक	əbʱɾək
अमन	əmən
अमरावती	əmɾɑːʋət̪iː
अमरीका	əmɾiːkɑː
अमरूद	əmɾuːd̪
अमल	əməl
अमीर	əmiːɾ
अमेरिका	əmeːɾɪkɑː
अमेरिकी	əmeːɾɪkiː
अम्बर	əmbəɾ
अम्मा	əmmɑː
अम्माँ	əmmɑ̃ː
अम्मी	əmmiː
अम्ल	əml
अम्लता	əmlət̪ɑː
अम्लता	əmlt̪ɑː
अम्लपित्त	əmləpɪt̪t̪
अम्लपित्त	əmlpɪt̪t̪
अम्लीय	əmliːj
अयस्	əjəs
अयस्क	əjəsk
अयोध्या	əjoːd̪ʱjɑː
अरक्तता	əɾəkt̪t̪ɑː
अरगनी	əɾəɡniː
अरब	əɾəb
अरबिंद	əɾbɪnd̪
अरमान	əɾmɑːn
अरविंद	əɾʋɪnd̪
अरिहंत	əɾɪɦənt̪
अरुचि	əɾʊt͡ʃiː
अरुणोदय	əɾʊnoːd̪əj
अरे	əɾeː
अर्ज़	əɾz
अर्ज़ी	əɾziː
अर्जुन	əɾd͡ʒʊn
अर्जेंटीना	əɾd͡ʒeːnʈiːnɑː
अर्थ	ˈəɾt̪ʰ
अर्थपूर्ण	əɾt̪ʰəpuːɾn
अर्थमिति	əɾt̪ʰəmɪt̪iː
अर्थव्यवस्था	əɾt̪ʰəʋjəʋəst̪ʰɑː
अर्थशास्त्री	əɾt̪ʰəʃɑːst̪ɾiː
अर्थात	əɾt̪ʰɑːt̪
अर्ध	əɾd̪ʱ
अर्धतत्सम	əɾd̪ʱət̪ət̪səm
अर्पित	əɾpɪt̪
अलगाव	əlɡɑːʋ
अलगाववाद	əlɡɑːʋʋɑːd̪
अलगाववादी	əlɡɑːʋʋɑːd̪iː
अलम	ələm
अलमारी	əlmɑːɾiː
अलविदा	əlʋɪd̪ɑː
अलापना	əlɑːpnɑː
