acis	a t͡sʲ i sʲ
acs	a t͡sʲ sʲ
aforizms	a f ɔ r i z m s
akmiņs	a k mʲ i nʲ sʲ
aleksandra	a lʲ æ k s a n d r a
apdūmeigs	a b d uː mʲ æ i̯ k s
ar	a r
as	a s
aļteņš	a lʲ tʲ æ nʲ ʃ
baba	b a b a
babeņa	b a bʲ æ nʲ æ
bet	b æ t
bierneņš	b i ɛ̯ r nʲ æ nʲ ʃ
bolūds	b ɔ l uː tʲ sʲ
broilers	b r ɔ i̯ lʲ æ r s
bruoleits	b r u ɔ̯ lʲ ɛ i̯ tʲ sʲ
bruoļ	b r u ɔ̯ lʲ
bruoļs	b r u ɔ̯ lʲ sʲ
buoba	b u ɔ̯ b a
buobeņa	b u ɔ̯ bʲ æ nʲ a
byut	b ɨ u̯ tʲ
bārns	b aː r n t͡s
catūrts	t͡s a t uː r t s
ceuka	t͡s ɛ u̯ k a
ceļt	t͡sʲ æ lʲ tʲ
ceļš	t͡sʲ ɛ lʲ ʃ
cik	t͡sʲ i k
cjoce	t͡s j ɔ t͡sʲ æ
cjoceite	t͡s j ɔ t͡sʲ ɛ i̯ tʲ æ
cyuka	t͡s ɨ u̯ k a
cīmeņš	t͡sʲ iː mʲ æ nʲ ʃ
cīms	t͡sʲ iː m s
cīši	t sʲ iː ʃ i
darbeņš	d a r bʲ æ nʲ ʃ
dasmyts	d a s m ɨ t s
daudz	d a u̯ d z
desmit	dʲ e sʲ mʲ i t
deveits	dʲ æ vʲ æ i̯ tʲ sʲ
deveni	dʲ æ vʲ æ nʲ i
devenis	dʲ æ vʲ æ nʲ i sʲ
dieleņš	d i ɛ̯ lʲ æ nʲ ʃ
dina	d i n a
div	dʲ i v
diveji	dʲ i vʲ æ j i
divejis	dʲ i vʲ æ j i sʲ
divi	dʲ i vʲ i
dorbs	d ɔ r b s
draudzeņš	d r a u̯ d͡zʲ æ nʲ ʃ
draudzine	d r a u̯ d͡zʲ i nʲ æ
draudzineite	d r a u̯ d͡zʲ i nʲ ɛ i̯ tʲ æ
draugs	d r a u̯ k s
dreizs	d r æ i̯ sʲː
dreiži	d r æ i̯ ʒ i
dreižuok	d r æ i̯ ʒ u ɔ̯ k
dyžan	d ɨ ʒ a n
dzaltona	d͡z a l t ɔ n a
dzaltons	d͡z a l t ɔ n s
dzedeņs	d͡zʲ æ dʲ æ nʲ sʲ
dzeds	d͡zʲ æ t s
dzeive	d͡zʲ æ i̯ vʲ æ
dzeļvērte	d͡zʲ ɛ lʲ vʲ æː r tʲ æ
dzjadze	d͡z j a d͡zʲ æ
dzjadzeits	d͡z j a d͡zʲ ɛ i̯ tʲ sʲ
dzymdynuotuoji	d͡z ɨ m d ɨ n u ɔ̯ t u ɔ̯ j i
dzymdynuotuojs	d͡z ɨ m d ɨ n u ɔ̯ t u ɔ̯ j s
dādeņš	d aː dʲ æ nʲ ʃ
dāds	d aː t s
dāls	d aː l s
egle	æ ɡ lʲ æ
eiss	æ i̯ sʲː
eiši	æ i̯ ʃ i
es	æ sʲ
esi	ɛ sʲ i
ezs	æ sʲː
eļksnis	ɛ lʲ k s nʲ i sʲ
gabaleņš	ɡ a b a lʲ æ nʲ ʃ
gasteņš	ɡ a s tʲ æ nʲ ʃ
gaļa	ɡ a lʲ a
gaļveņa	ɡ a lʲ vʲ æ nʲ a
gobols	ɡ ɔ b ɔ l s
gods	ɡ ɔ t s
gols	ɡ ɔ l s
golva	ɡ ɔ l v a
gondreiž	ɡ ɔ n d r ɛ i̯ ʃ
gosts	ɡ ɔ s t s
gryuts	ɡ r ɨ u̯ t s
gryuši	ɡ r ɨ u̯ ʃ i
guļbs	ɡ u lʲ pʲ sʲ
humors	x u m ɔ r s
informaceja	i n f ɔ r m a t͡s æ j a
ir	i r
irā	i r aː
iudiņs	i u̯ dʲ i nʲ sʲ
jam	j a m
jauna	j a u̯ n a
jaunikis	j a u̯ nʲ i kʲ i sʲ
jauns	j a u̯ n s
jei	j æ i̯
jezus	j æ z u s
jis	j i sʲ
jius	j i u̯ s
juos	j u ɔ̯ s
jārs	j aː r s
jī	j iː
kaids	k a i̯ t s
kokejs	k o kʲ æ j s
kopejs	k o pʲ æ j s
korklys	k ɔ r k l ɨ s
kouldre	k o u̯ l d r æ
kuoni	k u ɔ̯ nʲ i
kur	k u r
kurms	k u r mʲ sʲ
kustūneits	k u s t uː nʲ æ i̯ tʲ sʲ
kūks	k uː k s
labi	l a bʲ i
laiva	l a i̯ v a
lase	l a sʲ æ
lieni	lʲ i ɛ̯ nʲ i
loba	l ɔ b a
lobs	l ɔ p s
lobuok	l ɔ b u ɔ̯ k
londons	l ɔ n d ɔ n s
luocs	l u ɔ̯ t͡sʲ sʲ
lāns	l aː n s
līpa	lʲ iː p a
mads	m a t s
mama	m a m a
mameņa	m a mʲ æ nʲ a
medeņš	mʲ æ dʲ æ nʲ ʃ
meita	mʲ æ i̯ t a
meiteņa	mʲ æ i̯ tʲ æ nʲ a
meitine	mʲ æ i̯ tʲ i nʲ æ
meitineite	mʲ æ i̯ tʲ i nʲ ɛ i̯ tʲ æ
mes	mʲ æ sʲ
mežs	mʲ ɛ ʃː
miļti	mʲ i lʲ tʲ i
mola	m ɔ l a
moza	m ɔ z a
mozs	m ɔ sː
muosa	m u ɔ̯ s a
muoseņa	m u ɔ̯ sʲ æ nʲ a
muot	m u ɔ̯ t
muote	m u ɔ̯ tʲ æ
mārga	m aː r ɡ a
nauda	n a u̯ d a
nedeļa	nʲ æ dʲ æ lʲ a
nedeļgols	nʲ æ dʲ æ lʲ ɡ ɔ l s
nedeļā	nʲ æ dʲ æ lʲ aː
nest	n e s t
nest	nʲ æ sʲ tʲ
nikas	nʲ i k a s
nouda	n o u̯ d a
nui	n u i̯
ocu	ɔ t͡s u
ols	o l s
ortografeja	ɔ r t ɔ ɡ r a f æ j a
ostoits	o s t o i̯ t s
ostoni	ɔ s t ɔ nʲ i
ostonis	ɔ s t ɔ nʲ i sʲ
parteja	p a r tʲ æ j a
peile	pʲ ɛ i̯ lʲ æ
persona	pʲ æ r s ɔ n a
pierts	pʲ i ɛ̯ r t s
plyks	p l ɨ k s
puika	p u i̯ k a
