afl	ɑ v l̩
alfǫðr	a l f ɔ ð r̩
allr	ɑ lː r̩
aptann	ɑ ɸ t ɑ̄ nː
argr	ɑ r ɣ r̩
aurr	ɑ u rː
auðr	ɑ u ð r̩
bekkr	b ɛ kː r̩
bifrǫst	b i v r ɔ s t
bifrǫst	b ɪ v r œ s t
biðja	b i ð j ɑ
blár	b l ɑː r
blót	b l oː t
blóð	b l oː ð
brestr	b r e s t r
bý	b yː
bǫlverkr	b ɔ l w e r k ʀ
dagr	d ɑ ɡ r̩
dimmr	d ĩ mː r̩
draugr	d r ɑ u ɣ r̩
dróttinn	d r oː tː ɪ̃ nː
dvergr	d w e r ɣ r̩
dús	d uː s
dýrr	d yː rː
ekki	ɛ k k ɪ
ey	e y̯
falr	f a l r
faðir	f ɑ ð ɪ r
feigr	f ɛ i ɣ r̩
fiskr	f i s k r̩
fjall	f j ɑ lː
galdr	ɡ a l d r̩
galdramaðr	ɡ a l d r a m ã ð r̩
ganga	ɡ ɑ̃ ŋ ɡ ɑ
gap	ɡ ɑ p
garðr	ɡ ɑ r ð r̩
gefa	ɟ e v ɑ
goð	ɡ o ð
gras	ɡ r ɑ s
grunnr	ɡ r ũ n n r
gróa	ɡ r oː ɑ
grœnland	ɡ r ø̃ː n l a n d
grǫftr	ɣ r ɒ f t r̩
gull	ɡ u lː
gás	ɡ ɒ̃ː s
haf	h ɑ v
heimdallr	h ɛ̃ ĩ m d ɑ lː r̩
heimr	h ɛ̃ ĩ m r̩
himinn	h ĩ m ĩ nː
hjalt	h j ɑ l t
hljóð	l̥ j oː ð
hof	h o v
hrafn	r̥ ɑ v n
hundrað	h ũ n d r ɑ ð
hákarl	h ɑ̃ː k a r l
hóll	h oː lː
hǫll	h ɒ lː
hǫnd	h ɒ̃ n d
hǫrgr	h ɒ r ɣ r̩
hǫttr	h ɒ tː r̩
hǫttr	h ɒ tː ʐ
jaðarr	j ɑ ð ɑ rː
jálmr	j ɑː l m r
jǫrð	j ɒ r ð
jǫtnar	j ɒ t n ɑ̃ r
jǫtunn	j ɒ t ʊ̃ nː
jǫtunn	j ɔ t u nː
kalfi	k ɑ l v ɪ
konungr	k o n ʊ̃ ŋ ɡ r̩
kveld	k w ɛ l d
kærr	k ɛː rː
kǫttr	k ɒ tː r̩
laukr	l ɑ u k r̩
lið	l i ð
loki	l o k ɪ
láta	l ɑː t ɑ
láta	l ɒː t a
læknishǫnd	l ɛː k n ɪ̃ s h ɒ̃ n d
megin	m ɛ̃ ɡ ɪ̃ n
miklagarðr	m i k l a ɡ a r ð r
mjǫllnir	m j ɔ lː n i r
mjǫllnir	m j̃ ɔ̃ lː n ɪ̃ r
mjǫt	m j̃ ɒ̃ t
mold	m õ l d
morginn	m õ r ɣ ɪ̃ nː
myki	m ỹ k ɪ
mǫgr	m ɒ̃ ɣ r̩
norðmaðr	n õ r ð m ɑ̃ ð r
norðr	n o r ð r
nátt	n ɑ̃ː tː
nótt	n oː tː
nýr	n ỹː r
nǫ́tt	n ɒ̃ː tː
ragnarǫk	r ɑ ɣ n ɑ̃ r ɒ k
rakki	r a k k ɪ
regin	r ɛ ɡ ɪ̃ n
ráðsnjallr	r ɑː ð s n j̃ ɑ̃ lː r̩
rǫk	r ɒ k
rǫkstóll	r ɒ k s t oː lː
salr	s ɑ l r̩
saltr	s ɑ l t r̩
sandr	s ɑ̃ n d r̩
seiðkona	s ɛ i θ k õ n ɑ̃
seiðmaðr	s ɛ i ð m ɑ̃ ð r
seiðr	s ɛ i ð r̩
sigrún	s i ɡ r ũː n
sinn	s i nː
sinn	s ɪ nː
skjótr	s k j oː t r̩
skjǫldr	s k e ɒ̯ ɫ d ɹ̠̩̊ ˔
skjǫldr	s k j ɒ l d r̩
skrælingi	s k r ɛː l ɪ̃ ŋ ɡ ɪ
skyldr	s k y l d r̩
skáney	s k ɒː n ø y̯
skáney	s k ɒː n ɛ y̯
ský	s k yː
slœgr	s l øː ɣ r̩
snjallr	s n j̃ ɑ̃ lː r̩
snær	s n ɛ̃ː r
spjall	s p j ɑ lː
spánn	s p ɒ̃ː nː
staðr	s t ɑ ð r̩
steinn	s t ɛ̃ ĩ nː
steinur	s t a ɪ n ʊ ɹ
styrkr	s t y r k r̩
stóll	s t oː lː
stǫng	s t ɒ ŋ ɡ
sær	s ɛː r
sætt	s ɛː tː
tal	t ɑ l
tíðr	t iː ð r̩
tól	t oː l
tún	t ũː n
ungr	ũ ŋ ɡ r
unnr	ũ nː r̩
uppsalir	u pː s a l ɪ r
valhǫll	v ɑ l h ɒ lː
valhǫll	w ɑ l h ɒ lː
valkyrja	w ɑ l k y r j ɑ
valr	w ɑ l r̩
valtr	w ɑ l t r̩
vangr	w ɑ̃ ŋ ɡ r̩
vatn	w a t n
vatn	w ɑ t n
vatn	w ɒ t n
vatn	w ɔ t n
vild	w i l d
vinland	w i n l ɑ n d
við	w i ð
við	w ɪ ð
viðr	w i ð r̩
vápnatak	w ɑː p n ɑ̃ t ɑ k
vængr	w ɛ̃ː ŋ ɡ r̩
vér	v eː r
víkingr	w iː k ɪ̃ ŋ ɡ r̩
vǫllr	v ɒ lː r̩
vǫllr	v ɔ lː r̩
vǫllr	w ɒ lː ʐ
vǫlva	v ɒ l v a
vǫlva	w ɒ l w a
ár	ɑː r
ár	ɒː r
íkorni	iː k o r n ɪ̃
íviðja	iː v i ð j ɑ
íviðja	ĩː w i ð j ɑ
óláfr	oː l ɒː v r̩
óláfr	õː l ɑː β ɹ̠̩̊ ˔
óðinn	oː ð i nː
óðinn	oː ð ẽ nː
óðr	oː ð r̩
óðr	oː ð ʐ
þess	θ e sː
þing	θ ĩ ŋ ɡ
þjófr	θ j oː v r̩
þoka	θ o k ɑ
þurs	θ u r s
þváttr	θ v ɒː tː r̩
þváttr	θ w aː tː ʐ
þér	θ eː r
œðr	øː ð r̩
œðr	øː ð ʐ
ǫld	ɒ l d
