־טום	t ʊ m
־ניש	n ɪ ʃ
אַ	a
אַ סך	a s a x
אַזיע	a z j ə
אַנדערע	a n d ə r ə
אַפֿריקע	a f r ɪ k ə
אויס־	o ʊ̯ s
אויס־	oː s
אויס־	ɔ ɪ̯ s
אויער	e ɪ v ə ʁ
אויער	e ɪ ə ʁ
אויער	ɛ v ə ʁ
אויער	ɛ ʊ̯ ə ʁ
אויפֿוועקן	a v v ɛ k ŋ̩
אויפֿוועקן	ɔ v v ɛ k ŋ̩
אויקען	ɔ ɪ̯ k ŋ̩
אומעטום	ɨ m ə t ɨ m
אומעטום	ɪ m ə t ɪ m
אומעטום	ʊ m ə t ʊ m
און	ɨ n
און	ɪ n
און	ʊ n
אונדז	ɨ n d z
אונדז	ɪ n d z
אונדז	ʊ n d z
איבער	i b ə r
איבער	j i b ə r
איבערלעבן	i b ə ʁ ɫ ɛ b m̩
איז	ɪ
אייראָפּע	ɛ j r ɔ p ə
אין	i n
באַר	b a ʁ
באָבע־מעשׂה	b ʊ b ə m aː s ə
בויך	b ɔ ɪ χ
בוך	b i χ
בוך	b iː χ
בוך	b ʊ χ
בית המקדש	b a ɪ̯ s h a m ɪ ɡ d ə ʃ
בית המקדש	b ɛ ɪ̯ s h a m ɪ ɡ d ɜ ʃ
בעט	b ɛ t
בער	b ɛ ʁ
ברודער	b r i d ə r
ברודער	b r u d ə r
ברויט	b r e ɪ̯ t
ברויט	b r ɔ u t
ברויט	b r ɔ ɪ̯ t
בריוו	b ʁ i v
בריוו	b ʁ iː v
בריוו	b ʁ ɪ v
גאונים	ɡ ɔ ɪ n ə m
גאונים	ɡ ɛ ɪ n ə m
גוט	ɡ ɪ t
גוט	ɡ ʊ t
גוטע	ɡ ʊ t ə
גוף	ɡ ɪ f
גוף	ɡ ʊ f
גנבֿ	ɡ a n ə f
גנבֿה	ɡ n ɛ ɪ v ə
גנבֿיש	ɡ a n ɛ ɪ v ɪ ʃ
געבן	ɡ e ɪ̯ b m̩
געבן	ɡ ɛ b m̩
געזונט	ɡ ə z ɪ n t
געזונט	ɡ ə z ʊ n t
געפֿרעגט	ɡ ə f ʁ ɛ k t
גערויש	ɡ ə ʁ ɔ ɪ ʃ
גערויש	ɡ ə ʁ ɔː ʃ
גערעדט	ɡ ə r ɛ t
גערעדט	ɡ ə ʁ ɛ t
גראָז	ɡ ʁ uː s
גראָז	ɡ ʁ ɔ z
גרויס	ɡ r e ɪ̯ s
גרויס	ɡ r ɔ u s
גריבענעס	ɡ ʁ ɪ b ə n ə s
גרענעץ	ɡ ʀ ɛ n ə t͡s
גרײַז	ɡ ʁ a z
גרײַז	ɡ ʁ a ɪ z
גרײַז	ɡ ʁ aː z
גײַסט	ɡ a ɪ s t
גײַסטיק	ɡ a ɪ s t ɪ k
גײַסטיק	ɡ aː s t ɪ k
דאַרף	d a f
דאָ	d u
דאָס	d ɔ s
דאָס	d ʊ s
די	d i
דעם	d ɛ m
דער	d ɛ r
דײַן	d a ɪ n
האַנט	h a n t
האָבן	h ɔ b m̩
האָבן	h ɔ b n̩
האָר	h ɔ ʁ
האָר	h ʊ ʁ
הויז	h o ʊ̯ z
הויז	h oː z
הויז	h ɔ ɪ̯ z
הויט	h e ɪ t
הויט	h ɔː t
הענט	h ɛ n t
הקדמה	h a ɡ d ɔ m ə
וואָגן	v uː ɡ ŋ̩
וואָס	v ɔ s
וואָס	v ʊ s
וואָסער	v ɔ s ə r
וואָסערע	v ɔ s ə r ə
וווּ	v i
וווּ	v u
וווּרשט	v ɪ ʁ ʃ t
וווּרשט	v ʊ ʁ ʃ t
וויסן	v ɪ s n̩
ווערב	v ɛ ʁ b
זאַנג	z a ŋ ɡ
זאָגט	z u k t
זאָגט	z uː k t
זאָגט	z ɔ k t
זאָגן	z ʊ ɡ ŋ̩
זון	z i n
זון	z iː n
זון	z ɨ n
זון	z ɪ n
זון	z ʊ n
זיבן	z i b m̩
זיבן	z iː b m̩
זיבן	z ɪ b m̩
זינגען	z ɪ ŋ ɡ ŋ̩
זיצטרין	z ɪ t s t ʁ ɪ n
זײַ מיר מוחל	z a ɪ̯ m i ʁ m ɔ ɪ̯ χ ɫ̩
זײַ מיר מוחל	z a ɪ̯ m i ʁ m ɛ ɪ̯ χ ɫ̩
זײַ מיר מוחל	z aː m i ʁ m ɔ ɪ̯ χ ɫ̩
זײַנען	z a ɪ n ə n
חופּה	χ ɨ p ə
חופּה	χ ɪ p ə
