ހ	h
ހަނދު	h əⁿ d̪ u
ހަރިޔާނާ	h ə ɾ i j əː n əː
ހަތަރު	h ə t ə ɾ u
ހަތް	h ə t̪
ހަސްފަތާލު	h ə s̺ f ə t̪ əː l u
ހިންނަވަރު	h i n̪ː ə ʋ ə ɾ u
ހިރި	h i ɾ i
ހުޅުމާލެ	h u ɭ u m əː l e
ނ	n̪
ނައިފަރު	n̪ æː f ə ɾ u
ނަވާރަ	n̪ ə ʋ əː ɾ ə
ނަގަރު	n̪ ə ɡ ə ɾ u
ނާގަލޭންޑު	n əː ɡ ə l eː n̪ ɖ u
ނިއްރު	n i ɾː u
ނޮވެމްބަރު	n o ʋ e m b ə ɾ u
ރަށް	ɾ ə h
ރަށްވެހި	ɾ ə ʂ ʋ e h i
ރަދުން	ɾ ə d̪ u n̪
ރާހި	ɾ əː h i
ރާއްޖެ	ɾ əː d ʒː e
ރާދަ	ɾ əː d̪ ə
ރާޖަސްތާން	ɾ əː d͡ʒ ə s̺ t̪ əː n̪
ރިޔާޟިއްޔާތު	ɾ i j əː dˤ i jː əː t̪ u
ރުއް	ɾ u h
ރުފިޔާ	ɾ u f i j əː
ބަށި	b ə ʂ i
ބަނދަރު	b əⁿ d̪ ə ɾ u
ބަންޑާރައިން	b ə n d̪ əː ɾ æː n̪
ބައިސްކަލު	b æː s̺ k ə l u
ބައްޕަ	b ə pː ə
ބަޙްރައިން	b ə ħ ɾ æː n̪
ބާރަ	b əː ɾ ə
ބިހާރު	b i h əː ɾ u
ބިން	b i n̪
ބިސް	b i s̺
ބުވަނަ	b u ʋ ə n̪ ə
ބުދު	b u d̪ u
ބޭބެ	b eː b e
ކަރުކަށަ	k ə ɾ u k ə ʂ ə
ކަރްނާޓަކާ	k ə ɾ n̪ əː ʈ ə k əː
ކާންޏަ	k əː ɲː ə
ކާކު	k əː k i
ކާފޫރު	k əː f uː ɾ u
ކުންބަ	k u n̪ b ə
ކުރުނބާ	k u ɾ uᵐ b əː
ކުޅުދުއްފުށި	k u ɭ u d̪ u fː u ʂ i
ކްރޯރް	k ɾ oː ɾ
އަށާރަ	ə ʂ ə ɾ ə
އަނބު	əᵐ b u
އަންމަ	ə mː ə
އަވަށް	ə ʋ ə h
އަފަ	ə f ə
އަފްޣާނިސްތާން	ə f ɣ əː n̪ i s̺ t̪ əː n̪
އަތޮޅު	ə t̪ o ɭ u
އަލިފުބާ	ə l i f u b əː
އާފަލު	əː f ə l u
އާދިއްތަ	əː d̪ i t̪ː ə
އިރާގް	i ɾ əː ɡ
އިރު	i ɾ u
އިބަ	i b ə
އިސަބަ	i s̺ ə b ə
އިސްލާމް	i s̺ l ə m
އީސާގެފާނު	iː s̺ əː ɡ e f əː n u
އުއްތަރުކަންދު	u t̪ː ə ɾ u k ə n̪ d̪ u
އުތުރު	u t̪ u ɾ u
އެ	e
އެކެއް	e k e h
އެމެރިކާ	e m e ɾ i k əː
އެފްރިކާ	e f ɾ i k əː
އެގަރަ	e ɡ ə ɾ ə
އެޕްރީލް	e p ɾ i l
އޭޝިއާ	eː ʃ i əː
އޮނަތިރީސް	o n ə t̪ i ɾ iː s̺
އޮރިއްސާ	o ɾ i s̺ː əː
އޮޅުދޫކަރަ	o ɭ u d̪ uː k ə ɾ ə
އޮކްޓޫބަރު	o k ʈ uː b ə ɾ u
ވިރުސިކަ	ʋ i ɾ u s̺ i k ə
ވެހި	ʋ e h i
މަ	m ə
މަހާރާޝްތުރާ	m ə h əː ɾ əː ʃ t̪ u ɾ əː
މަނިޕޫރު	m ə n̪ i p uː ɾ u
މަކަރަ	m ə k ə ɾ ə
މަލިކު	m ə l i k u
މަސީހީދީން	m ə s̺ i h iː d̪ iː n̪
މަޑުލަ	m ə ɖ u l ə
މާރޗް	m əː ɾ t ʃ
މާދަރީ	m əː d̪ ə ɾ iː
މާތާޕިތާ	m əː t̪ əː p i t̪ əː
މި	m i
މިތުނަ	m i t̪ u n̪ ə
މިޔަރު	m i j ə ɾ u
މިޞްރު	m i sˤ ɾ u
މީންޏަ	m iː ɲ ɲ ə
މުންނާރު	m u n̪ː əː ɾ u
މޭސަ	m eː s̺ ə
ފަނަރަ	f ə n ə ɾ ə
ފަކުސަމަ	f ə k u s̺ ə m ə
ފައްޅި	f ə ɭː i
ފާލަން	f əː l ə n̪
ފުރާ	f u ɾ əː
