aat	aː t
agos	a ɡ o s
aguk	a ɡ u k
agynja	a ɡ ə n d͡ʑ a
agys	a ɡ ə s
aina	a j n a
asalja	a sʰ a l d͡ʑ a
asingja	a sʰ i ŋ d͡ʑ a
askhui	a s kʰ u j
aski	a s k i
askui	a s k u j
asyngja	a sʰ ə ŋ d͡ʑ a
awa	a w a
baba	b a b a
badolja	b a d o l d͡ʑ a
banga	b a ŋ a
boisaja	b o j sʰ a d͡ʑ a
byryi	b ə r ə j
cha	t͡ɕ a
chak	t͡ɕ a k
char	t͡ɕ a r
chatgyk	t͡ɕ a t ɡ ə k
che	t͡ɕ e
cheke	t͡ɕ e k e
chinara	t͡ɕ i n a r a
chini	t͡ɕ i n i
chola	t͡ɕ o l a
chyigyk	t͡ɕ ə j ɡ ə k
chykhyw	t͡ɕ ə kʰ ə w
das	d a s
desembol	d e sʰ e m b o l
desembyl	d e sʰ e m b ə l
do	d o
drakha	d r a kʰ a
dys	d ə s
echaluk	e t͡ɕ a l u k
eek	eː k
eet	eː t
epril	e p r i l
gada	ɡ a d a
galjak	ɡ a l d͡ʑ a k
ganggawa	ɡ a ŋ ɡ a w a
gawi	ɡ a w i
gondu	ɡ o n d u
husyring	h u sʰ ə r i ŋ
itihas	i t i h a s
jabol	d͡ʑ a b o l
jama	d͡ʑ a m a
januari	d͡ʑ a n u a r i
jenuari	d͡ʑ e n u a r i
jero	d͡ʑ e r o
jetja	d͡ʑ e t d͡ʑ a
julai	d͡ʑ u l a j
jun	d͡ʑ u n
jyk	d͡ʑ ə k
kal	k a l
kala	k a l a
kalai	k a l a j
kaljak	k a l d͡ʑ a k
kana	k a n a
kapangsi	k a p a ŋ sʰ i
kapkung	k a p k u ŋ
karang	k a r a ŋ
katija	k a t i d͡ʑ a
katua	k a t u a
kek	k e k
kereng	k e r e ŋ
khansyrui	kʰ a n sʰ ə r u j
khatchi	kʰ a t t͡ɕ i
khatua	kʰ a t u a
khonok	kʰ o n o k
khori	kʰ o r i
khuchina	kʰ u t͡ɕ i n a
khuli	kʰ u l i
khym	kʰ ə m
kitap	k i t a p
kok	k o k
kolachita	k o l a t͡ɕ i t a
kombol	k o m b o l
komyla	k o m ə l a
konglarong	k o ŋ l a r o ŋ
korea	k o r e a
korok	k o r o k
korong	k o r o ŋ
kuli	k u l i
kyisym	k ə j sʰ ə m
kylchap	k ə l t͡ɕ a p
kyrong	k ə r o ŋ
laha	l a h a
mai	m a j
makja	m a k d͡ʑ a
march	m a r t͡ɕ
mars	m a r s
matsa	m a t sʰ a
me	m e
mei	m e j
miting	m i t i ŋ
nain	n a j n
nem	n e m
nemnuk	n e m n u k
netwak	n e t w a k
ni	n i
no	n o
nobembol	n o b e m b o l
nobembyl	n o b e m b ə l
nok	n o k
norok	n o r o k
oktobol	o k t o b o l
oktobyl	o k t o b ə l
paip	p a j p
palong	p a l o ŋ
palyng	p a l ə ŋ
pan	p a n
panch	p a n t͡ɕ
panchung	p a n t͡ɕ u ŋ
pargunja	p a r ɡ u n d͡ʑ a
patyl	p a t ə l
phadyr	pʰ a d ə r
phakwal	pʰ a k w a l
phebuari	pʰ e b u a r i
pheru	pʰ e r u
phulkobi	pʰ u l k o b i
pibok	p i b o k
picham	p i t͡ɕ a m
pidan	p i d a n
pinak	p i n a k
pisak	p i sʰ a k
por	p o r
purun	p u r u n
pyw	p ə w
rai	r a j
raja	r a d͡ʑ a
rang	r a ŋ
redio	r e d i o
reel	r eː l
rek	r e k
rekkun	r e k k u n
rekphang	r e k pʰ a ŋ
rekphul	r e k pʰ u l
rekthai	r e k tʰ a j
rens	r e n s
rongni	r o ŋ n i
rongsa	r o ŋ sʰ a
rongtham	r o ŋ tʰ a m
sa	sʰ a
saat	sʰ aː t
salam	sʰ a l a m
sam	sʰ a m
saw	sʰ a w
seben	sʰ e b e n
sene	sʰ e n e
septembol	s e p t e m b o l
septembyl	s e p t e m b ə l
sik	sʰ i k
siks	sʰ i k s
skul	s k u l
sona	sʰ o n a
sorong	sʰ o r o ŋ
spun	sʰ p u n
syl	sʰ ə l
taia	t a j a
takbewal	t a k b e w a l
tangka	t a ŋ k a
ten	t e n
tham	tʰ a m
thanyng	tʰ a n ə ŋ
thapyra	tʰ a p ə r a
thorok	tʰ o r o k
thorom	tʰ o r o m
thyi	tʰ ə j
tiin	t iː n
tin	t i n
tri	t r i
tu	t u
tyi	t ə j
uching	u t͡ɕ i ŋ
ukching	u k t͡ɕ i ŋ
wach	w a t͡ɕ
wak	w a k
wan	w a n
ymbyng	ə m b ə ŋ
