ހަ	h ə
ހަރިޔާނާ	h ə r i j əː n əː
ހަތަރު	h ə t ə r u
ހަތާވީސް	h ə t̪ əː ʋ iː s̺
ހަތް	h ə t
ހާސް	h əː s̺
ހިންދޫދީން	h i n d̪ uː d̪ iː n
ހިރި	h i r i
ށ	ʂ
ނ	n
ނައިފަރު	n̪ ə i f ə ɾ u
ނަވާރަ	n̪ ə ʋ əː r ə
ނަވާވީސް	n ə ʋ əː ʋ iː s̺
ނާގަލޭންޑު	n əː ɡ ə l eː n ɖ u
ނުވަ	n u ʋ ə
ނޮވެމްބަރު	n o ʋ e m b ə r u
ރ	r
ރާއްޖެ	r əː d ʒː e
ރާޖަސްތާން	r əː d͡ʒ ə s t əː n
ރުފިޔާ	r u f i j əː
ބ	b
ބަންޑާރައިން	b ə n d̪ əː ɾ ə i n̪
ބައިސްކަލު	b ə i s̺ k ə l u
ބަޙްރައިން	b ə ħ ɾ ə i n̪
ބާރަ	b əː r ə
ބާވީސް	b əː ʋ iː s̺
ބިހާރު	b i h əː r u
ބިބީ	b i b iː
ޅ	ɭ
ކ	k
ކަރްނާޓަކާ	k ə r n̪ əː ʈ ə k əː
ކެނެޑާ	k e n̪ e ɖ əː
ކެރެލާ	k e r e l əː
ކްރޯރް	k r oː r
އަށާރަ	ə ʂ ə r ə
އަށާވީސް	ə s̺ əː ʋ iː s̺
އަށް	ə ʂ
އަކުރު	ə k u ɾ u
އައްލާހު	ə lː əː h u
އައްޑޫ	ə ɖː uː
އާސާމު	əː s̺ əː m u
އިންޑިއާ	i n̪ ɖ i əː
އިސްލާމް	i s l ə m
އުއްތަރުކަންދު	u tː ə r u k ə n d u
އެކާވީސް	e k əː ʋ iː s̺
އެމެރިކާ	e m e r i k əː
އެގަރަ	e ɡ ə r ə
އެޕްރީލް	e p r i l
އޮނަތިރީސް	o n ə t̪ i r iː s̺
އޮރިއްސާ	o r i sː əː
އޮކްޓޫބަރު	o k ʈ uː b ə r u
އޮގަސްޓު	o ɡ ə s ʈ u
ވ	ʋ
ވިހި	ʋ i h i
މ	m
މަހާރާޝްތުރާ	m ə h əː r əː ʃ t̪ u r əː
މަނިޕޫރު	m ə n̪ i p uː r u
މާރޗް	m əː r t ʃ
މާލެ	m əː l e
މިސްކިތް	m i s̺ k i j
މިޒޮރާމް	m i z o r əː m
މުޙައްމަދުގެފާނު	m u ħ ə m m ə d̪ u ɡ e f əː n u
މެކްސިކޯ	m e k s̺ i k oː
މެއި	m e i
މެގަލާޔާ	m e ɡ ə l əː j əː
ފ	f
ފަހެހް	f ə h e h
ފަނަރަ	f ə n ə r ə
ފަންސަވީސް	f ə n s̺ ə ʋ i s̺
ފެބްރުއަރީ	f e b r u ə r iː
ފޮތް	f o t̪
ދ	d
ދިހަ	d̪ i h ə
ދިއްލީ	d̪ i lː iː
ދިވެހި	d̪ i ʋ e h i
ދިވެހިރާއްޖެ	d̪ i ʋ e h i r əː d ʒː e
ދިވެހިބަސް	d̪ i ʋ e h i b ə s̺
ދެ	d̪ e
ތ	t
ތައިވާން	t̪ ə i ʋ əː n̪
ތާނަ	t̪ əː n̪ ə
ތިން	t̪ i n
ތިރީސް	t̪ i r iː s̺
ތުރިޕޫރާ	t u r i p uː r aː
ތެޔޮ	t̪ e j o
ތޭރަ	t eː r ə
ތޭވީސް	t̪ eː ʋ iː s̺
ލ	l
ލަކްޝަދީބު	l ə k ʃ ə d̪ iː b u
ލައްކަ	l ə k k ə
ގ	ɡ
ގުރީންލޭންޑު	ɡ u r iː n̪ l e n̪ ɖ u
ގުޖުރާތު	ɡ u d ʒ r əː t̪
ގޯވާ	ɡ oː ʋ əː
ޏ	ɲ
ސ	s
ސައިބޯނި	s̺ ə i b oː n̪ i
ސައުވީސް	s̺ ə u ʋ iː s̺
ސައްބީސް	s̺ ə bː iː s̺
ސަތާރަ	s ə t əː r ə
ސަތޭކަ	s̺ ə t eː k ə
ސާދަ	s əː d̪ ə
ސިއްކީމް	s̺ i k k iː m
ސިޓީ	s i ʈ iː
ސުން	s̺ u n
ސެޕްޓެމްބަރު	s e p ʈ e m b ə r u
ސޯޅަ	s oː ɭ ə
ޑ	ɖ
ޑިސެމްބަރު	ɖ i s e m b ə r u
ޒ	z
ޓ	ʈ
ޔ	j
ޕ	p
ޕަންޖާބު	p ə n d͡ʒ əː b u
ޖ	d͡ʒ
ޖަރްކަންދު	d͡ʒ ə r k ə n̪ d̪ u
ޖުލައި	d ʒ u l a i
ޖޫން	d ʒ uː n
ޖެނުއަރީ	d ʒ e n u ə r iː
ޗ	t ʃ
ޗައްތީސްގަޅު	t ʃ ə t̪ː iː s̺ ɡ ə ɭ u
ޘ	θ
ޙ	ħ
ޙައްޖު	h ə d ʒː u
ޚ	x
ޛ	ð
ޜ	ʒ
ޝ	ʃ
ޝަރީޢަތް	ʃ ə r iː ʕ ə t̪
ޝުކުރިއްޔާ	ʃ u k u ɾ i jː aː
ޞ	sˤ
ޟ	dˤ
ޠ	tˤ
ޡ	ðˤ
ޢ	ʕ
ޣ	ɣ
ޤ	q
ޥ	w
ަ	ə
ާ	aː
ި	i
ީ	iː
ު	u
ޫ	uː
ެ	e
ޭ	eː
ޮ	o
ޯ	oː
ޱ	ɳ
