а	a
аав	aː w
ааг	aː ɡ
аадар	aː d ə r
аалз	aː ɮ t s
ааруул	aː r ʊː ɮ
ав	a w
аварга	a w̜ r ə ɢ
авах	a w ə x
авга	a w ə ɢ
авдар	a w t ə r
авс	a w s
австрали	a f s tʰ r a ɮ
австри	a w̜ s tʰ r
автобус	a f tʰ ʊː s
автобус	ä w̜ tʰ p ʊˑ s
автомашин	a f tʰ ə m a ʃ i ŋ
авьяас	a w j a s
агаар	a ɢ aː r
агентлаг	ä ɡ eˑ n tʰ ɮ ə k
агшин	a ɡ ʃ i ŋ
ад	a t
адал	a t ə ɮ
адгуус	a t ɢ ʊ s
адил	æ t ə ɮ
адуу	a t ʊ
адуус	a t ʊ s
ажил	a t͜ɕ ə ɮ
ажилтан	a t͜ɕ ə ɮ tʰ ə ŋ
аз	a t͡s
азербайжан	a t͡s e r p a i t͡ʃ a ŋ
ази	aˑ t͜s
айл	æː ɮ
айлчлах	a i ɮ t͡ɕʰ ɮ ə x
аймаг	æː m ə k̠
аймшиг	a i m ʃ i ɡ
айраг	æː r ə k
академи	a k t eˑ m
академич	ä k t e̞ m t͜ɕʰ
алба	a ɮ p
албадах	a ɮ p ə t ə x
албадлага	a ɮ p ə t ɮ ə ɢ
албани	a ɮ p aˑ n
алга	a ɮ ə ɢ
алдах	a ɮ t ə x
алжир	a ɮ t͡ʃ i r
алим	ɛ ɮ ə m
аллах	a ɮ ɮ a x
алмааз	a ɮ m aː t͡s
алт	a ɮ tʰ
алтан	a ɮ tʰ ə ŋ
алтгана	a ɮ tʰ ɢ ə n
алх	a ɮ x
алчуур	a ɮ t͡ʃ ʊː r
аль	æ ɮ
ам	a m
амжилт	a m t͡ʃ i ɮ tʰ
амжих	a m t͡ɕ ə x
амь	æ m
амьдрал	ɛ m t r ə ɮ
амьсгалах	a mʲ s ɢ ə ɮ ə x
амьтан	æ m tʰ ə̠ ɴ̟
анги	a ŋ ɡ
англи	a ŋ ɡ i ɮ
англи	æˑ ŋ ɡ a ɮ
анекдот	ɔ n i ɡ ɔː
ану	a n
анх	a ŋ x
анхилга	a ŋʲ xʲ ə ɮ ə ɢ
анчин	a n t͡ʃʰ i ŋ
аппарат	a pʰ r a tʰ
аптек	a pʰ tʰ e kʰ
арал	a r ə ɮ
арвай	a r w a i
арга	a r ə ɢ
аргентин	a r ɡ e n tʰ i ŋ
архи	æ r x
архив	æ r x iˑ w
архичин	ɛ r x t͜ɕʰ ə ŋ
арьс	a rʲ s
арьстан	æ r s tʰ ə̠ ɴ̟
арьстны	æ r s tʰ n iː
асуух	a s ʊ x
атаа	a tʰ a
атаархах	a tʰ a r x ə x
афганистан	a f ɡ a n i s tʰ a ŋ
африкаанс	a f r i kʰ aː n s
ах	ä χ
ац	a t͡sʰ
б	p
баавар	p aː w̜ ə r
баасан	b aː s a ŋ
баатар	p aː tʰ ə r
баах	p aː x
баг	p a ɡ
бага	p a ɢ
багаж	p a ɢ t͡ɕ
баглаа	p a ɢ ɮ aː
багс	p a ɡ s
багш	p a ɡ ʃ
бадмаараг	p a t m aː r a ɡ
байгаль	p æː ɢ ə̠ ɮ
байгууллага	p a i ɢ ʊː ɮ ɮ ə k
байдал	p æː t ə̠ ɮ
байна	p æː n
байх	p æː χ
байц	p a i t͡sʰ
байцаа	p a i t͡s aː
байшин	p æː ʃ ɪ ɴ̟
балба	p a ɮ a p
бангладеш	p a ŋ ɡ ɮ ə̠ t eˑ ʃ
банк	p a ŋ k
бар	p a r
бараг	p a r ə ɡ
барамнас	p a r a m n a s
барга	p ä r ə q
барилдах	p a r i ɮ t a x
барих	p a rʲ ə x
баруун	p a r ʊː ŋ
баруунтан	p ä r ʊː n tʰ ə ŋ
бассейн	p a s e j ŋ
баяд	p ä j t ə
баялаг	p a j ɮ ə k̠
баян	p a j ə ŋ̠
