a	ɑː
aabits	ɑː b i t s
aafrika	ɑː f r i k ɑ
aasia	ɑː s i ɑ
aastaaeg	ɑː s t ɑ ɑ e̯ ɡ̊
ablas	ɑ b̥ l ɑ s
aeg	ɑ e̯ ɡ̊
aevastama	ɑ e̯ v ɑ s t ɑ m ɑ
aiapiire	ɑ i̯ ɑ p iː r e
aine	ɑ i̯ n e
ainus	ɑ i̯ n u s
aituma	ɑ i̯ t u m ɑ
aitäh	ɑ i̯ t æ h
aitüma	ɑ i̯ t y m ɑ
ajalugu	ɑ j ɑ l u ɡ̊ u
ajapiirang	ɑ j ɑ p iː r ɑ ŋ ɡ̊
aktiveerima	ɑ k t i v eː r i m ɑ
albaania	ɑ l b̥ ɑː n i ɑ
albert	ɑ l b̥ e r t
aleksandra	ɑ l e k s ɑ n d̥ r ɑ
alk	ɑ lʲ k
ameerika	ɑ m eː r i k ɑ
amulett	ɑ m u l e tʲː
and	ɑ nʲˑ t
andorra	ɑ n d̥ o rː ɑ
andreas	ɑ n d̥ r e ɑ̯ s
angela	ɑ ŋ ɡ̊ e l ɑ
angelika	ɑ ŋ ɡ̊ e l i k ɑ
antarktis	ɑ n t ɑ r k t i s
aplus	ɑ p l u s
armastus	ɑ r m ɑ s t u s
armeenia	ɑ r m eː n i ɑ
aserbaidžaan	ɑ s e r b̥ ɑ i̯ d̥ ʒ ɑː n
asteroid	ɑ s t e r o i̯ d̥
astmevaheldus	ɑ s t m e v ɑ h e l d̥ u s
atmosfäär	ɑ t m o s f æː r
austria	ɑ u̯ s t r i ɑ
auto	ɑ u̯ t o
b	b̥ eː
baar	b̥ ɑː r
ballett	b̥ ɑ lː e tʲː
barrikaad	b̥ ɑ rː i k ɑː d̥
belfast	b̥ e l f ɑ s t
belgia	b̥ e l ɡ̊ i ɑ
belgrad	b̥ e l ɡ̊ r ɑ d̥
berliin	b̥ e r l iː n
bosnia	b̥ o s n j ɑ
brüssel	b̥ r y sː e l
budapest	b̥ u d̥ ɑ p e s t
bukarest	b̥ u k ɑ r e s t
bulgaaria	b̥ u l ɡ̊ ɑː r i ɑ
c	t s eː
d	d̥ eː
depressioon	d̥ e p r e sː i oː n
diana	d̥ i ɑ n ɑ
džemper	d̥ ʒ e m p e r
džäss	d̥ ʒ æ sː
e	eː
ebaõnn	e b̥ ɑ ɤ nʲː
eeden	eː d̥ e n
eesmärk	eː s m æ r k
eesti	eː s t i
eha	e h ɑ
ekraan	e k r ɑː n
elamu	e l ɑ m u
emil	e m i l
enesepiiramine	e n e s e p iː r ɑ m i n e
enne	e nː e
enne	e nːː e
entsüklopeedia	e n t s y k l o p eː d̥ i ɑ
epideemia	e p i d̥ eː m j ɑ
eramu	e r ɑ m u
erektsioon	e r e k t s i oː n
esmaspäev	e s m ɑ s p æ e̯ v
euroopa	e u r oː p ɑ
f	e fː
g	ɡ̊ eː
genotsiid	ɡ̊ e n o t s iː d̥
geograafia	ɡ̊ e o̯ ɡ̊ r ɑː f j ɑ
geoloogia	ɡ̊ e o̯ l oː ɡ̊ j ɑ
georgia	d̥ ʒ oː r d̥ ʒ i ɑ
georgia	ɡ̊ e o r ɡ̊ i ɑ
grammatika	ɡ̊ r ɑ mː ɑ tʲ i k ɑ
gruusia	ɡ̊ r uː s i ɑ
h	h ɑ ʃː
h	h ɑː
haarama	h ɑː r ɑ m ɑ
hall	h ɑ lʲː
hall	h ɑ lː
